"project_number","building_id","project_description","school_name","school_address","sed_approved_final_cost","fcrtosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"16LN","K107","Lead Paint Abatement","P.S. 107 - BROOKLYN","1301 8TH AVENUE","22565.00","2021-06-08T00:00:00.000","BROOKLYN","11215","40.663251","-73.981289","306","39","167","3026517","3011010001","Park Slope-Gowanus"
"16O6","X114","Lead Paint Abatement","P.S. 114 - BRONX","1155 CROMWELL AVENUE","16242.00","2021-06-08T00:00:00.000","BRONX","10452","40.834776","-73.923067","204","16","63","2003022","2024950100","West Concourse"
"16LE","K048","Lead Paint Abatement","P.S. 48 - BROOKLYN","6015 18 AVENUE","27444.00","2021-06-08T00:00:00.000","BROOKLYN","11204","40.621871","-73.987396","312","44","244","3132140","3055190001","Borough Park"
"16OA","X166","Lead Paint Abatement","BRONX EARLY COLLEGE ACADEMY","250 EAST 164 STREET","15681.00","2021-06-08T00:00:00.000","BRONX","10456","40.828696","-73.917668","204","16","18302","2002497","2024460043","East Concourse-Concourse Village"
"16NJ","Q090","Lead Paint Abatement","P.S. 90 - QUEENS","86-50 109 STREET","23640.00","2021-06-08T00:00:00.000","QUEENS","11418","40.697033","-73.839213","409","32","128","4192167","4092040028","Richmond Hill"
"18HW","X068","Lead Paint Abatement","P.S. 68 - BRONX","4011 MONTICELLO AVENUE","12778.00","2021-06-08T00:00:00.000","BRONX","10466","40.891732","-73.838471","212","12","426","2067852","2049860081","Woodlawn-Wakefield"
"16NM","Q133","Lead Paint Abatement","P.S. 133 - QUEENS","248-05 86 AVENUE","17016.00","2021-06-08T00:00:00.000","QUEENS","11426","40.731729","-73.717859","413","23","157101","4175739","4086160001","Bellerose"
"18H9","Q116","Lead Paint Abatement","P.S. 116 - QUEENS","107-25 WREN PLACE","20610.00","2021-06-08T00:00:00.000","QUEENS","11433","40.700606","-73.782302","412","27","414","4218416","4102500001","South Jamaica"
"16N3","K848","Lead Paint Abatement","P.S. 149 - BROOKLYN","373 PENNSYLVANIA AVENUE","18590.00","2021-06-08T00:00:00.000","BROOKLYN","11207","40.668362","-73.894954","305","42","1156","3084298","3037720006","East New York (Pennsylvania Ave)"
"18HV","X061","Lead Paint Abatement","P.S. 61 - BRONX","1550 CROTONA PARK EAST","40425.00","2021-06-08T00:00:00.000","BRONX","10460","40.836575","-73.892817","203","17","153","2009865","2029390045","Crotona Park East"
"18HO","X009","Lead Paint Abatement","P.S. 9 - BRONX","230 EAST 183 STREET","25187.00","2021-06-08T00:00:00.000","BRONX","10458","40.857067","-73.898936","205","15","38301","2013561","2031500010","Fordham South"
"18H5","Q076","Lead Paint Abatement","P.S. 76 - QUEENS","36-36 10 STREET","16288.00","2021-06-08T00:00:00.000","QUEENS","11106","40.760852","-73.941143","401","26","39","4004331","4003540001","Queensbridge-Ravenswood-Long Island City"
"18GE","K229","Lead Paint Abatement","P.S. 229 - BROOKLYN","1400 BENSON AVENUE","12735.00","2021-06-08T00:00:00.000","BROOKLYN","11228","40.610963","-74.013376","311","43","170","3167212","3063910024","Bath Beach"
"16MX","K307","Lead Paint Abatement","P.S. 307 - BROOKLYN","209 YORK STREET","10975.00","2021-06-08T00:00:00.000","BROOKLYN","11201","40.701343","-73.982314","302","33","21","3000158","3000560007","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill"
"16NG","Q009","Lead Paint Abatement","Q009 SPED - QUEENS","58-74 57 STREET","119308.00","2021-06-08T00:00:00.000","QUEENS","11378","40.718935","-73.912208","405","30","535","4059130","4026310106","Maspeth"
"16NU","X028","Lead Paint Abatement","P.S. 28 - BRONX","1861 ANTHONY AVENUE","85893.00","2021-06-08T00:00:00.000","BRONX","10457","40.848057","-73.903522","205","15","23302","2007603","2028040031","Mount Hope"
"16O3","X090","Lead Paint Abatement","THE FAMILY SCHOOL - BRONX","1116 SHERIDAN AVENUE","15040.00","2021-06-08T00:00:00.000","BRONX","10456","40.831992","-73.91796","204","16","18102","2002745","2024560100","East Concourse-Concourse Village"
"16NY","X058","Lead Paint Abatement","P.S. 58 - BRONX","459 EAST 176 STREET","38106.00","2021-06-08T00:00:00.000","BRONX","10457","40.846162","-73.899264","206","15","395","2009540","2029090032","Claremont-Bathgate"
"16NN","Q152","Lead Paint Abatement","P.S. 152 - QUEENS","33-52 62 STREET","41677.00","2021-06-08T00:00:00.000","QUEENS","11377","40.753037","-73.900123","402","26","293","4027102","4011840014","Woodside"
"187W","Q269","Lead Paint Abatement","P.S. 143 - QUEENS","86-37 53RD AVENUE","17390.00","2021-06-08T00:00:00.000","QUEENS","11373","40.735609","-73.878535","404","25","475","4064938","4028640036","Elmhurst"
"18GB","K200","Lead Paint Abatement","P.S. 200 - BROOKLYN","1940 BENSON AVENUE","17696.00","2021-06-08T00:00:00.000","BROOKLYN","11214","40.603188","-74.001408","311","43","282","3167818","3064070008","Bath Beach"
"16M9","K165","Lead Paint Abatement","P.S. 165 - BROOKLYN","76 LOTT AVENUE","23224.00","2021-06-08T00:00:00.000","BROOKLYN","11212","40.65744","-73.911053","316","42","896","3082726","3036220023","Brownsville"
"183T","K086","Lead Paint Abatement","P.S. 86 - BROOKLYN","220 IRVING AVENUE","22585.00","2021-06-08T00:00:00.000","BROOKLYN","11237","40.700774","-73.91748","304","37","431","3075109","3032890027","Bushwick North"
"16LD","K029","Lead Paint Abatement","P.S. 29 - BROOKLYN","425 HENRY STREET","12472.00","2021-06-08T00:00:00.000","BROOKLYN","11201","40.686951","-73.99806","306","39","45","3255627","3003110001","Carroll Gardens-Columbia Street-Red Hook"
"16LL","K105","Lead Paint Abatement","P.S. 105 - BROOKLYN","1031 59 STREET","30994.00","2021-06-08T00:00:00.000","BROOKLYN","11219","40.632936","-74.00374","312","38","214","3140612","3057020001","Borough Park"
"16LK","K102","Lead Paint Abatement","P.S. 102 - BROOKLYN","211 72 STREET","28299.00","2021-06-08T00:00:00.000","BROOKLYN","11209","40.63402","-74.029036","310","43","68","3146491","3058900001","Bay Ridge"
"16OZ","M146","Lead Paint Abatement","P.S. 146 - MANHATTAN","421 EAST 106 STREET","11499.00","2021-06-08T00:00:00.000","MANHATTAN","10029","40.789295","-73.939262","111","8","162","1052999","1017000001","East Harlem South"
"16NK","Q094","Lead Paint Abatement","P.S. 94 - QUEENS","41-77 LITTLE NECK PKWY","12706.00","2021-06-08T00:00:00.000","QUEENS","11363","40.771186","-73.739252","411","19","1479","4169468","4081350029","Douglas Manor-Douglaston-Little Neck"
"18HP","X025","Lead Paint Abatement","P.S. 25 - BRONX","811 EAST 149 STREET","14789.00","2021-06-08T00:00:00.000","BRONX","10455","40.812619","-73.906063","201","8","79","2004772","2026640001","Melrose South-Mott Haven North"
"18H7","Q086","Lead Paint Abatement","P.S. 86 - QUEENS","87-41 PARSONS BOULEVARD","12621.00","2021-06-08T00:00:00.000","QUEENS","11432","40.708898","-73.803938","408","24","448","4438678","4097740001","Briarwood-Jamaica Hills"
"18H0","Q031","Lead Paint Abatement","P.S. 31 - QUEENS","211-45 46 ROAD","19234.00","2021-06-08T00:00:00.000","QUEENS","11361","40.757064","-73.770122","411","19","1447","4156949","4073160018","Bayside-Bayside Hills"
"16LT","K120","Lead Paint Abatement","P.S. 120 - BROOKLYN","18 BEAVER STREET","12512.00","2021-06-08T00:00:00.000","BROOKLYN","11206","40.700609","-73.93834","304","34","389","3071806","3031370026","Bushwick South"
"16L9","K020","Lead Paint Abatement","P.S. 20 - BROOKLYN","225 ADELPHI STREET","18518.00","2021-06-08T00:00:00.000","BROOKLYN","11205","40.690765","-73.971376","302","35","183","3058531","3020910003","Fort Greene"
"16GK","X156","Lead Paint Abatement","CONCOURSE VILLAGE ELEMENTARY S","750 CONCOURSE VILLAGE WEST","15681.00","2021-06-08T00:00:00.000","BRONX","10451","40.823174","-73.923326","204","17","61","2002454","2024430079","East Concourse-Concourse Village"
"16FN","X073","Lead Paint Abatement","P.S. 73 - BRONX","1020 ANDERSON AVENUE","17132.00","2021-06-08T00:00:00.000","BRONX","10452","40.832706","-73.926838","204","8","189","2003051","2025040082","Highbridge"
"16F8","X036","Lead Paint Abatement","P.S. 36 - BRONX","1070 CASTLE HILL AVENUE","15722.00","2021-06-08T00:00:00.000","BRONX","10472","40.829344","-73.850428","209","18","78","2026706","2038170001","Westchester-Unionport"
"16EE","R011","Lead Paint Abatement","P.S. 11 - STATEN ISLAND","50 JEFFERSON STREET","14664.00","2021-06-08T00:00:00.000","STATEN IS","10304","40.590562","-74.097704","502","50","9602",,,"Old Town-Dongan Hills-South Beach"
"16FC","X047","Lead Paint Abatement","P.S. 47 - BRONX","1794 EAST 172 STREET","17741.00","2021-06-08T00:00:00.000","BRONX","10472","40.832902","-73.866848","209","18","76","2025622","2037860016","West Farms-Bronx River"
"16FM","X072","Lead Paint Abatement","P.S. 72 - BRONX","2951 DEWEY AVENUE","14343.00","2021-06-08T00:00:00.000","BRONX","10465","40.822604","-73.818247","210","13","158","2077162","2054400001","Schuylerville-Throgs Neck-Edgewater Park"
"16G5","X103","Lead Paint Abatement","P.S. 103 - BRONX","4125 CARPENTER AVENUE","18871.00","2021-06-08T00:00:00.000","BRONX","10466","40.892151","-73.861466","212","12","420","2062883","2048230001","Williamsbridge-Olinville"
"16F5","X027","Lead Paint Abatement","P.S. 277 - BRONX","519 ST ANNS AVENUE","30896.00","2021-06-08T00:00:00.000","BRONX","10455","40.813517","-73.913402","201","8","43","2000114","2022740023","Mott Haven-Port Morris"
"16F7","X033","Lead Paint Abatement","P.S. 33 - BRONX","2424 JEROME AVENUE","40877.00","2021-06-08T00:00:00.000","BRONX","10468","40.86185","-73.90176","205","14","239","2014099","2031880020","Fordham South"
"16EB","Q159","Lead Paint Abatement","P.S. 159 - QUEENS","205-01 33 AVENUE","31957.00","2021-06-08T00:00:00.000","QUEENS","11361","40.76936","-73.783943","411","19","1099","4134525","4060380013","Bayside-Bayside Hills"
"16DY","K015","Lead Paint Abatement","P.S. 15 - BROOKLYN","71 SULLIVAN STREET","22508.00","2021-06-08T00:00:00.000","BROOKLYN","11231","40.677343","-74.011558","306","38","53","3008585","3005660001","Carroll Gardens-Columbia Street-Red Hook"
"1.60E+05","M115","Lead Paint Abatement","P.S. 115 - MANHATTAN","586 WEST 177 STREET","13749.00","2021-06-08T00:00:00.000","MANHATTAN","10033","40.846542","-73.935205","112","10","261","1063228","1021330040","Washington Heights South"
"16EJ","R030","Lead Paint Abatement","P.S. 30 - STATEN ISLAND","200 WARDWELL AVE","12451.00","2021-06-08T00:00:00.000","STATEN IS","10314","40.618439","-74.132645","501","50","201","5113069","5004230009","Westerleigh"
"1.60E+09","Q071","Lead Paint Abatement","P.S. 71 - QUEENS","62-85 FOREST AVENUE","50638.00","2021-06-08T00:00:00.000","QUEENS","11385","40.711203","-73.905286","405","30","595","4083519","4034920007","Ridgewood"
"16EP","R042","Lead Paint Abatement","P.S. 42 - STATEN ISLAND","380 GENESEE AVENUE","19290.00","2021-06-08T00:00:00.000","STATEN IS","10312","40.552523","-74.169464","503","51","17012","5074394","5056050001","Annadale-Huguenot-Prince's Bay-Eltingville"
"16FF","X057","Lead Paint Abatement","P.S. 57 - BRONX","2111 CROTONA AVENUE","20551.00","2021-06-08T00:00:00.000","BRONX","10457","40.848472","-73.888561","206","15","373","2012359","2030810026","East Tremont"
"16G3","X100","Lead Paint Abatement","P.S. 100 - BRONX","800 TAYLOR AVENUE","20164.00","2021-06-08T00:00:00.000","BRONX","10473","40.821409","-73.862976","209","18","42","2022550","2036410001","Soundview-Castle Hill-Clason Point-Harding Park"
"16GE","X138","Lead Paint Abatement","P.S. 138 - BRONX","2060 LAFAYETTE AVENUE","20411.00","2021-06-08T00:00:00.000","BRONX","10473","40.822665","-73.853366","209","18","74","2022289","2036090016","Soundview-Castle Hill-Clason Point-Harding Park"
"1.60E+02","K202","Lead Paint Abatement","P.S. 202 - BROOKLYN","982 HEGEMAN AVENUE","17797.00","2021-06-08T00:00:00.000","BROOKLYN","11208","40.666417","-73.876563","305","42","1116","3098664","3044770001","East New York"
"1.60E+08","Q032","Lead Paint Abatement","P.S. 32 - QUEENS","171-11 35 AVENUE","20652.00","2021-06-08T00:00:00.000","QUEENS","11358","40.764763","-73.794683","407","19","1141","4118954","4052560001","Murray Hill"
"1.60E+06","Q019","Lead Paint Abatement","P.S. 19 - QUEENS","98-02 ROOSEVELT AVENUE","28948.00","2021-06-08T00:00:00.000","QUEENS","11368","40.749381","-73.867354","404","21","409","4000000","4016070001","North Corona"
"16GD","X134","Lead Paint Abatement","P.S. 134 - BRONX","1330 BRISTOW STREET","21022.00","2021-06-08T00:00:00.000","BRONX","10459","40.831194","-73.894773","203","17","153","2010273","2029650082","Crotona Park East"
"16EI","R022","Lead Paint Abatement","P.S. 22 - STATEN ISLAND","1860 FOREST AVENUE","38307.00","2021-06-08T00:00:00.000","STATEN IS","10303","40.625369","-74.15097","501","49","30302","5107239","5017060001","Mariner's Harbor-Arlington-Port Ivory-Graniteville"
"16F1","X018","Lead Paint Abatement","P.S. 18 - BRONX","502 MORRIS AVENUE","28302.00","2021-06-08T00:00:00.000","BRONX","10451","40.816406","-73.92329","201","8","51","2000816","2023240008","Mott Haven-Port Morris"
"16F9","X043","Lead Paint Abatement","P.S. 43 - BRONX","165 BROWN PLACE","88900.00","2021-06-08T00:00:00.000","BRONX","10454","40.806351","-73.921196","201","8","25","2000205","2022800040","Mott Haven-Port Morris"
"16FZ","X092","Lead Paint Abatement","X352 SPED - BRONX","700 EAST 179 STREET","15552.00","2021-06-08T00:00:00.000","BRONX","10457","40.846711","-73.889815","206","17","371","2012620","2030920014","East Tremont"
"16FW","X086","Lead Paint Abatement","P.S. 86 - BRONX","2756 RESERVOIR AVENUE","16176.00","2021-06-08T00:00:00.000","BRONX","10468","40.869835","-73.89874","207","11","409","2100971","2032470070","Van Cortlandt Village"
"16G6","X105","Lead Paint Abatement","P.S. 105 - BRONX","725 BRADY AVENUE","49036.00","2021-06-08T00:00:00.000","BRONX","10462","40.852398","-73.866617","211","13","22404","2048794","2042880001","Pelham Parkway"
"16GH","X152","Lead Paint Abatement","P.S. 152 - BRONX","1007 EVERGREEN AVENUE","23608.00","2021-06-08T00:00:00.000","BRONX","10472","40.824054","-73.880039","209","17","52","2023336","2037110001","Soundview-Bruckner"
"16LZ","K147","Lead Paint Abatement","P.S. 147 - BROOKLYN","325 BUSHWICK AVENUE","17534.00","2021-06-08T00:00:00.000","BROOKLYN","11206","40.705204","-73.939407","301","34","485","3071418","3030910001","Bushwick South"
"16EA","Q154","Lead Paint Abatement","P.S. 154 - QUEENS","75-02 162 STREET","33311.00","2021-06-08T00:00:00.000","QUEENS","11366","40.726769","-73.806894","408","24","1257","4148003","4068340001","Kew Gardens Hills"
"16F0","X016","Lead Paint Abatement","P.S. 16 - BRONX","4550 CARPENTER AVENUE","12325.00","2021-06-08T00:00:00.000","BRONX","10470","40.902205","-73.854829","212","11","414","2070894","2050760031","Woodlawn-Wakefield"
"16FJ","X065","Lead Paint Abatement","P.S. 65 - BRONX","677 EAST 141 STREET","29469.00","2021-06-08T00:00:00.000","BRONX","10454","40.807335","-73.912731","201","8","33","2003834","2025710001","Mott Haven-Port Morris"
"188U","R450","Asbestos  abatement","CURTIS HS - STATEN ISLAND","105 HAMILTON AVENUE","73245.00","2021-06-07T00:00:00.000","STATEN IS","10301","40.644735","-74.081222","501","49","7","5106483","5000220001","West New Brighton-New Brighton-St. George"
"16OJ","M128","Asbestos  abatement","P.S. 128 - MANHATTAN","560 WEST 169 STREET","25340.00","2021-06-07T00:00:00.000","MANHATTAN","10032","40.841359","-73.938593","112","10","251","1062994","1021250001","Washington Heights South"
"188P","K272","Asbestos  abatement","P.S. 272 - BROOKLYN","101-24 SEAVIEW AVENUE","157961.00","2021-06-07T00:00:00.000","BROOKLYN","11236","40.635916","-73.886412","318","46","1034","3235262","3083290250","Canarsie"
"16Q1","K194","Asbestos  abatement","P.S. 194 - BROOKLYN","3117 AVENUE W","146553.00","2021-06-07T00:00:00.000","BROOKLYN","11229","40.596757","-73.933499","315","46","570","3201629","3073930001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach"
"16Q6","R008","Asbestos  abatement","P.S. 8 - STATEN ISLAND","112 LINDENWOOD ROAD","24872.00","2021-06-07T00:00:00.000","STATEN IS","10308","40.547692","-74.151755","503","51","15601","5066295","5052210001","Great Kills"
"16OM","K277","Asbestos  abatement","P.S. 277 - BROOKLYN","2529 GERRITSEN AVENUE","89198.00","2021-06-07T00:00:00.000","BROOKLYN","11229","40.596145","-73.928793","318","46","666","3242369","3085900650","park-cemetery-etc-Brooklyn"
"16Q7","K128","Asbestos  abatement","P.S. 128 - BROOKLYN","2075 84 STREET","29671.00","2021-06-07T00:00:00.000","BROOKLYN","11214","40.604871","-73.995545","311","47","288","3165232","3063290032","Bensonhurst West"
"16QE","Q054","Asbestos  abatement","P.S. 54 - QUEENS","86-02 127 STREET","74021.00","2021-06-07T00:00:00.000","QUEENS","11418","40.70292","-73.824221","409","29","14201","4193916","4092800001","Richmond Hill"
"17PR","K268","Asbestos  abatement","P.S. 268 - BROOKLYN","133 EAST 53 STREET","144526.00","2021-06-07T00:00:00.000","BROOKLYN","11203","40.657131","-73.928018","317","41","866","3100292","3046230028","Rugby-Remsen Village"
"16QC","X153","Asbestos  abatement","P.S. 153 - BRONX","650 BAYCHESTER AVENUE","186098.00","2021-06-07T00:00:00.000","BRONX","10475","40.872614","-73.833698","210","12","46201","2097470","2051410150","Co-op City"
"16PK","K435","Asbestos  abatement","PERFORMING ARTS AND TECH. HS -","400 PENNSYLVANIA AVENUE","92215.00","2021-06-07T00:00:00.000","BROOKLYN","11207","40.667456","-73.894747","305","42","1156","3084440","3037880001","East New York (Pennsylvania Ave)"
"16P0","K218","Asbestos  abatement","I.S. 218 - BROOKLYN","370 FOUNTAIN AVENUE","16404.00","2021-06-07T00:00:00.000","BROOKLYN","11208","40.670724","-73.874208","305","42","1118","3095977","3042780001","East New York"
"16OY","Q192","Asbestos  abatement","I.S. 192 - QUEENS","109-89 204 STREET","110817.00","2021-06-07T00:00:00.000","QUEENS","11412","40.70646","-73.753579","412","27","508","4234318","4109440301","Hollis"
"16OL","K176","Asbestos  abatement","P.S. 176 - BROOKLYN","1225 69 STREET","73213.00","2021-06-07T00:00:00.000","BROOKLYN","11219","40.624611","-74.005378","310","43","196","3143190","3057740001","Dyker Heights"
"16QB","X025","Asbestos  abatement","P.S. 25 - BRONX","811 EAST 149 STREET","142956.00","2021-06-07T00:00:00.000","BRONX","10455","40.812619","-73.906063","201","8","79","2004772","2026640001","Melrose South-Mott Haven North"
"16P5","Q009","Asbestos  abatement","Q009 SPED - QUEENS","58-74 57 STREET","237547.00","2021-06-07T00:00:00.000","QUEENS","11378","40.718935","-73.912208","405","30","535","4059130","4026310106","Maspeth"
"16PJ","Q061","Asbestos  abatement","I.S. 61 - QUEENS","98-50 50 AVENUE","141807.00","2021-06-07T00:00:00.000","QUEENS","11368","40.742668","-73.863307","404","21","44302","4046834","4018910032","Corona"
