"project_number","building_id","project_description","school_name","school_address","sed_approved_estimate","appltosed","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta"
"0LZV","Q226","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 226 - QUEENS","121-10 ROCKAWAY BOULEVARD","293856","2016-03-21T00:00:00.000","4","11420","40.675771","-73.816938","10","28","840","4253607","4117140100","South Ozone Park                                                           "
"0LZW","Q223","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 223 - QUEENS","125-20 SUTPHIN BLVD","247389","2016-03-21T00:00:00.000","4","11434","40.674519","-73.789399","12","28","18401","4261713","4120510001","Baisley Park                                                               "
"0LZX","K721","Indoor Building Improvement - Computer room wiring to upgrade computer labs","BKLYN STUDIO SEC. SCL - BROOKL","8310 21ST AVE","99999","2016-03-21T00:00:00.000","3","11214","40.604879","-73.994404","11","47","288","3165232","3063290032","Bensonhurst West                                                           "
"0LZY","X435","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 243 - BRONX","500 EAST FORDHAM ROAD","89485","2016-03-21T00:00:00.000","2","10458","40.860043","-73.888267","6","15","387","2011810","2030590001","Belmont                                                                    "
"0LZZ","X360","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 360 - BRONX","2880 KINGSBRIDGE TERRACE","49497","2016-03-21T00:00:00.000","2","10463","40.874411","-73.902573","8","14","273","2103864","2032530341","Van Cortlandt Village                                                      "
"0M00","X340","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 340 - BRONX","25 WEST 195TH STREET","49991","2016-03-21T00:00:00.000","2","10468","40.869007","-73.89749","7","11","409","2101862","2032470015","Van Cortlandt Village                                                      "
"0M01","K048","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 48 - BROOKLYN","6015 18 AVENUE","99949","2016-03-21T00:00:00.000","3","11204","40.621871","-73.987396","12","44","244","3132140","3055190001","Borough Park                                                               "
"0M02","K026","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 393 - BROOKLYN","1014 LAFAYETTE AVENUE","49998","2016-03-21T00:00:00.000","3","11221","40.692126","-73.931731","3","36","291","3393805","3016160001","Stuyvesant Heights                                                         "
"0M03","K024","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 24 - BROOKLYN","427 38TH STREET","106354","2016-03-21T00:00:00.000","3","11232","40.652701","-74.004743","7","38","84","3346119","3007010001","Sunset Park West                                                           "
"0M04","K015","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 15 - BROOKLYN","71 SULLIVAN STREET","59388","2016-03-21T00:00:00.000","3","11231","40.677343","-74.011558","6","38","53","3008585","3005660001","Carroll Gardens-Columbia Street-Red Hook                                   "
"0M05","K014","Indoor Building Improvement - Computer room wiring to upgrade computer labs","K811 SPED - BROOKLYN","2424 BATCHELDER STREET","197965","2016-03-21T00:00:00.000","3","11235","40.593521","-73.937672","15","48","596","3203617","3074240001","Sheepshead Bay-Gerritsen Beach-Manhattan Beach                             "
"0M0E","Q181","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 181 - QUEENS","148-15 230 STREET","49990","2016-03-21T00:00:00.000","4","11413","40.656126","-73.753207","13","31","694","4291453","4137180001","Springfield Gardens South-Brookville                                       "
"0M0F","Q176","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 176 - QUEENS","120-45 235 STREET","104959","2016-03-21T00:00:00.000","4","11411","40.685492","-73.729982","13","27","614","4276382","4128200001","Cambria Heights                                                            "
"0M0O","X111","Indoor Building Improvement - Computer room wiring to upgrade computer labs","BX CHARTER SCH FOR BETTER LRNG","3740 BAYCHESTER AVENUE","34640","2016-03-21T00:00:00.000","2","10466","40.884343","-73.840254","12","12","484","2065992","2049160001","Eastchester-Edenwald-Baychester                                            "
"0M0P","X078","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 78 - BRONX","1400 NEEDHAM AVENUE","178138","2016-03-21T00:00:00.000","2","10469","40.878577","-73.851163","12","12","386","2060191","2047190001","Eastchester-Edenwald-Baychester                                            "
"0M0Q","X054","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 54 - BRONX","2703 WEBSTER AVE","83817","2016-03-21T00:00:00.000","2","10458","40.864527","-73.887829","7","15","40502","2113630","2032780014","Bedford Park-Fordham North                                                 "
"0M0R","X026","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 390 - BRONX","1930 ANDREWS AVENUE","246187","2016-03-21T00:00:00.000","2","10453","40.854701","-73.913197","5","14","24502","2014692","2032160002","University Heights-Morris Heights                                          "
"0M0T","R069","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 69 - STATEN ISLAND","144 KEATING PLACE","49327","2016-03-21T00:00:00.000","5","10314","40.591468","-74.156705","2","51","27705","5037541","5023660073","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"0M0U","Q099","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 99 - QUEENS","82-37 KEW GARDENS ROAD","69299","2016-03-21T00:00:00.000","4","11415","40.711419","-73.828628","9","29","216","4080168","4033600001","Kew Gardens                                                                "
"0M11","Q041","Indoor Building Improvement - Computer room wiring to upgrade computer labs","Q993 SPED - QUEENS","214-43 35 AVENUE","74064","2016-03-21T00:00:00.000","4","11361","40.769601","-73.770863","11","19","1097","4135975","4061210001","Bayside-Bayside Hills                                                      "
"0M12","Q021","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 21 - QUEENS","147-36 26TH AVENUE","98310","2016-03-21T00:00:00.000","4","11354","40.774512","-73.819284","7","19","1047","4108665","4048030001","Murray Hill                                                                "
"0M5C","K107","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 107 - BROOKLYN","1301 8TH AVENUE","34650","2016-03-21T00:00:00.000","3","11215","40.663251","-73.981289","6","39","167","3026517","3011010001","Park Slope-Gowanus                                                         "
"0M5D","K115","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 115 - BROOKLYN","1500 EAST 92ND ST","74249","2016-03-21T00:00:00.000","3","11236","40.635015","-73.897262","18","46","1008","3232559","3082560001","Canarsie                                                                   "
"0M6Y","K902","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 266 - BROOKLYN","62 PARK PLACE","34649","2016-03-21T00:00:00.000","3","11217","40.678983","-73.976497","6","39","12902","3259250","3009410050","Park Slope-Gowanus                                                         "
"0M6Z","K971","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 971 - BROOKLYN","6214 4TH AVE","34646","2016-03-21T00:00:00.000","3","11220","40.639571","-74.01976","7","38","72","3143927","3057990038","Sunset Park West                                                           "
"0M4K","X094","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 94 - BRONX","3530 KINGS COLLEGE PL","49496","2016-03-21T00:00:00.000","2","10467","40.880522","-73.87572","7","11","431","2018628","2033560042","Norwood                                                                    "
"0M4L","X099","Indoor Building Improvement - Computer room wiring to upgrade computer labs","METROPOLITAN HS - BRONX","1180 REV. J.A. POLITE AVE.","178034","2016-03-21T00:00:00.000","2","10459","40.827315","-73.897612","2","17","131","2005276","2026920014","Longwood                                                                   "
"0M63","K235","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 235 - BROOKLYN","525 LENOX ROAD","34360","2016-03-21T00:00:00.000","3","11203","40.654704","-73.941089","17","41","814","3107846","3048440001","East Flatbush-Farragut                                                     "
"0MIP","Q010","Building System Improvement - Electrical Lighting Fixtures","I.S. 10 - QUEENS","45-11 31 AVENUE","1088999","2016-03-21T00:00:00.000","4","11103","40.759363","-73.912902","1","22","151","4012664","4007140001","Astoria                                                                    "
"0M64","K236","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 236 - BROOKLYN","6302 AVENUE U","123291","2016-03-21T00:00:00.000","3","11234","40.615998","-73.912989","18","46","698","3326821","3084640001","Georgetown-Marine Park-Bergen Beach-Mill Basin                             "
"0M14","Q008","Indoor Building Improvement - Computer room wiring to upgrade computer labs","J.H.S. 8 - QUEENS","108-35 167 STREET","68874","2016-03-21T00:00:00.000","4","11433","40.69719","-73.787192","12","27","258","4216655","4101780001","South Jamaica                                                              "
"0M1B","K164","Indoor Building Improvement - Computer room wiring to upgrade computer labs","P.S. 164 - BROOKLYN","4211 14TH AVENUE","48209","2016-03-21T00:00:00.000","3","11219","40.637486","-73.985955","12","44","232","3135976","3056000001","Borough Park                                                               "
"0M1J","X701","Indoor Building Improvement - Computer room wiring to upgrade computer labs","X723 SPED - BRONX","3540 BIVONA STREET","98990","2016-03-21T00:00:00.000","2","10475","40.883026","-73.833227","12","12","46202","2093879","2052630070","Co-op City                                                                 "
"0M1L","R072","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 72 - STATEN ISLAND","33 FERNDALE AVENUE","77818","2016-03-21T00:00:00.000","5","10314","40.593005","-74.158988","2","51","27706","5037524","5023640001","Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill                   "
"0M1M","R075","Indoor Building Improvement - Computer room wiring to upgrade computer labs","I.S. 75 - STATEN ISLAND","455 HUGUENOT AVENUE","97817","2016-03-21T00:00:00.000","5","10312","40.54438","-74.197897","3","51","17010","5079651","5060500002","Arden Heights                                                              "
