"manhattan_condominiums_comparable_properties_boro_block_lot","manhattan_condominiums_comparable_properties_condo_section","manhattan_condominiums_comparable_properties_address","borough","postcode","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","manhattan_condominiums_comparable_properties_neighborhood","manhattan_condominiums_comparable_properties_building_classification","manhattan_condominiums_comparable_properties_total_units","manhattan_condominiums_comparable_properties_year_built","manhattan_condominiums_comparable_properties_gross_sqft","manhattan_condominiums_comparable_properties_estimated_gross_income","manhattan_condominiums_comparable_properties_gross_income_per_sqft","manhattan_condominiums_comparable_properties_estimated_expense","manhattan_condominiums_comparable_properties_expense_per_sqft","manhattan_condominiums_comparable_properties_net_operating_income","manhattan_condominiums_comparable_properties_full_market_value","manhattan_condominiums_comparable_properties_market_value_per_sqft","comparable_rental_1_boro_block_lot","comparable_rental_1_address","comparable_rental_1_neighborhood","comparable_rental_1_building_classification","comparable_rental_1_total_units","comparable_rental_1_year_built","comparable_rental_1_gross_sqft","comparable_rental_1_estimated_gross_income","comparable_rental_1_gross_income_per_sqft","comparable_rental_1_estimated_expense","comparable_rental_1_expense_per_sqft","comparable_rental_1_net_operating_income","comparable_rental_1_full_market_value","comparable_rental_1_market_value_per_sqft","comparable_rental_1_distance_from_condo_in_miles","comparable_rental_2_boro_block_lot","comparable_rental_2_address","comparable_rental_2_neighborhood","comparable_rental_2_building_classification","comparable_rental_2_total_units","comparable_rental_2_year_built","comparable_rental_2_gross_sqft","comparable_rental_2_estimated_gross_income","comparable_rental_2_gross_income_per_sqft","comparable_rental_2_estimated_expense","comparable_rental_2_expense_per_sqft","comparable_rental_2_net_operating_income","comparable_rental_2_full_market_value","comparable_rental_2_market_value_per_sqft","comparable_rental_2_distance_from_condo_in_miles","comparable_rental_3_boro_block_lot","comparable_rental_3_address","comparable_rental_3_neighborhood","comparable_rental_3_building_classification","comparable_rental_3_total_units","comparable_rental_3_year_built","comparable_rental_3_gross_sqft","comparable_rental_3_estimated_gross_income","comparable_rental_3_gross_income_per_sqft","comparable_rental_3_estimated_expense","comparable_rental_3_expense_per_sqft","comparable_rental_3_net_operating_income","comparable_rental_3_full_market_value","comparable_rental_3_market_value_per_sqft","comparable_rental_3_distance_from_condo_in_miles"
"1-00345-7502","2145-R1","196 STANTON STREET","1","10002","40.719807","-73.983048","3","2","2201","1088333","1003457502","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","6","1950","44742","1588341","35.5","412969","9.23","1175372","17869000","399.38","1-00348-0040","90 CLINTON STREET","LOWER EAST SIDE","D6-ELEVATOR","36","1900","38498","1366791","35.5","355488","9.23","1011303","7475000","194.17","0.18","1-00372-0060","274 EAST 2 STREET","ALPHABET CITY","D7-ELEVATOR","103","1997","80500","2764792","34.35","660879","8.21","2103913","15587000","193.63","0.17","1-00373-0060","291 EAST 3 STREET","ALPHABET CITY","D5-ELEVATOR","12","1900","11,160","342,516","30.69","72,201","6.47","270,315","1,661,000","148.84","0.21"
"1-00349-7501","1107-R1","130 SUFFOLK STREET","1","10002","40.719643","-73.985747","3","1","3001","1086070","1003497501","Chinatown                                                                  ","LOWER EAST SIDE","R2-CONDOMINIUM","48","1930","61673","2344807","38.02","824568","13.37","1520239","11507016","186.58","1-00469-0030","223 2 AVENUE","EAST VILLAGE","D9-ELEVATOR","75","1925","63158","2515280","39.83","730891","11.57","1784389","13488000","213.56","0.87","1-00348-0040","90 CLINTON STREET","LOWER EAST SIDE","D6-ELEVATOR","36","1900","38498","1366791","35.5","355488","9.23","1011303","7475000","194.17","0.1",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00350-7501","1096-R1","20 CLINTON STREET","1","10002","40.720732","-73.984202","3","2","2201","1004261","1003507501","Lower East Side                                                            ","LOWER EAST SIDE","R4-CONDOMINIUM","38","1930","32476","1175956","36.21","492661","15.17","683295","5039003","155.16","1-00411-0058","149 ESSEX STREET","LOWER EAST SIDE","D5-ELEVATOR","25","1910","30870","1417275","45.91","285857","9.26","1131418","8509000","275.64","0.2","1-00344-0065","93 PITT STREET","LOWER EAST SIDE","D9-ELEVATOR","36","1920","11000","398311","36.21","166916","15.17","231395","1243000","113","0.13","1-00348-0040","90 CLINTON STREET","LOWER EAST SIDE","D6-ELEVATOR","36","1900","38,498","1,366,791","35.5","355,488","9.23","1,011,303","7,475,000","194.17","0.17"
"1-00353-7501","1647-R1","103 NORFOLK STREET","1","10002","40.718822","-73.987147","3","1","18","1087502","1003537501","Chinatown                                                                  ","LOWER EAST SIDE","R4-CONDOMINIUM","31","2005","47873","1609012","33.61","440432","9.2","1168580","8636002","180.39","1-00350-0026","19 CLINTON STREET","LOWER EAST SIDE","D1-ELEVATOR","25","2005","36000","1329829","36.94","294256","8.17","1035573","7623000","211.75","0.19","1-00284-0019","183 EAST BROADWAY","LOWER EAST SIDE","D1-ELEVATOR","21","2007","46090","1396066","30.29","471962","10.24","924104","1730000","37.54","0.38",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00354-7501","1351-R1","133 NORFOLK STREET","1","10002","40.71992","-73.986594","3","1","3001","1004318","1003547501","Chinatown                                                                  ","LOWER EAST SIDE","R2-CONDOMINIUM","2","1900","2787","105627","37.9","43644","15.66","61983","427000","153.21","1-00411-0075","100 RIVINGTON STREET","LOWER EAST SIDE","C7-WALK-UP","24","1900","21120","879290","41.63","244304","11.57","634986","4605000","218.04","0.05","1-00410-0010","138 ORCHARD STREET","LOWER EAST SIDE","C7-WALK-UP","18","1900","9068","312028","34.41","109940","12.12","202088","1497000","165.09","0.12",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00375-7501","1213-R1","71 AVENUE D","1","10009","40.722298","-73.977052","3","2","2601","1004444","1003757501","Lower East Side                                                            ","ALPHABET CITY","R4-CONDOMINIUM","25","2001","27798","792799","28.52","309114","11.12","483685","3212028","115.55","1-00399-0044","183 EAST 3 STREET","ALPHABET CITY","D1-ELEVATOR","43","1950","35550","887469","24.96","232683","6.55","654786","4756000","133.78","0.29","1-00385-0005","27 AVENUE B","ALPHABET CITY","D5-ELEVATOR","57","1900","32225","1280553","39.74","326331","10.13","954222","7214000","223.86","0.2","1-00391-0012","610 EAST 9 STREET","ALPHABET CITY","C1-WALK-UP","24","1910","11,568","329,949","28.52","119,964","10.37","209,985","1,578,000","136.41","0.2"
"1-00384-7503","1720-R1","310 EAST HOUSTON STREET","1","10002","40.721333","-73.983336","3","2","2202","1087568","1003847503","Lower East Side                                                            ","ALPHABET CITY","R4-CONDOMINIUM","23","2005","34734","1202838","34.63","414029","11.92","788809","5840002","168.14","1-00445-0045","81 EAST 3 STREET","EAST VILLAGE","D1-ELEVATOR","45","2003","36047","1091808","30.29","369010","10.24","722798","5411000","150.11","0.42","1-00385-0005","27 AVENUE B","ALPHABET CITY","D5-ELEVATOR","57","1900","32225","1280553","39.74","326331","10.13","954222","7214000","223.86","0.04",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00384-7505","2176-R1","229 EAST 2 STREET","1","10009","40.721542","-73.982333","3","2","2202","1087923","1003847505","Lower East Side                                                            ","ALPHABET CITY","R4-CONDOMINIUM","5","2008","7405","263988","35.65","60647","8.19","203341","1501999","202.84","1-00350-0026","19 CLINTON STREET","LOWER EAST SIDE","D1-ELEVATOR","25","2005","36000","1329829","36.94","294256","8.17","1035573","7623000","211.75","0.12","1-00372-0060","274 EAST 2 STREET","ALPHABET CITY","D7-ELEVATOR","103","1997","80500","2764792","34.35","660879","8.21","2103913","15587000","193.63","0.15",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00385-7501","1618-R1","254 EAST 2 STREET","1","10009","40.721237","-73.981569","3","2","2202","1079679","1003857501","Lower East Side                                                            ","ALPHABET CITY","R4-CONDOMINIUM","47","2005","36472","1454868","39.89","319859","8.77","1135009","8579000","235.22","1-00385-0005","27 AVENUE B","ALPHABET CITY","D5-ELEVATOR","57","1900","32225","1280553","39.74","326331","10.13","954222","7214000","223.86","0","1-00389-0011","186 EAST 7 STREET","ALPHABET CITY","D1-ELEVATOR","174","1998","96000","5239919","54.58","1244260","12.96","3995659","29818000","310.6","0.19",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00386-7501","0548-R1","211 EAST 3 STREET","1","10009","40.722552","-73.982654","3","2","2601","1075842","1003867501","Lower East Side                                                            ","ALPHABET CITY","R2-CONDOMINIUM","13","1920","18990","518047","27.28","206991","10.9","311056","2244001","118.17","1-00386-0010","53 AVENUE B","ALPHABET CITY","C7-WALK-UP","18","1900","11485","425034","37.01","124333","10.83","300701","2213000","192.69","0","1-00385-0050","240 EAST 2 STREET","ALPHABET CITY","C4-WALK-UP","24","1910","11322","315525","27.87","111420","9.84","204105","1470000","129.84","0.05","1-00385-0054","232 EAST 2 STREET","ALPHABET CITY","C4-WALK-UP","24","1910","9,049","345,581","38.19","116,889","12.92","228,692","1,731,000","191.29","0.05"
"1-00389-7501","0545-R1","97 AVENUE B","1","10009","40.724679","-73.981488","3","2","2602","1075858","1003897501","Lower East Side                                                            ","ALPHABET CITY","R9-CONDOMINIUM","30","1901","20940","587576","28.06","264682","12.64","322894","2324000","110.98","1-00391-0059","299 EAST 8 STREET","ALPHABET CITY","C1-WALK-UP","30","1900","18732","515168","27.5","195039","10.41","320129","2211000","118.03","0.09","1-00390-0020","324 EAST 8 STREET","ALPHABET CITY","C4-WALK-UP","20","1910","6055","178138","29.42","70541","11.65","107597","807000","133.28","0.05","1-00392-0007","155 AVENUE B","ALPHABET CITY","C7-WALK-UP","22","1900","13,600","437,682","32.18","162,259","11.93","275,423","2,051,000","150.81","0.14"
"1-00390-7501","1183-R1","217 EAST 7 STREET","1","10009","40.724459","-73.979735","3","2","2602","1085928","1003907501","Lower East Side                                                            ","ALPHABET CITY","R4-CONDOMINIUM","16","2000","15704","541631","34.49","210120","13.38","331511","2455000","156.33","1-00391-0012","610 EAST 9 STREET","ALPHABET CITY","C1-WALK-UP","24","1910","11568","329949","28.52","119964","10.37","209985","1578000","136.41","0.05","1-00450-0015","320 EAST 9 STREET","EAST VILLAGE","D6-ELEVATOR","23","1988","12196","493331","40.45","162245","13.3","331086","2502000","205.15","0.41",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00390-7502","1125-R1","338 EAST 8 STREET","1","10009","40.724956","-73.979057","3","2","2602","1004715","1003907502","Lower East Side                                                            ","ALPHABET CITY","R9-CONDOMINIUM","78","2001","65832","2518732","38.26","789984","12","1728748","13083000","198.73","1-00400-0001","58 AVENUE A","ALPHABET CITY","D6-ELEVATOR","84","1940","79956","2501326","31.28","472858","5.91","2028468","15143000","189.39","0.2","1-00397-0063","250 EAST HOUSTON STREET","ALPHABET CITY","D6-ELEVATOR","146","1989","126660","5918620","46.73","1622031","12.81","4296589","32293000","254.96","0.32",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00392-7501","0341-R1","143 AVENUE B","1","10009","40.726416","-73.980222","3","2","28","1004784","1003927501","Lower East Side                                                            ","ALPHABET CITY","R4-CONDOMINIUM","83","1928","78982","2138833","27.08","853006","10.8","1285827","9281001","117.51","1-00393-0055","361 EAST 10 STREET","ALPHABET CITY","D1-ELEVATOR","38","1912","22776","667213","29.29","210897","9.26","456316","2893000","127.02","0.05","1-00402-0029","172 EAST 7 STREET","ALPHABET CITY","D1-ELEVATOR","25","1929","20886","544340","26.06","170420","8.16","373920","2574000","123.24","0.2",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00392-7502","1859-R1","631 EAST 9 STREET","1","10009","40.725842","-73.979269","3","2","28","1004782","1003927502","Lower East Side                                                            ","ALPHABET CITY","R4-CONDOMINIUM","12","2005","11603","469341","40.45","149679","12.9","319662","2415000","208.14","1-00393-0019","624 EAST 11 STREET","ALPHABET CITY","D9-ELEVATOR","25","1900","10782","354543","32.88","100682","9.34","253861","1888000","175.11","0.05","1-00389-0011","186 EAST 7 STREET","ALPHABET CITY","D1-ELEVATOR","174","1998","96000","5239919","54.58","1244260","12.96","3995659","29818000","310.6","0.14","1-00450-0015","320 EAST 9 STREET","EAST VILLAGE","D6-ELEVATOR","23","1988","12,196","493,331","40.45","162,245","13.3","331,086","2,502,000","205.15","0.41"
"1-00393-7501","1138-R1","642 EAST 11 STREET","1","10009","40.727009","-73.978407","3","2","28","1088368","1003937501","Lower East Side                                                            ","ALPHABET CITY","R2-CONDOMINIUM","35","1999","36046","1178344","32.69","429668","11.92","748676","5568999","154.5","1-00393-0021","628 EAST 11 STREET","ALPHABET CITY","C4-WALK-UP","16","1900","9385","323594","34.48","110076","11.73","213518","1581000","168.46","0","1-00392-0037","145 AVENUE C","ALPHABET CITY","C7-WALK-UP","30","1900","18836","615751","32.69","199831","10.61","415920","3094000","164.26","0.05","1-00392-0007","155 AVENUE B","ALPHABET CITY","C7-WALK-UP","22","1900","13,600","437,682","32.18","162,259","11.93","275,423","2,051,000","150.81","0.05"
"1-00394-7502","1113-R1","613 EAST 11 STREET","1","10009","40.727239","-73.978904","3","2","28","1085795","1003947502","Lower East Side                                                            ","ALPHABET CITY","R2-CONDOMINIUM","12","2001","15957","507433","31.8","178718","11.2","328715","2451000","153.6","1-00396-0026","638 EAST 14 STREET","ALPHABET CITY","C4-WALK-UP","20","1920","10740","380518","35.43","133176","12.4","247342","1828000","170.2","0.1","1-00393-0021","628 EAST 11 STREET","ALPHABET CITY","C4-WALK-UP","16","1900","9385","323594","34.48","110076","11.73","213518","1581000","168.46","0.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00394-7503","1124-R1","625 EAST 11 STREET","1","10009","40.727151","-73.978702","3","2","28","1085808","1003947503","Lower East Side                                                            ","ALPHABET CITY","R2-CONDOMINIUM","12","2001","11495","365541","31.8","128744","11.2","236797","1765999","153.63","1-00396-0026","638 EAST 14 STREET","ALPHABET CITY","C4-WALK-UP","20","1920","10740","380518","35.43","133176","12.4","247342","1828000","170.2","0.1","1-00393-0021","628 EAST 11 STREET","ALPHABET CITY","C4-WALK-UP","16","1900","9385","323594","34.48","110076","11.73","213518","1581000","168.46","0.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00396-7501","2105-R1","215 AVENUE B","1","10009","40.728875","-73.978428","3","2","28","1088495","1003967501","Lower East Side                                                            ","ALPHABET CITY","R4-CONDOMINIUM","17","2008","19333","782020","40.45","257129","13.3","524891","3543001","183.26","1-00394-0041","183 AVENUE C","ALPHABET CITY","D7-ELEVATOR","45","1910","24534","816647","33.29","276696","11.28","539951","4012000","163.53","0.1","1-00450-0015","320 EAST 9 STREET","EAST VILLAGE","D6-ELEVATOR","23","1988","12196","493331","40.45","162245","13.3","331086","2502000","205.15","0.48","1-00927-0037","332 EAST 22 STREET","KIPS BAY","D3-ELEVATOR","14","2008","11,813","531,585","45","136,990","11.6","394,595","2,969,000","251.33","0.56"
"1-00397-7501","0489-R1","175 EAST 2 STREET","1","10009","40.722522","-73.984635","3","2","3002","1066563","1003977501","East Village                                                               ","ALPHABET CITY","R4-CONDOMINIUM","21","1920","20038","541026","27","214607","10.71","326419","2355999","117.58","1-00398-0015","170 EAST 3 STREET","ALPHABET CITY","C4-WALK-UP","54","1930","20642","656348","31.8","240973","11.67","415375","3098000","150.08","0.05","1-00398-0026","192 EAST 3 STREET","ALPHABET CITY","C1-WALK-UP","20","1900","9270","205772","22.2","85494","9.22","120278","880000","94.93","0.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00397-7502","0628-R1","240 EAST HOUSTON STREET","1","10002","40.72211","-73.985858","3","2","3002","1084885","1003977502","East Village                                                               ","ALPHABET CITY","R4-CONDOMINIUM","16","1920","19854","534271","26.91","224350","11.3","309921","2238999","112.77","1-00397-0007","16 AVENUE A","ALPHABET CITY","D7-ELEVATOR","64","1920","48275","1150560","23.83","278122","5.76","872438","6353000","131.6","0","1-00397-0018","171 EAST 2 STREET","ALPHABET CITY","C7-WALK-UP","19","1900","10662","319734","29.99","115155","10.8","204579","1532000","143.69","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00397-7502","0628-R2","240 EAST HOUSTON STREET","1","10002","40.72211","-73.985858","3","2","3002","1084885","1003977502","East Village                                                               ","ALPHABET CITY","R4-CONDOMINIUM","1","1920","1996","64870","32.5","23772","11.91","41098","306000","153.31","1-00397-0018","171 EAST 2 STREET","ALPHABET CITY","C7-WALK-UP","19","1900","10662","319734","29.99","115155","10.8","204579","1532000","143.69","0","1-00350-0016","279 EAST HOUSTON STREET","LOWER EAST SIDE","C7-WALK-UP","20","1920","9432","306497","32.5","79395","8.42","227102","1690000","179.18","0.09","1-00350-0020","293 EAST HOUSTON STREET","LOWER EAST SIDE","C4-WALK-UP","19","1920","11,620","388,991","33.48","141,545","12.18","247,446","1,838,000","158.18","0.09"
"1-00398-7501","0394-R1","182 EAST 2 STREET","1","10009","40.722461","-73.984455","3","2","3002","1083436","1003987501","East Village                                                               ","ALPHABET CITY","R2-CONDOMINIUM","41","1987","35664","1068493","29.96","410136","11.5","658357","4675012","131.08","1-00399-0044","183 EAST 3 STREET","ALPHABET CITY","D1-ELEVATOR","43","1950","35550","887469","24.96","232683","6.55","654786","4756000","133.78","0.05","1-00397-0065","244 EAST HOUSTON STREET","ALPHABET CITY","D5-ELEVATOR","13","1900","9606","318427","33.15","103593","10.78","214834","1597000","166.25","0.05",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"1-00399-7501","0602-R1","50 AVENUE A","1","10009","40.723979","-73.985031","3","2","32","1075879","1003997501","East Village                                                               ","ALPHABET CITY","R9-CONDOMINIUM","17","1920","21314","570576","26.77","213140","10","357436","2584000","121.23","1-00399-0044","183 EAST 3 STREET","ALPHABET CITY","D1-ELEVATOR","43","1950","35550","887469","24.96","232683","6.55","654786","4756000","133.78","0","1-00398-0025","190 EAST 3 STREET","ALPHABET CITY","D9-ELEVATOR","23","1912","10656","226845","21.29","71020","6.66","155825","1143000","107.26","0.05","1-00397-0065","244 EAST HOUSTON STREET","ALPHABET CITY","D5-ELEVATOR","13","1900","9,606","318,427","33.15","103,593","10.78","214,834","1,597,000","166.25","0.1"
"1-00405-7503","1104-R1","511 EAST 11 STREET","1","10009","40.728239","-73.981271","3","2","34","1085819","1004057503","East Village                                                               ","ALPHABET CITY","R2-CONDOMINIUM","12","1999","14376","457876","31.85","155405","10.81","302471","2256000","156.93","1-00405-0014","512 EAST 12 STREET","ALPHABET CITY","C4-WALK-UP","20","1920","9730","341249","35.07","110100","11.32","231149","1710000","175.75","0","1-00405-0013","510 EAST 12 STREET","ALPHABET CITY","C7-WALK-UP","22","1920","9290","265950","28.63","95653","10.3","170297","1279000","137.67","0",," "," "," "," "," "," "," "," "," "," "," "," "," "," "
