"houseofworship","streetaddress","city","state","postcode","entrydate","permitnumber","dateissue","dateexpiry","permitstatus","permittype","borough","latitude","longitude","community_board","council_district","census_tract","bin","bbl","nta","geocoded_column"
"St. Marks Holy Tabernacle","901 East Tremont Avenue","Bronx","NY","10460","2015-08-24T00:00:00.000","2021-7173","2021-12-09T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","2","40.84221","-73.884611","6","17","363","2113796","2031210033","East Tremont","POINT (-73.884611 40.84221)"
"St. Mark's United Methodist Church","2017 Beverly Road","Brooklyn","NY","11226","2016-08-24T00:00:00.000","2021-7060","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.644891","-73.959742","14","40","51001","3117629","3051240057","Flatbush","POINT (-73.959742 40.644891)"
"St. Mary Magdalen Orthodox Church","70 West 107th Street","New York","NY","10025","2008-05-28T00:00:00.000","2021-6935","2021-07-30T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","1","40.799622","-73.961704","7","7","193","1087196","1018427503","Morningside Heights","POINT (-73.961704 40.799622)"
"St. Mary Protectress","97-06 87th Street","Ozone Park","NY","11416","2010-01-22T00:00:00.000","2022-7404","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","4","40.683726","-73.85352","9","32","42","4188321","4090580005","Woodhaven","POINT (-73.85352 40.683726)"
"St. Mary's Orthodox Church","8005 Ridge Boulevard","Brooklyn","NY","11209","2008-05-28T00:00:00.000","2022-7189","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.62834","-74.031998","10","43","64","3151231","3059870008","Bay Ridge","POINT (-74.031998 40.62834)"
"St. Matthew's Baptist Church","43 Macombs Place","New York","NY","10039","2013-10-21T00:00:00.000","2022-7479","2022-06-28T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","1","40.826406","-73.938332","10","9","236","1060605","1020370005","Central Harlem North-Polo Grounds","POINT (-73.938332 40.826406)"
"St Matthias RC Church","58-15 Catalpa Avenue","Ridgewood","NY","11385","2017-07-28T00:00:00.000","2021-6979","2021-08-27T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.701737","-73.902465","5","34","551","4445472","4034730061","Ridgewood","POINT (-73.902465 40.701737)"
"St. Michael's Roman Catholic Church","352 42nd Street","Brooklyn","NY","11232","2022-04-11T00:00:00.000","2022-7379","2022-04-14T00:00:00.000","2023-04-30T00:00:00.000","Active","New","3","40.651493","-74.008837","7","38","82","3010822","3007230028","Sunset Park West","POINT (-74.008837 40.651493)"
"St. Nicholas Antiochian Orthodox Cathedral","355 State Street","Brooklyn","NY","11217","2008-05-28T00:00:00.000","2022-7225","2022-01-19T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.68779","-73.984953","2","33","41","3000543","3001710039","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.984953 40.68779)"
"St. Nicholas Cathedral","15 E 97th St.","New York","NY","10029","2018-04-20T00:00:00.000","2022-7374","2022-04-14T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","1","40.788187","-73.954322","11","4","16002","1081331","1016030011","East Harlem South","POINT (-73.954322 40.788187)"
"St. Paul's Church Of The Nazarene","304 Monroe Street","Brooklyn","NY","11216","2008-05-28T00:00:00.000","2021-6938","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.685926","-73.946553","3","36","265","3051456","3018190012","Bedford","POINT (-73.946553 40.685926)"
"St. Paul's Episcopal /Angelican Church","489 St. Paul's Place","Bronx","NY","10456","2015-11-11T00:00:00.000","2022-7368","2022-04-11T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","2","40.836098","-73.903825","3","16","14702","2009542","2029110030","Claremont-Bathgate","POINT (-73.903825 40.836098)"
"St. Paul & St. Andrew United Methodist Church","263 W 86th St","New York","NY","10024","2018-07-11T00:00:00.000","2021-6975","2021-08-27T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","1","40.788672","-73.977332","7","6","175","1033195","1012347502","Upper West Side","POINT (-73.977332 40.788672)"
"St. Peter's Episcopal Church","346 W. 20th St.","New York","NY","10011","2019-11-24T00:00:00.000","2021-7161","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.74399","-74.001213","4","3","89","1013234","1007430072","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-74.001213 40.74399)"
"St. Peter's Episcopal Church","137-28 244th Street","Rosedale","NY","11422","2018-10-25T00:00:00.000","2021-7133","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","4","40.667955","-73.733041","13","31","638","4284509","4132410043","Rosedale","POINT (-73.733041 40.667955)"
"St. Stephen Church Inc","199 Edgecombe Avenue","New York","NY","10030","2008-05-29T00:00:00.000","2022-7405","2022-05-03T00:00:00.000","2023-05-31T00:00:00.000","Active","Renew","1","40.822681","-73.944315","9","9","227","1061069","1020510074","Hamilton Heights","POINT (-73.944315 40.822681)"
"St. Thomas Protestant Episcopal Church","1405 Bushwick Avenue","Brooklyn","NY","11207","2014-08-06T00:00:00.000","2021-7131","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.684665","-73.909632","4","37","403","3326473","3034390003","Bushwick South","POINT (-73.909632 40.684665)"
"Sunnyside Congregation of Jehovah's Witnesses","48-18 69th Street","Woodside","NY","11377","2017-12-30T00:00:00.000","2022-7441","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","4","40.738157","-73.89592","2","30","243","4056263","4024290054","Elmhurst-Maspeth","POINT (-73.89592 40.738157)"
"Sunset Park Community Church/Salem Gospel Tabernac","5324 4th Avenue","Brooklyn","NY","11220","2010-01-22T00:00:00.000","2021-7061","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","3","40.644614","-74.014518","7","38","76","3014205","3008140045","Sunset Park West","POINT (-74.014518 40.644614)"
"Sutton Place Synagogue","225 East 51st Street","New York","NY","10022","2010-01-22T00:00:00.000","2022-7462","2022-06-08T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","1","40.756156","-73.969586","6","4","98","1038467","1013250015","Turtle Bay-East Midtown","POINT (-73.969586 40.756156)"
"Tabernaculo New York Revelation","38-01 58th Street","Flushing","NY","11377","2021-11-04T00:00:00.000","2022-7465","2022-06-08T00:00:00.000","2023-06-30T00:00:00.000","Active","New","4","40.74832","-73.905154","2","26","259","4027691","4012130012","Woodside","POINT (-73.905154 40.74832)"
"Templo De La Fe Viva. Inc.","4221 Park Avenue","Bronx","NY","10457","2016-03-21T00:00:00.000","2021-6910","2021-07-02T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","2","40.847984","-73.899156","6","15","379","2011095","2030270041","Mount Hope","POINT (-73.899156 40.847984)"
"Tenth Street Church Of Christ","257 East 10th Street","New York","NY","10009","2013-04-19T00:00:00.000","2022-7354","2022-04-05T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","1","40.72847","-73.983692","3","2","34","1005961","1004380049","East Village","POINT (-73.983692 40.72847)"
"The Bethelship Norwegian United Methodist Church","5523 4th Avenue","Brooklyn","NY","11220","2017-08-02T00:00:00.000","2021-7014","2021-09-14T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.643492","-74.01566","7","38","76","3014934","3008310001","Sunset Park West","POINT (-74.01566 40.643492)"
"The Brooklyn Tabernacle","17 Smith Street","Brooklyn","NY","11201","2014-06-04T00:00:00.000","2021-6977","2021-08-27T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.690979","-73.987599","2","33","37","3335898","3001550005","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","POINT (-73.987599 40.690979)"
"The Central Islamic Organization of New York, Inc.","130-08 Rockaway Blvd.","South Ozone Par","NY","11420","2016-03-03T00:00:00.000","2021-7017","2021-09-17T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.674969","-73.80831","10","28","818","4254932","4117540052","South Ozone Park","POINT (-73.80831 40.674969)"
"The Cham Presbyterian Church of New York","199-03 32nd Ave","Bayside","NY","11358","2019-11-15T00:00:00.000","2021-7098","2021-11-03T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","4","40.7695","-73.790044","11","19","1085","4134013","4060220022","Bayside-Bayside Hills","POINT (-73.790044 40.7695)"
"The Christian Community","309 West 74th Street","New York","NY","10023","2008-04-29T00:00:00.000","2021-7118","2021-11-22T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","1","40.781273","-73.983841","7","6","163","1031004","1011840071","Upper West Side","POINT (-73.983841 40.781273)"
"The Church of Gethsemane","1012 8th Avenue","Brooklyn","NY","11215","2016-06-07T00:00:00.000","2021-6894","2021-07-01T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.665018","-73.979847","6","39","151","3412951","3010940041","Park Slope-Gowanus","POINT (-73.979847 40.665018)"
"The Church of St. Edward the Martyr","14 East 109th Street","New York","NY","10029","2018-09-11T00:00:00.000","2022-7461","2022-06-08T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","1","40.795958","-73.949108","11","9","17401","1051593","1016140064","East Harlem South","POINT (-73.949108 40.795958)"
"The Church Of The Redeemer","30-14 Crescent Street","Astoria","NY","11102","2010-09-07T00:00:00.000","2022-7444","2022-05-25T00:00:00.000","2022-11-30T00:00:00.000","Active","Replace","4","40.768251","-73.925266","1","22","73","4006779","4005720044","Old Astoria","POINT (-73.925266 40.768251)"
"The Church Of The Village","201 West 13th Street","New York","NY","10011","2015-09-10T00:00:00.000","2021-7169","2021-12-07T00:00:00.000","2022-09-30T00:00:00.000","Active","Replace","1","40.738001","-74.000476","2","3","77","1011113","1006180040","West Village","POINT (-74.000476 40.738001)"
"The Evangelical Lutheran Church Of The Resurrectio","189-20 114th Road","St. Albans","NY","11412","2013-05-29T00:00:00.000","2021-6858","2021-06-18T00:00:00.000","2022-06-30T00:00:00.000","Active","Renew","4","40.697533","-73.763645","12","27","400","4221225","4103940007","St. Albans","POINT (-73.763645 40.697533)"
"The First Chinese Baptist Church","21 Pell Street","New York","NY","10013","2008-05-07T00:00:00.000","2022-7369","2022-04-11T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","1","40.714843","-73.998175","3","1","29","1001699","1001620024","Chinatown","POINT (-73.998175 40.714843)"
"The Full Gospel First Church of NY","41- 15 150 Street","Flushing","NY","11355","2019-08-28T00:00:00.000","2021-6953","2021-08-02T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","4","40.762284","-73.813765","7","20","1167","4114915","4050580013","Murray Hill","POINT (-73.813765 40.762284)"
"The Good Shepherd Spiritual Baptist Church Inc","2050 Nostrand Avenue","Brooklyn","NY","11210","2011-11-18T00:00:00.000","2021-7123","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.635398","-73.947934","14","45","786","3121733","3052520050","Flatbush","POINT (-73.947934 40.635398)"
"The Islamic Center of Queens New York","57 -16  37th Avenue","Woodside","NY","11377","2014-06-18T00:00:00.000","2021-6875","2021-06-18T00:00:00.000","2022-06-30T00:00:00.000","Active","Renew",,,,,,,,,,
"The New Move of God Pentecostal Church","327 Bolton Avenue","Bronx","NY","10473","2018-04-11T00:00:00.000","2022-7442","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","2","40.812152","-73.857005","9","18","2","2020480","2034730049","Soundview-Castle Hill-Clason Point-Harding Park","POINT (-73.857005 40.812152)"
"Theotokos Unexpected Joy Church At St. Markella Ca","2268 26th Street","Astoria","NY","11105","2015-12-10T00:00:00.000","2022-7215","2022-01-10T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.776901","-73.915468","1","22","101","4432126","4008660059","Steinway","POINT (-73.915468 40.776901)"
"The Park Avenue Christian Church","1010 Park Ave","New York","NY","10028","2020-06-16T00:00:00.000","2021-7062","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","1","40.779304","-73.957852","8","4","15001","1046823","1014967502","Upper East Side-Carnegie Hill","POINT (-73.957852 40.779304)"
"The Redeemed Christian Church of God (Chapel of Ho","323/ 325 Rockaway Avenue","Brooklyn","NY","11233","2020-10-06T00:00:00.000","2022-7315","2022-03-08T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew",,,,,,,,,,
"The Reform Temple of Forest HIlls","71-11 112th Street","Forest Hills","NY","11375","2011-02-17T00:00:00.000","2022-7256","2022-02-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","4","40.722669","-73.839152","6","29","75702","4052694","4022460031","Forest Hills","POINT (-73.839152 40.722669)"
"The Remnant Presbyterian Church","206 East 29TH Street","New York","NY","10016","2011-10-13T00:00:00.000","2021-7063","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","1","40.742399","-73.979986","6","2","66","1019909","1009090050","Murray Hill-Kips Bay","POINT (-73.979986 40.742399)"
"The Seokwang Korean Presbyterian Church of New Yor","3705 54th Street","Woodside","NY","11377","2015-08-31T00:00:00.000","2022-7273","2022-02-17T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","4","40.750955","-73.907936","2","26","255","4027622","4012090001","Woodside","POINT (-73.907936 40.750955)"
"The United Methodist Church of Richmond Hill","112-14 107th Avenue","South Richmond","NY","11419","2017-03-01T00:00:00.000","2022-7298","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","4","40.682778","-73.828882","10","28","100","4203386","4095500001","South Ozone Park","POINT (-73.828882 40.682778)"
"The Universal Church Inc.","612 West 180 St","New York","NY","10033","2017-10-18T00:00:00.000","2022-7186","2022-01-05T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","1","40.84882","-73.934718","12","10","263","1063897","1021620033","Washington Heights South","POINT (-73.934718 40.84882)"
"The Universal Church Inc.","47 4th Avenue","Brooklyn","NY","11217","2018-01-29T00:00:00.000","2022-7301","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.682955","-73.97929","6","39","12901","3018411","3009300003","Park Slope-Gowanus","POINT (-73.97929 40.682955)"
"Three Angels Gospel Adventist Ministries, Inc","599 Hageman Avenue","Brooklyn","NY","11208","2013-06-03T00:00:00.000","2022-7476","2022-06-27T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew",,,,,,,,,,
"Tian Fu United Methodist Church","4616 4th Ave","Brooklyn","NY","11220","2017-11-25T00:00:00.000","2021-7162","2021-12-03T00:00:00.000","2022-12-31T00:00:00.000","Active","Renew","3","40.648565","-74.010407","7","38","80","3011823","3007550045","Sunset Park West","POINT (-74.010407 40.648565)"
"Tomchei Torah of New York","1966 Ocean Ave","Brooklyn","NY","11230","2015-10-14T00:00:00.000","2021-7105","2021-11-03T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.61423","-73.954232","14","48","546","3181618","3067570045","Midwood","POINT (-73.954232 40.61423)"
"Trinity Baptist Church","179 New York Avenue","Brooklyn","NY","11216","2012-06-01T00:00:00.000","2022-7362","2022-04-05T00:00:00.000","2022-11-30T00:00:00.000","Active","Replace","3","40.673923","-73.947323","8","36","341","3031284","3012350007","Crown Heights North","POINT (-73.947323 40.673923)"
"Trinity Evangelical Lutheran Church","2125 Watson Avenue","Bronx","NY","10472","2018-05-11T00:00:00.000","2021-6941","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","2","40.829501","-73.852614","9","18","78","2026420","2038090018","Westchester-Unionport","POINT (-73.852614 40.829501)"
"Trinity Tabernacle of Gravesend","121 Gravesend Neck Road","Brooklyn","NY","11223","2009-02-23T00:00:00.000","2022-7268","2022-02-14T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.595049","-73.971003","15","47","396","3342631","3071270028","Homecrest","POINT (-73.971003 40.595049)"
"Triumphant Full Gospel Assembly","892-900 Rutland Road","Brooklyn","NY","11203","2008-06-03T00:00:00.000","2022-7372","2022-04-11T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.660681","-73.929824","17","41","878","3099663","3046050006","Prospect Lefferts Gardens-Wingate","POINT (-73.929824 40.660681)"
"United Christian Baptist Church","713 East 222nd Street","Bronx","NY","10467","2019-10-31T00:00:00.000","2021-7099","2021-11-03T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","2","40.885448","-73.860844","12","12","396","2063318","2048360040","Williamsbridge-Olinville","POINT (-73.860844 40.885448)"
"United Church of Jesus Christ","3936 Bronxwood Avenue","Bronx","NY","10466","2022-04-21T00:00:00.000","2022-7463","2022-06-08T00:00:00.000","2023-06-30T00:00:00.000","Active","New","2","40.884983","-73.855254","12","12","398","2064328","2048590049","Williamsbridge-Olinville","POINT (-73.855254 40.884983)"
"United Community Baptist Church","545 Utica Avenue","Brooklyn","NY","11203","2008-04-30T00:00:00.000","2021-7101","2021-11-03T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","3","40.659971","-73.931252","17","41","878","3099656","3046040075","Prospect Lefferts Gardens-Wingate","POINT (-73.931252 40.659971)"
"United Lubavitch Yeshivoth","841-853 Ocean Parkway","Brooklyn","NY","11230","2008-04-30T00:00:00.000","2022-7241","2022-02-02T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.628017","-73.971183","12","45","458","3170485","3065090064","Midwood","POINT (-73.971183 40.628017)"
"United Methodist City Society- St. Paul NYC","14 -50 31st Road","Astoria","NY","11106","2017-10-06T00:00:00.000","2021-7065","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew",,,,,,,,,,
"United Nations Pentecostal Church","1494 Ocean Ave","Brooklyn","NY","11230","2018-05-17T00:00:00.000","2022-7470","2022-06-10T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","3","40.625372","-73.956335","14","45","762","3180181","3067217501","Midwood","POINT (-73.956335 40.625372)"
"United Temple of Park Slope","315 8th Street","Brooklyn","NY","11215","2016-07-18T00:00:00.000","2021-6976","2021-08-27T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.669243","-73.984658","6","39","137","3021923","3009990059","Park Slope-Gowanus","POINT (-73.984658 40.669243)"
"Unity Church Of New York","225 West 99th Street","New York","NY","10025","2014-11-18T00:00:00.000","2021-7121","2021-11-23T00:00:00.000","2022-11-30T00:00:00.000","Active","Renew","1","40.796259","-73.969564","7","7","187","1084035","1018710029","Upper West Side","POINT (-73.969564 40.796259)"
"Unity East Church Center","1901 Beverly Road","Brooklyn","NY","11226","2014-01-17T00:00:00.000","2022-7280","2022-03-01T00:00:00.000","2023-01-31T00:00:00.000","Active","Replace","3","40.644751","-73.961036","14","40","51001","3117615","3051230047","Flatbush","POINT (-73.961036 40.644751)"
"Universal Church Of God Inc","109-34 Guy R Brewer Blvd","Jamaica","NY","11433","2008-04-30T00:00:00.000","2022-7205","2022-01-06T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.694356","-73.789642","12","28","260","4263377","4121520053","South Jamaica","POINT (-73.789642 40.694356)"
"Universal Temple Church Of God  Inc","1403 Eastern Parkway","Brooklyn","NY","11233","2013-09-27T00:00:00.000","2022-7260","2022-02-07T00:00:00.000","2023-10-31T00:00:00.000","Active","Renew","3","40.668863","-73.921481","16","41","361","3039550","3014750015","Ocean Hill","POINT (-73.921481 40.668863)"
"Un Nuevo Tiempo Bajo Su Gloria","502 Woodward Avenue","Ridgewood","NY","11385","2021-01-26T00:00:00.000","2022-7326","2022-03-18T00:00:00.000","2023-02-28T00:00:00.000","Active","Replace","4","40.707386","-73.909937","5","34","591","4081359","4034050037","Ridgewood","POINT (-73.909937 40.707386)"
"Upper Room Baptist Church Inc","1373 College Avenue","Bronx","NY","10456","2008-04-30T00:00:00.000","2021-6866","2021-06-18T00:00:00.000","2022-06-30T00:00:00.000","Active","Renew","2","40.836711","-73.911074","4","16","17702","2007279","2027850046","East Concourse-Concourse Village","POINT (-73.911074 40.836711)"
"USA Pandit Parishad Inc.","197-07 Jamaica Avenue","Hollis","NY","11423","2017-12-05T00:00:00.000","2022-7223","2022-01-13T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","4","40.713396","-73.762626","12","23","484","4222519","4104660096","Hollis","POINT (-73.762626 40.713396)"
"Vanderveer Park United Methodist Church","3114 Glenwood Road","Brooklyn","NY","11210","2008-04-30T00:00:00.000","2021-7023","2021-09-23T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.634066","-73.946573","14","45","786","3336757","3075590039","Flatbush","POINT (-73.946573 40.634066)"
"Van Nest Assembly Of God","755 Rhinelander Ave","Bronx","NY","10462","2012-08-15T00:00:00.000","2021-7064","2021-10-01T00:00:00.000","2022-10-31T00:00:00.000","Active","Renew","2","40.847859","-73.86488","11","15","230","2047937","2042600001","Van Nest-Morris Park-Westchester Square","POINT (-73.86488 40.847859)"
"Victory In Christ Church Inc.","1444 Broadway","Brooklyn","NY","11221","2016-06-07T00:00:00.000","2021-7004","2021-09-09T00:00:00.000","2022-07-31T00:00:00.000","Active","Replace","3","40.688004","-73.919464","3","41","375","3039727","3014840020","Stuyvesant Heights","POINT (-73.919464 40.688004)"
"Vishnu Mandir","1216 Noble Avenue","Bronx","NY","10472","2017-05-31T00:00:00.000","2021-6916","2021-07-29T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","2","40.830049","-73.869816","9","18","68","2024577","2037600018","Soundview-Bruckner","POINT (-73.869816 40.830049)"
"Wake-Eden Community Baptist Church","2074 Strang Avenue","Bronx","NY","10466","2010-01-25T00:00:00.000","2021-6937","2021-07-30T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","2","40.890773","-73.839801","12","12","426","2066715","2049580032","Woodlawn-Wakefield","POINT (-73.839801 40.890773)"
"Wayside Baptist Church","1746-60 Broadway","Brooklyn","NY","11207","2012-06-25T00:00:00.000","2021-6895","2021-07-01T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.682939","-73.910522","16","37","369","3040992","3015120022","Ocean Hill","POINT (-73.910522 40.682939)"
"Williamsburgh Pentecostal Church","674 Metropolitan Avenue","Brooklyn","NY","11211","2018-03-20T00:00:00.000","2022-7296","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.714309","-73.946653","1","34","503","3068844","3027630020","East Williamsburg","POINT (-73.946653 40.714309)"
"Williamsburg Spanish Seventh-dayAdventist Church","319 Grand Street","Brooklyn","NY","11211","2019-03-12T00:00:00.000","2022-7304","2022-03-03T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.712645","-73.956476","1","34","519","3062707","3023840038","North Side-South Side","POINT (-73.956476 40.712645)"
"Xi Fang Temple","5101 8th Ave","Brooklyn","NY","11220","2012-03-13T00:00:00.000","2022-7325","2022-03-15T00:00:00.000","2023-03-31T00:00:00.000","Active","Renew","3","40.640468","-74.004374","12","38","108","3138136","3056510010","Sunset Park East","POINT (-74.004374 40.640468)"
"Yeshe Nyingpo Inc","19 West 16th Street","NewYork","NY","10011","2008-05-30T00:00:00.000","2022-7254","2022-02-03T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","1","40.737715","-73.993544","5","3","54","1015387","1008180024","Hudson Yards-Chelsea-Flatiron-Union Square","POINT (-73.993544 40.737715)"
"Yeshivath Divrei Chaim","1214 43rd Street","Brooklyn","NY","11219","2010-01-25T00:00:00.000","2022-7417","2022-05-16T00:00:00.000","2023-01-31T00:00:00.000","Active","Replace","3","40.639378","-73.990279","12","39","224","3136137","3056040012","Borough Park","POINT (-73.990279 40.639378)"
"Yeshivat Hechal Shemuel, Inc.","1532 E 10th Street","Brooklyn","NY","11230","2016-07-05T00:00:00.000","2021-6927","2021-07-30T00:00:00.000","2022-07-31T00:00:00.000","Active","Renew","3","40.611502","-73.963688","12","44","420","3175145","3066160019","Homecrest","POINT (-73.963688 40.611502)"
"Yeshivat Or Hatorah","2119 Homecrest Avenue","Brooklyn","NY","11229","2008-05-30T00:00:00.000","2022-7443","2022-05-24T00:00:00.000","2023-06-30T00:00:00.000","Active","Renew","3","40.597936","-73.959061","15","48","582","3199477","3073450070","Homecrest","POINT (-73.959061 40.597936)"
"Yeshivat Shaare Torah","1680 Coney Island Avenue","Brooklyn","NY","11230","2008-05-30T00:00:00.000","2022-7310","2022-03-07T00:00:00.000","2023-02-28T00:00:00.000","Active","Renew","3","40.616484","-73.963617","12","44","454","3173152","3065730025","Ocean Parkway South","POINT (-73.963617 40.616484)"
"Yeshiva Zichron Meilech","510 Dahill Road","Brooklyn","NY","11218","2008-05-30T00:00:00.000","2021-7184","2021-12-15T00:00:00.000","2023-01-31T00:00:00.000","Active","Renew","3","40.635064","-73.979052","12","39","478","3328435","3053820024","Borough Park","POINT (-73.979052 40.635064)"
"Young Israel Beth-El of Borough Park","4802 15th Avenue","Brooklyn","NY","11219","2008-05-30T00:00:00.000","2021-7028","2021-09-23T00:00:00.000","2022-09-30T00:00:00.000","Active","Renew","3","40.632839","-73.987235","12","44","234","3137508","3056360036","Borough Park","POINT (-73.987235 40.632839)"
"Young Israel Of Bedford Bay","2114 Brown Street","Brooklyn","NY","11229","2013-03-25T00:00:00.000","2022-7377","2022-04-14T00:00:00.000","2023-04-30T00:00:00.000","Active","Renew","3","40.600126","-73.93988","15","46","570","3200302","3073640011","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","POINT (-73.93988 40.600126)"
"Young Israel of the West Side","210 West 91st Street","New York","NY","10024","2021-08-30T00:00:00.000","2022-7475","2022-06-13T00:00:00.000","2023-06-30T00:00:00.000","Active","New","1","40.791078","-73.9732","7","6","179","1033559","1012387502","Upper West Side","POINT (-73.9732 40.791078)"
"Zion Gospel Tabernacle Inc.","457 Saratoga Avenue","Brooklyn","NY","11233","2015-04-07T00:00:00.000","2021-6970","2021-08-26T00:00:00.000","2022-08-31T00:00:00.000","Active","Renew","3","40.670191","-73.917063","16","41","361","3039478","3014720006","Ocean Hill","POINT (-73.917063 40.670191)"
