ADRES;APOTHEEK;HUISARTS;FYSIO;TANDARTS;BIBLIOTHEEK;PSYCHO;ZIEKENHUIS;VERPLEEGHUIS;VERZORGINGSHUIS;FITPLAATS;OVHALTE_RG;OUDERENSOCIETEIT;BUURTHUIS;BUURTHUISVANDETOEKOMST;PRIMAIROND;KINDEROPVANG;ZORGINSTELLING;WELZIJN;SUPERMARKT;COUNTER
Van Boetzelaerlaan 107;621;400;97;304;1391;359;1407;1547;1029;1211;136;606;723;1320;324;274;1029;723;541;155
Van Boetzelaerlaan 97 en 1 andere adressen;655;434;131;338;1358;393;1374;1580;996;1245;125;639;756;1287;357;308;996;756;509;156
Zeezwaluwstraat 245 en 9 andere adressen;625;625;592;777;2308;999;2055;2480;1958;765;566;467;467;1544;525;264;1958;467;658;329
Spotvogellaan 46 en 1 andere adressen;992;541;868;719;1779;1442;1764;926;941;2369;255;507;2104;595;184;112;926;2104;1227;330
Spotvogellaan 50;1004;554;856;731;1767;1429;1777;939;929;2381;268;494;2116;607;196;100;929;2116;1215;331
Stevinstraat 26 en 1 andere adressen;503;326;51;191;898;1533;3068;1176;1113;1824;247;313;703;600;61;73;1113;703;546;332
Stille Veerkade 15;316;141;141;117;540;136;1329;1040;796;2556;371;209;739;235;397;60;796;739;333;333
Stille Veerkade 35;380;205;205;163;604;74;1267;1104;860;2620;435;274;760;173;335;58;860;760;397;334
Stevinstraat 101;273;189;68;222;1316;1951;2652;1118;1261;2183;122;289;1121;289;394;303;1118;1121;248;335
Stevinstraat 137 en 2 andere adressen;314;245;112;166;1372;2006;2597;1062;1275;2239;79;234;1177;234;450;247;1062;1177;303;336
Stevinstraat 193;98;375;155;33;1591;2146;2381;858;1376;2458;149;307;1396;365;339;32;858;1396;450;337
Stevinstraat 223;101;306;304;181;1698;1998;2232;761;1276;2607;88;184;1545;514;271;63;761;1545;599;338
Stevinstraat 231;130;335;332;210;1727;1968;2203;732;1247;2636;59;155;1573;543;299;91;732;1573;627;339
Stokroosstraat 127 en 7 andere adressen;477;571;648;413;1259;870;1250;648;831;2141;452;206;981;143;691;331;648;981;490;340
Stevinstraat 257 en 1 andere adressen;212;300;399;292;1803;1887;2122;695;1165;2704;19;118;1655;625;264;109;695;1655;709;341
Stevinstraat 283;272;299;398;352;1863;1825;2059;687;1103;2642;79;178;1716;685;324;113;687;1716;770;342
Stevinstraat 395;343;283;382;423;1853;1762;1997;671;1040;2579;150;249;1787;671;317;96;671;1787;841;343
Stille Veerkade 24;338;162;162;139;561;115;1308;1062;818;2578;392;231;760;214;377;39;818;760;355;344
Statenplein 7;230;161;203;100;1613;185;1756;1258;1379;1565;70;892;1061;1669;354;317;1258;1061;443;345
Stuyvesantstraat 105 en 6 andere adressen;115;197;96;230;558;403;2872;2008;936;1748;83;263;477;437;560;173;936;477;141;226
Strausslaan 65 en 7 andere adressen;914;434;153;46;660;706;2716;870;658;3333;616;639;639;647;501;265;658;639;897;227
Strausslaan 58;1115;640;358;228;657;886;2922;866;837;3411;796;840;844;827;681;262;837;844;1103;228
Strausslaan 78;1039;559;278;148;595;823;2841;804;775;3349;733;763;763;764;619;200;775;763;1022;229
Stuyvesantstraat 357 en 5 andere adressen;442;288;331;173;392;380;2871;2034;974;1233;151;321;614;488;224;209;974;614;414;230
Symfoniestraat 113;687;687;458;279;522;813;3032;1378;715;3866;333;466;466;975;402;160;715;466;499;231
Symfoniestraat 121;692;692;463;283;526;781;3036;1383;720;3871;338;470;470;942;406;127;720;470;504;232
Symfoniestraat 151 en 14 andere adressen;677;734;505;325;565;732;3079;1425;689;3913;380;512;512;893;435;78;689;512;543;233
Stuwstraat 152 en 10 andere adressen;523;536;499;780;817;1233;3507;1908;2010;384;419;304;332;198;306;168;1908;332;322;234
Stuwstraat 330 en 5 andere adressen;792;806;627;465;637;1502;3776;2178;2279;69;440;115;618;485;139;139;2178;618;502;235
Symfoniestraat 18;548;548;319;139;382;681;2893;1239;576;3727;194;326;326;1077;385;199;576;326;360;236
Symfoniestraat 36;603;603;374;194;437;736;2947;1294;631;3782;249;381;381;1023;374;208;631;381;415;237
Van Stolkweg 1A en 2 andere adressen;941;585;690;599;925;1108;2793;658;514;2777;391;1028;1028;1420;776;468;514;1028;1192;238
Van Stolkweg 7A;835;478;583;608;818;1001;2886;551;606;2854;455;921;921;1314;868;560;551;921;1085;239
Van Stolkweg 11 en 1 andere adressen;799;442;547;572;782;965;2929;515;575;2818;419;885;885;1278;912;604;515;885;1049;240
Strausslaan 136;986;505;224;94;613;777;2788;823;729;3368;687;710;710;718;572;218;729;710;968;241
Van Stolkweg 13 en 1 andere adressen;776;420;525;550;760;943;2948;493;553;2796;397;863;863;1255;931;623;493;863;1027;242
Van Stolkweg 15;752;396;501;526;736;919;2975;469;529;2772;373;839;839;1231;958;649;469;839;1003;243
Suzannaland 7;863;500;217;437;2167;379;4337;918;217;905;406;179;1416;319;397;397;217;1416;366;244
1e Sweelinckstraat 6;460;400;233;81;783;293;2087;1695;314;2885;85;445;888;1430;526;94;314;888;458;245
Stuwstraat 376 en 5 andere adressen;845;858;573;410;583;1554;3829;2230;2332;116;386;168;670;537;191;191;2230;670;555;246
Stuyvesantplein 39 en 2 andere adressen;30;239;206;253;504;290;2914;1974;977;1638;126;209;500;323;456;154;977;500;105;247
Van Swietenstraat 139 en 2 andere adressen;730;264;126;185;703;308;1632;1216;408;2292;199;260;603;1263;684;47;408;603;297;248
Strausslaan 142;957;477;195;65;638;748;2759;848;700;3376;658;681;681;689;543;243;700;681;939;249
Sumatrastraat 254 en 1 andere adressen;312;59;70;403;1027;294;2002;1586;1000;2248;202;648;2046;544;489;153;1000;2046;265;250
Stuwstraat 64 en 3 andere adressen;363;376;376;843;890;1072;3347;1748;1849;518;437;438;171;37;303;247;1748;171;395;251
Strausslaan 144;963;483;201;71;643;754;2765;852;706;3382;664;687;687;695;550;248;706;687;946;252
Strausslaan 150;831;170;309;327;682;861;2452;747;718;3069;522;555;555;802;485;492;718;555;884;253
Strausslaan 170;930;450;169;68;683;722;2733;892;674;3349;632;655;655;663;517;288;674;655;913;254
Strausslaan 174;807;229;285;303;741;838;2511;806;694;3128;581;532;532;779;516;523;694;532;860;255
Strausslaan 184;784;304;203;221;816;756;2586;881;671;3203;656;509;509;697;493;441;671;509;837;256
Strausslaan 186;791;311;201;219;823;754;2593;888;678;3210;663;516;516;695;500;438;678;516;844;257
Strausslaan 192;915;435;154;75;690;707;2718;900;659;3334;617;640;640;648;502;295;659;640;898;258
Westeinde 23 en 1 andere adressen;186;186;373;69;923;299;927;1119;1582;2561;303;311;558;418;301;34;1119;558;205;259
Weimarstraat 227 en 3 andere adressen;412;258;297;342;396;285;1752;1571;261;1244;162;323;488;261;466;27;261;488;57;260
Westeinde 299;154;105;113;199;1170;244;638;816;1569;2259;393;234;529;116;331;234;816;529;611;261
Weissenbruchstraat 194;211;217;223;370;1104;1234;1628;1576;1109;1836;325;136;1641;1104;39;39;1109;1641;221;262
Weissenbruchstraat 70 en 4 andere adressen;275;245;51;125;1194;992;1848;1817;1167;2057;80;346;1828;1194;235;172;1167;1828;49;263
Weigeliaplein 162 en 5 andere adressen;459;299;256;256;775;217;1625;1350;403;1442;369;97;108;549;469;306;403;108;706;264
Weimarstraat 145 en 3 andere adressen;279;191;242;275;599;312;1714;1490;464;1447;95;256;286;464;453;218;464;286;40;265
Weimarstraat 141 en 3 andere adressen;273;197;249;281;605;318;1720;1484;471;1453;102;262;280;471;459;225;471;280;46;266
Westkapellelaan 224;1565;1922;917;438;2250;1648;3692;2414;1392;4183;273;837;2194;576;671;467;1392;2194;1501;267
Weimarstraat 209 en 1 andere adressen;388;234;285;318;420;309;1757;1547;285;1268;138;299;464;285;489;39;285;464;81;268
Werfstraat 34;332;290;258;310;727;1261;3576;952;803;2078;299;119;378;411;867;105;803;378;390;269
Werfstraat 223;222;401;148;285;616;1150;3466;842;999;2251;269;210;267;345;778;305;842;267;279;270
Weissenbruchstraat 13 en 6 andere adressen;379;151;156;123;1137;935;1910;1922;1110;2118;78;450;1826;1137;340;155;1110;1826;154;271
Wouwermanstraat 127 en 5 andere adressen;409;158;86;607;1017;1711;1537;765;1789;2005;117;551;554;496;325;135;765;554;428;272
Witte de Withstraat 14 en 3 andere adressen;362;315;330;124;104;408;1520;1128;607;2564;127;275;133;1165;357;98;607;133;201;273
Weissenbruchstraat 51 en 2 andere adressen;305;225;81;98;1168;965;1878;1847;1140;2087;54;376;1801;1168;265;146;1140;1801;79;274
Weissenbruchstraat 57 en 2 andere adressen;295;235;71;108;1177;975;1868;1838;1150;2077;63;366;1811;1177;255;155;1150;1811;69;275
Weissenbruchstraat 63A en 2 andere adressen;284;246;60;119;1188;986;1858;1827;1161;2066;74;355;1822;1188;244;166;1161;1822;59;276
Waalsdorperweg 271 en 2 andere adressen;608;798;451;324;1498;166;588;1910;301;709;162;317;2797;317;753;331;301;2797;286;277
Waalsdorperweg 193 en 2 andere adressen;420;610;297;137;1310;72;433;1722;457;890;54;130;2656;130;776;143;457;2656;466;278
Waalsdorperweg 157;380;448;349;113;1148;251;486;1775;636;1069;204;183;2709;183;602;86;636;2709;645;279
Waalsdorperweg 133;293;361;379;201;1061;340;574;1863;724;1157;257;271;2797;271;515;174;724;2797;733;280
Weigeliaplein 116;394;384;173;172;860;133;1560;1265;319;1527;383;0;23;464;385;279;319;23;654;281
Weigeliaplein 120 en 1 andere adressen;405;395;168;168;871;128;1571;1261;315;1538;379;23;0;460;381;290;315;0;665;282
Dalerveenstraat 126 en 6 andere adressen;380;380;655;628;632;1076;1655;1279;1548;1921;88;209;1580;671;437;163;1279;1580;434;283
Werfstraat 183 en 2 andere adressen;179;358;104;242;573;1107;3423;799;956;2208;226;167;224;302;734;262;799;224;236;284
L. van Vuurdestraat 3;740;861;309;421;955;1458;2563;1407;845;3708;550;283;990;78;142;142;845;990;771;285
Weigeliaplein 92 en 5 andere adressen;329;380;126;236;905;197;1495;1330;383;1572;448;77;88;529;449;214;383;88;589;286
Weigeliaplein 99;343;395;141;222;890;183;1510;1315;369;1557;434;62;73;514;435;228;369;73;604;287
Weigeliaplein 47 en 2 andere adressen;355;398;153;332;874;293;1521;1426;479;1541;468;173;184;625;532;240;479;184;615;288
Weigeliaplein 57 en 2 andere adressen;340;392;138;317;889;278;1506;1411;464;1556;483;157;169;610;517;225;464;169;600;289
Weigeliaplein 28 en 5 andere adressen;392;361;190;333;837;294;1559;1426;480;1504;431;173;184;625;546;277;480;184;653;290
Wegastraat 48 en 1 andere adressen;1363;1334;1022;1655;2075;1528;3802;1704;1948;2173;331;1308;1306;1700;1412;1055;1704;1306;1101;291
Weimarstraat 57A en 1 andere adressen;215;199;176;46;920;363;1719;1303;739;1768;253;44;78;739;572;251;739;78;288;292
Waalsdorperweg 106;385;452;361;125;1152;263;498;1787;648;1081;215;194;2721;194;606;97;648;2721;657;293
Wassenaarseweg 153;487;353;455;291;1008;1224;1194;1155;1012;1399;175;549;1508;1008;464;224;1012;1508;531;294
Willem Beukelszoonstraat 32 en 1 andere adressen;414;278;246;467;433;1128;3395;678;411;2580;195;409;417;949;504;73;411;417;749;295
Weimarstraat 55 en 3 andere adressen;222;205;170;52;926;356;1713;1296;745;1774;246;38;85;745;578;245;745;85;294;296
Westeinde 223 en 4 andere adressen;86;12;20;106;1102;151;557;748;1501;2191;325;141;449;48;263;153;748;449;543;297
Willem Beukelszoonstraat 48 en 1 andere adressen;437;255;270;444;457;1152;3372;702;435;2604;172;433;440;973;480;96;435;440;772;298
Willem Beukelszoonstraat 20 en 1 andere adressen;393;293;225;463;412;1107;3414;658;391;2560;216;388;396;928;524;52;391;396;728;299
Willem Beukelszoonstraat 30 en 1 andere adressen;407;285;239;474;426;1121;3402;671;404;2574;202;402;410;942;511;66;404;410;742;300
Westduinweg 236 en 3 andere adressen;444;452;323;688;488;792;2728;713;607;1768;81;280;540;715;746;157;607;540;83;301
Wildhoeflaan 38;611;305;608;328;1765;1632;1445;608;1190;2060;314;556;1784;608;277;180;608;1784;1043;302
Weteringkade 137 en 2 andere adressen;564;647;363;528;1192;834;2494;458;644;2210;98;907;906;645;632;399;458;906;915;303
Wildhoeflaan 22;514;209;511;231;1669;1535;1349;511;1214;1983;217;460;1688;511;373;153;511;1688;947;304
Wildhoeflaan 21;412;257;425;129;1567;1433;1247;425;1270;1978;225;373;1586;425;458;37;425;1586;845;305
Willem Beukelszoonplein 9 en 1 andere adressen;312;269;201;381;323;1043;3389;633;366;2526;289;307;313;847;620;98;366;313;638;306
Wilhelminastraat 38;262;357;289;419;604;381;2511;1849;363;2039;81;363;503;1153;740;234;363;503;152;307
Weteringkade 62A en 1 andere adressen;535;452;312;393;997;640;2299;332;450;2016;165;712;711;450;437;240;332;711;720;308
Willem Beukelszoonplein 22;314;298;268;383;324;1044;3439;688;434;2528;356;309;314;849;688;166;434;314;640;309
Wezelrade 73C en 55 andere adressen;921;324;145;155;2017;1701;1643;1453;236;2916;209;211;610;1616;403;198;236;610;697;310
Willem Dreespark 301 en 15 andere adressen;1033;1101;403;414;431;2851;2707;1822;1221;1847;424;992;1350;1605;124;448;1221;1350;923;311
Wezelrade 218 en 7 andere adressen;762;489;86;0;1858;1739;1682;1294;275;2954;247;60;543;1692;243;243;275;543;735;312
Westerbaenstraat 32 en 5 andere adressen;629;475;430;390;463;349;1391;1010;954;2670;222;547;286;968;473;61;954;286;371;313
Wolfhezestraat 62 en 5 andere adressen;327;247;247;214;791;965;2022;1435;733;471;226;195;596;601;583;271;733;596;326;314
Wolweversgaarde 138 en 5 andere adressen;951;702;309;268;972;688;2687;425;475;3281;237;382;1201;425;227;115;425;1201;800;315
Westerbaenstraat 20 en 2 andere adressen;659;445;400;421;493;320;1361;981;984;2640;252;577;316;938;443;63;981;316;402;316
Westerbaenstraat 195 en 2 andere adressen;538;491;409;300;372;422;1481;1101;863;2760;132;457;203;1058;533;117;863;203;281;317
Westerbaenstraat 2 en 1 andere adressen;666;440;395;427;499;314;1356;975;990;2634;259;584;323;933;438;70;975;323;408;318
Westerbaenstraat 77 en 1 andere adressen;589;513;459;350;423;388;1430;1049;913;2708;182;507;246;1007;511;99;913;246;331;319
Stevinstraat 296;186;280;379;267;1783;1912;2146;675;1190;2692;27;98;1630;599;244;89;675;1630;684;320
Weststraat 50;278;500;336;579;714;1067;3302;939;632;2342;303;228;528;272;1071;139;632;528;373;321
Weststraat 38;325;548;286;626;761;1115;3349;987;637;2338;305;275;575;319;1119;150;637;575;421;322
Stevinstraat 70;360;259;164;48;1046;1681;2925;1288;1046;1937;104;457;851;457;124;182;1046;851;402;323
Stevinstraat 78;337;280;185;25;1067;1701;2902;1265;1067;1958;81;434;872;434;145;159;1067;872;380;324
Stevinstraat 182 en 1 andere adressen;155;403;96;40;1532;2114;2438;915;1347;2399;89;306;1337;306;396;89;915;1337;391;325
Spotvogellaan 33;759;343;756;476;1806;1469;1593;756;968;2223;234;567;1933;611;222;41;756;1933;1191;326
Stieltjesstraat 608 en 3 andere adressen;544;544;544;544;1257;1757;2430;1160;1701;1962;276;139;298;1151;455;392;1160;298;735;327
Zeezwaluwstraat 239 en 9 andere adressen;621;621;587;772;2304;994;2050;2476;1954;760;561;463;463;1539;520;259;1954;463;653;328
Wassenaarseweg 31 en 1 andere adressen;223;230;559;258;956;516;1931;2047;928;2161;200;686;1958;956;568;177;928;1958;557;414
Wassenaarseweg 55;406;382;482;463;888;1067;1411;1546;893;1620;146;268;1836;888;101;121;893;1836;479;415
Westeinde 369;156;106;115;201;1171;245;639;818;1571;2260;395;235;531;117;333;235;818;531;613;416
Westeinde 337;157;108;116;202;1173;247;641;819;1572;2262;396;237;533;119;334;237;819;533;614;417
Wantsnijdersgaarde 523 en 7 andere adressen;397;257;652;720;344;312;3494;723;907;4091;243;611;1645;1234;226;301;723;1645;407;418
Waldeck Pyrmontkade 676 en 4 andere adressen;652;118;120;263;557;96;1490;1082;383;2345;133;246;655;1171;697;122;383;655;394;419
Waalsdorperweg 67;287;143;187;317;844;498;808;1704;849;1357;251;372;2881;519;261;84;849;2881;982;420
Van Wesenbekestraat 14;883;473;276;319;1520;424;1913;1652;1501;934;181;329;223;1311;347;262;1501;223;576;421
Wantsnijdersgaarde 300 en 7 andere adressen;390;250;667;735;359;305;3487;738;900;4084;259;626;1660;1228;241;295;738;1660;400;422
Waldeck Pyrmontkade 434;724;189;191;383;367;289;1300;908;580;2307;183;266;567;981;507;185;580;567;465;423
Weimarstraat 194 en 1 andere adressen;330;176;227;260;474;297;1699;1489;340;1322;80;241;406;340;438;94;340;406;124;424
Weimarstraat 210 en 2 andere adressen;354;201;252;285;449;321;1724;1514;314;1297;105;266;431;314;462;68;314;431;110;425
Weimarstraat 168 en 1 andere adressen;307;156;207;240;564;276;1679;1469;429;1412;60;221;315;429;417;183;429;315;33;426
Van Vlotenstraat 45;413;200;259;203;393;2316;3106;1836;1595;1877;260;351;354;264;234;209;1595;354;382;427
Vinkensteynstraat 49 en 1 andere adressen;158;158;371;170;610;604;1813;1213;245;1174;173;230;446;230;235;235;245;446;445;428
Wormerveerstraat 233;582;580;194;185;2012;895;767;1177;412;1250;202;632;747;589;360;313;412;747;526;429
IJmuidenstraat 31;647;302;271;222;875;1510;3480;1153;1180;1822;304;290;680;866;473;122;1153;680;801;430
IJmuidenstraat 17;676;331;248;206;904;1539;3509;1182;1208;1799;276;318;706;861;491;99;1182;706;821;431
Vlierboomplein 31 en 1 andere adressen;248;268;160;366;813;327;1410;1412;513;1544;410;271;271;658;393;44;513;271;476;467
Vlierboomstraat 137 en 6 andere adressen;395;408;167;121;1058;223;1552;1114;167;1725;300;210;206;278;198;220;167;206;782;468
Vlierboomstraat 245 en 5 andere adressen;524;536;296;249;1187;352;1681;1025;296;1854;348;142;335;142;132;224;296;335;892;469
Vogeltuinen 43;522;88;559;496;834;1403;1781;376;533;2614;165;492;674;533;597;470;376;674;582;470
Vogeltuinen 10;442;17;478;415;910;1478;1701;452;452;2533;241;411;633;452;601;407;452;633;501;471
Vogeltuinen 20;465;31;501;439;886;1455;1724;428;475;2556;217;434;657;475;624;430;428;657;524;472
Vogeltuinen 36;505;71;541;479;846;1414;1764;387;516;2596;176;475;686;516;608;470;387;686;564;473
Vlierboomstraat 79;260;312;36;242;849;203;1426;1335;389;1568;427;174;185;535;437;145;389;185;520;474
Volendamlaan 29 en 3 andere adressen;614;727;269;186;1643;1107;1354;1521;152;879;263;297;266;1176;348;297;152;266;181;475
Vissershavenstraat 69 en 1 andere adressen;602;765;186;861;958;1262;3268;1183;208;2308;160;529;799;434;1286;57;208;799;645;476
Verdistraat 14 en 1 andere adressen;237;193;89;128;335;574;2559;410;563;2757;232;251;1100;570;631;147;410;1100;258;477
Vissershavenstraat 255 en 36 andere adressen;728;865;211;987;922;1226;3207;1147;90;2247;285;655;925;316;1225;111;90;925;647;478
Vleutenstraat 18;530;751;148;943;1915;374;926;1706;863;1186;511;200;1015;487;306;191;863;1015;579;479
Vleutenstraat 20;524;757;153;949;1909;369;932;1712;868;1192;517;194;1021;481;301;196;868;1021;573;480
Vliegenvangerlaan 5 en 1 andere adressen;525;120;459;281;1617;1484;1297;459;1113;2035;82;408;1637;459;512;160;459;1637;896;481
Hanenburglaan 306 en 5 andere adressen;634;278;186;338;431;469;515;1208;932;1621;345;462;462;981;546;94;932;462;357;482
Pyrolalaan 98;1362;1166;81;313;1601;1263;2390;1552;763;3146;551;766;2285;656;648;656;763;2285;1049;483
IJmuidenstraat 1;717;298;219;176;945;1549;3550;1223;1212;1769;235;359;666;820;461;140;1212;666;780;432
Vondelstraat 28 en 3 andere adressen;676;497;271;418;530;190;1408;1269;1021;2928;140;576;372;899;673;187;1021;372;439;433
Vinkensteynstraat 93 en 2 andere adressen;218;218;430;229;551;544;1872;1272;186;1114;232;171;505;171;176;176;186;505;385;434
Vinkensteynstraat 119 en 1 andere adressen;249;249;422;260;519;513;1903;1304;154;1083;264;139;536;139;144;144;154;536;353;435
Wormerveerstraat 199 en 2 andere adressen;642;640;135;126;2038;956;827;1237;353;1191;143;573;688;649;301;254;353;688;467;436
Wormerveerstraat 185 en 2 andere adressen;664;627;102;94;2006;983;854;1238;320;1158;110;541;655;676;268;221;320;655;434;437
Wormerveerstraat 175 en 2 andere adressen;683;665;141;132;2017;996;868;1276;318;1156;149;579;652;690;306;224;318;652;432;438
Wormerveerstraat 153;722;704;179;170;1984;1035;906;1314;284;1122;187;617;618;728;345;190;284;618;398;439
Wormerveerstraat 155;716;698;173;165;1989;1029;900;1309;289;1127;182;612;624;723;339;196;289;624;403;440
Vlaskamp 498 en 18 andere adressen;767;748;202;473;934;1015;3438;1420;1122;620;67;441;516;899;548;342;1122;516;775;441
Vlaskamp 504 en 18 andere adressen;777;758;212;482;943;1024;3446;1430;1131;629;77;450;525;909;558;352;1131;525;784;442
Voornsestraat 28;292;292;301;912;1774;1129;1368;2305;2077;279;174;454;454;1614;423;287;2077;454;288;443
Voornsestraat 30;296;297;305;916;1770;1133;1364;2301;2082;283;178;458;458;1610;427;283;2082;458;292;444
Van Voorschotenlaan 11;108;375;176;521;994;487;898;1693;967;1455;341;463;3003;610;422;231;967;3003;1072;445
