OBJECTID,NAAM,DIENSTREGELPUNT_TYPE,LANDCODE,STATIONSGROOTTE,HEEFT_TANKPLAATS,HEEFT_WERKPLAATS,BLOKPUNT_INDICATIE,BEDIEND,AFKORTING,DOORKOMST_VERPLICHT,BEDIENINGSCODE,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,GELDIG_VANAF,PUBLICATIEDATUM,PPLG_PUIC,PPLG_NAAM,VLPOST_PUIC,VLPOST_NAAM,PPLG_OMSCHRIJVING,VLPOST_OMSCHRIJVING,REF_DIENSTREGELPUNT_PUIC
632,Schiphol Airport,Station,Nederland,Groot,Nee,Nee,Ja,Ja,Shl,Ja,EC -Eurocity-station,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,b1d0c5dd-0b31-4a3c-a400-c17cf5c9828b,SHL,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Schiphol Airport,Amsterdam Centraal,ac11edb8-1368-4471-81a0-0fe893a444df
633,Venserpolder aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Vspa,Ja,OA Overloop-aansluiting,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,027,,27,027__,Diemen - Duivendrecht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,8eb7a180-060e-4a84-8c6e-b5d84c1fb338,DMNZ,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Diemen Zuid,Amsterdam Centraal,4a80f0dc-c605-414a-88b2-a67ff964b47b
634,Dijksgracht Kattenburg overloopw. (Amsterdam),Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Dgok,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,588,,588,588__,Amsterdam Dijksgracht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,e9605c34-0baa-4b00-a9e1-7b6fdcdb3f7e,DGOK,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Dijksgracht Kattenburg overloopw. (Amsterdam),Amsterdam Centraal,57163748-2981-4517-b1d9-06e7d2b7c4ef
635,Singelgrachtbrug,Brug,Nederland,Onbekend,Nee,Nee,Nee,Ja,Sgbr,Ja,BR Beweegbare brug,Awhv-Asd,Amsterdam Westhaven (gebied) - Amsterdam Centraal ,525,b,525,525_b,Amsterdam Singelgracht Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f5cb0b4b-fc48-4ce6-bddb-3e5f7860059d,SGRA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Singelgracht aansl.,Amsterdam Centraal,abe89aca-4db3-42a1-be99-786c7ff924d5
636,Almere Centrum,Station,Nederland,Groot,Nee,Nee,Ja,Ja,Alm,Ja,IC Intercity-station,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,a19230bb-3af1-4bb6-9455-7f1f7b0532b7,ALM,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Almere Centrum,Amsterdam Centraal,ddeca1c2-4958-4ca7-9540-718ee5ce19b9
637,De Diem overloopw.,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Ddm,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,585,,585,585__,Diemen Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,1c12eec9-65e8-44ef-a17b-4a93fa37bfde,DDM,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,De Diem overloopw.,Amsterdam Centraal,560ac26e-0de7-4147-bc31-60b3b19f9aa8
638,Diemen,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Dmn,Ja,Stop-station,Asd-Zp,Amsterdam Centraal - Zutphen ,587,a,587,587_a,Diemen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,ac677dac-428f-406e-aeb3-25f8d5383127,DMN,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Diemen,Amsterdam Centraal,197bf2e4-13ba-4205-8563-a2821dbcc663
639,Utrecht Zuilen,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Utzl,Ja,Stop-station,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,531,c,531,531_c,Utrecht Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2071643a-14cf-45a6-98a7-9a84fd987e9d,MAS,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Maarssen,Amsterdam Centraal,cbf53a3e-cba6-4d1e-9b44-af2d30a623ae
640,Weesp,Knooppunt,Nederland,Klein,Nee,Nee,Ja,Ja,Wp,Ja,Stop-station,Asd-Zp,Amsterdam Centraal - Zutphen ,128,,128,128__,Diemen Aansl. - Weesp Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,19cf9db2-a3d3-41f3-8351-6ce5453897b0,WP,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Weesp,Amsterdam Centraal,3f1d2065-6dea-4462-8850-ed1b180b3188
641,Hoofddorp,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Hfd,Ja,Stop-station,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,595151cf-77b2-4670-8243-1d2ee1b7be27,HFD,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Hoofddorp,Amsterdam Centraal,9cac7516-76ee-4c75-b78b-49b2a2b4deed
642,Ringvaartbrug - bij Sassenheim,Brug,Nederland,Onbekend,Nee,Nee,Nee,Nee,Rvbr,Ja,BR Beweegbare brug,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,,Amsterdam Centraal,f5bb67b0-3cff-42a6-8753-7e21165cc167
643,Amsterdam Muiderpoort West,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Asdmw,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,526,a,526,526_a,Amsterdam Muiderpoort,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,16c48c65-978f-4f30-bd62-2499665dad57,ASDM,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Muiderpoort,Amsterdam Centraal,ff7a778d-dcbc-4a94-aef4-47414e094675
644,Breukelen aansluiting,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Bkla,Ja,OA Overloop-aansluiting,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,529,,529,529__,Breukelen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,26fcbc32-9325-4ccc-9680-551f386974b8,BKLA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Breukelen aansl.,Amsterdam Centraal,9a48938b-b250-4848-9e22-e6aa3af00127
645,Amsterdam Riekerpolder aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Asra,Ja,OA Overloop-aansluiting,Gpda-Asra,Gaasperdammerweg Aansl. - Amsterdam Riekerpolder Aansl. ,558,b,558,558_b,Amsterdam Riekerpolder,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,0a58f626-0ce3-4ab7-a325-d54a3fdbafad,ASRA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Amsterdam Riekerpolder aansl.,Amsterdam Centraal,fe50e008-e592-4a8a-9288-45012c28ddd0
646,Overbrakerpolder aansl.,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Obpa,Ja,OA Overloop-aansluiting,Zd-Sgra,Zaandam - Amsterdam Singelgracht Aansl. ,525,c,525,525_c,Amsterdam Singelgracht Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f5cb0b4b-fc48-4ce6-bddb-3e5f7860059d,SGRA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Singelgracht aansl.,Amsterdam Centraal,5c2367f6-2a8e-4ef8-9ad6-7d54a34bc591
647,Lelystad Opstelterrein Aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Llsoa,Ja,OA Overloop-aansluiting,Wp-Llso,Weesp - Lelystad Opstel. ,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,30071971-b003-49c8-a9c2-76688f7ed30a,LLSOA,2cae70e6-e587-451d-a8d4-ed88b04be49e,ASD,Lelystad Opstelterrein Aansl.,Amsterdam Centraal,ca65d84a-f90b-41f3-b580-0f876b75af8f
648,Amersfoort aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Ama,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,505,b,505,505_b,Amersfoort Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d52c36b1-5356-4957-bddb-d265a1bf15aa,AMF,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Amersfoort,Amersfoort,3b0fd00c-5a11-452c-a2ca-cf0acd1b8e19
649,Amersfoort Centraal,Knooppunt,Nederland,Groot,Ja,Nee,Ja,Ja,Amf,Ja,IC Intercity-station,Asd-Zp,Amsterdam Centraal - Zutphen ,506,b,506,506_b,Amersfoort,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,d52c36b1-5356-4957-bddb-d265a1bf15aa,AMF,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Amersfoort,Amersfoort,d7c60cb9-1265-40f5-9463-6b03775337dd
650,Barneveld Zuid,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Bnz,Ja,Stop-station,Bnn-Ed,Barneveld Noord - Ede=Wageningen ,211,,211,211__,Barneveld Noord - Ede=Wageningen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,2d3d33d5-9507-4347-b6f8-f0b050c22e14,BNC,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Barneveld Centrum,Amersfoort,d5b39c04-85e1-46d5-bb4a-cbbfea0ca2ac
651,Baarn aansl.,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Brna,Ja,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,509,a,509,509_a,Baarn,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,cff6bfdb-6329-458e-b8f3-893f8f0efc76,BRN,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Baarn,Amersfoort,7359028c-ca40-4de1-8a78-37087b288793
652,Naarden-Bussum,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ndb,Ja,Stop-station,Asd-Zp,Amsterdam Centraal - Zutphen ,087,,87,087__,Weesp Aansl. - Hilversum,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,e27257eb-292b-4ae3-8ad4-d740d13e32d3,NDB,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Naarden-Bussum,Amersfoort,b924dac5-182f-4e5b-bab8-890b12e0236f
653,Crailoo Aansl West,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Craw,Nee,OA Overloop-aansluiting,Asd-Zp,Amsterdam Centraal - Zutphen ,087,,87,087__,Weesp Aansl. - Hilversum,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,43718e58-792e-43c7-b408-4f2510411ed6,CR,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Crailoo,Amersfoort,6cc8ea66-e343-4790-8cf9-966c24172ed7
654,Bilthoven,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Bhv,Ja,Stop-station,Ut-Amf,Utrecht - Amersfoort ,093,,93,093__,Blauwkapel - Den Dolder,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,f20a6bac-8ecb-401c-b20b-2936e13c4196,BHV,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Bilthoven,Amersfoort,462d1da0-8551-4b51-bd9e-7f06a8a38058
655,Hilversum,Knooppunt,Nederland,Middel,Nee,Nee,Ja,Ja,Hvs,Ja,IC Intercity-station,Asd-Zp,Amsterdam Centraal - Zutphen ,528,b,528,528_b,Hilversum,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,6637575d-bba5-477d-b131-2e426562438b,HVS,c4839a12-d54e-4cab-9f02-a344459d9fab,AMF,Hilversum,Amersfoort,2a56173b-e44d-4d8f-83f8-d58081504da1
656,Zetten-Andelst,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Za,Ja,Stop-station,Est-Gdm,Elst - Geldermalsen ,042,,42,042__,Vork - Kesteren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,,Arnhem,4ceb851e-9872-4edd-904c-3f14fa008e04
657,Winterswijk West,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Www,Ja,Stop-station,Zp-Ww,Zutphen - Winterswijk ,210,,210,210__,Zutphen - Winterswijk,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,c97ff67f-0ef5-49c8-a219-951f9320efa0,WW,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Winterswijk,Arnhem,37aa6086-646b-4ff2-9d48-acad0a57a0a5
658,Elst aansl.,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Esta,Ja,OA Overloop-aansluiting,Ah-Vl,Arnhem - Venlo ,510,b,510,510_b,Elst,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,26c897f4-8198-4ee0-b9ab-e272c7d82c96,ESTA,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Elst aansl.,Arnhem,cdbcc7f1-e5e4-4cbb-a95b-551d2a5acd4e
659,Zutphen,Station,Nederland,Middel,Ja,Nee,Ja,Ja,Zp,Ja,IC Intercity-station,Ah-Zl,Arnhem - Zwolle ,609,,609,609__,Zutphen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,9ad751db-e425-4fac-b2d3-e56702b05671,ZP,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Zutphen,Arnhem,5d5d0e69-6150-424f-9a4c-e9d9e1536da0
660,Apeldoorn De Maten,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Apdm,Ja,Stop-station,Asd-Zp,Amsterdam Centraal - Zutphen ,208,,208,208__,Apeldoorn - Zutphen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,,Arnhem,40f5bb2b-61cd-4627-83a7-dbb3cddc9506
661,"Oude IJssel, brug o/d - bij Doetinchem",Brug,Nederland,Onbekend,Nee,Nee,Nee,Ja,Oij,Ja,BR Beweegbare brug,Ww-Zv,Winterswijk-Zevenaar ,212,,212,212__,Winterswijk - Zevenaar,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,7a63dbd6-10f2-4e2e-94e8-9de8ce9c8083,DTC,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Doetinchem,Arnhem,a7ed1668-81e1-4e07-8cd9-70ed4f493d40
662,Arnhem Presikhaaf,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Ahpr,Ja,Stop-station,Ah-Zl,Arnhem - Zwolle ,034,,34,034__,Velperbroek Aansl. - Dieren,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,,Arnhem,97c756c2-7b5b-4205-9004-1a338631795b
663,Arnhem Berg opstel.,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Nee,Ahbo,Nee,Goederen emplacement,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,508,,508,508__,Arnhem,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,,Arnhem,0afd9a45-aa43-4c41-abbb-ecefe81f058d
664,Oss racc. Elzenburg,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Oelz,Ja,OA Overloop-aansluiting,Ht-Nm,s-Hertogenbosch - Nijmegen ,047,,47,047__,s Hertogenbosch - Nijmegen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,9951df18-4bc6-4d8b-b77b-62938e2676ac,OSS,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Oss,Arnhem,b1a05c2d-7fa6-4890-b0e0-8a91b89e73df
665,Arnhem Zuid,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Ahz,Ja,Stop-station,Ah-Vl,Arnhem - Venlo ,041,,41,041__,Arnhem - Elst,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,,Arnhem,ffbf1ce8-cf9b-4b18-a987-264affa87e7f
666,Ruurlo,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Rl,Ja,Stop-station,Zp-Ww,Zutphen - Winterswijk ,210,,210,210__,Zutphen - Winterswijk,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,94652327-dec5-4342-8ef2-f823388025e7,RL,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Ruurlo,Arnhem,2c1a0860-3e50-4735-aeca-dee0fb46dd39
667,Laren=Almen,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,Lr,Ja,OA Overloop-aansluiting,Zp-Esg,Zutphen - Enschede Grens ,031,a,31,031_a,Zutphen - Hengelo,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,c9274228-cb43-4e42-8ccc-c929e4fe1a87,LR,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Laren=Almen,Arnhem,1842ca9e-2585-4c48-b7a0-59e31f997fd9
668,IJsselbrugaansl. Westervoort Westzijde,Overloop,Nederland,Onbekend,Nee,Nee,Nee,Ja,IJbww,Ja,OA Overloop-aansluiting,Asa-Zvg,Amsterdam Amstel - Zevenaar Grens ,038,,38,038__,Velperbroek Aansl. - Zevenaar,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,e05a2a8c-868a-410f-8799-ff0409d475e4,VA,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Velperbroek aansl.,Arnhem,c0b78469-a26f-4ff7-bb96-18f994ecf9a5
669,Arnhem Goederen Opstel NS,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Nee,Ahgons,Nee,Goederen emplacement,Ahg-Ahi,Arnhem Goederenstation - Arnhem Industrie ,437,b,437,437_b,Arnhem Goederenstation - Velperbroek Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,,Arnhem,aa7195ed-435b-4bbe-80d7-54a616d39bb7
670,Nijmegen Dukenburg,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Nmd,Ja,Stop-station,Ht-Nm,s-Hertogenbosch - Nijmegen ,047,,47,047__,s Hertogenbosch - Nijmegen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,,Arnhem,66dc8b5b-e189-4193-9d4c-762158437723
671,Klarenbeek,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Kbk,Ja,Stop-station,Asd-Zp,Amsterdam Centraal - Zutphen ,208,,208,208__,Apeldoorn - Zutphen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,8e969b54-3826-4ba7-ab4a-65a0caced4fe,KBK,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Klarenbeek,Arnhem,a1691dd8-fef2-40de-a31a-b79b0abbce92
672,IJsselbrug Zutphen,Brug,Nederland,Onbekend,Nee,Nee,Nee,Ja,IJbz,Ja,BR Beweegbare brug,Ah-Zl,Arnhem - Zwolle ,609,,609,609__,Zutphen,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,9ad751db-e425-4fac-b2d3-e56702b05671,ZP,2f76a82b-20e6-4385-a090-6c7ca69eaee1,AH,Zutphen,Arnhem,5b20ef57-17b1-4168-905c-c1d12d742b31
673,Eijsden grens,Grens Dienstregelpunt,Nederland,Onbekend,Nee,Nee,Nee,Nee,Edng,Ja,OA Overloop-aansluiting,Fvs-Mt,Visé (B) - Maastricht ,071,,71,071__,Eijsden - Maastricht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,513d55bf-4f5a-4402-80fe-5f802f0257cb
674,Zelzate (B),Grensstation,België,Onbekend,Nee,Nee,Nee,Nee,Fsz,Nee,Goederen emplacement,Gent-Fsz,Gent (B) - Zelzate (B) ,790,,790,790__,Gent (B) - Zelzate (B),2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,47b5430c-efc1-44fa-bd62-7d84a561bb9a
675,Hamont (B),Station,België,Klein,Nee,Nee,Nee,Nee,Hmt,Nee,AS Aansluiting/splitsing,Lnp-Bdl,Neerpelt (B) - Budel ,786,,786,786__,Neerpelt (B) - Budel Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,10db65d2-3fda-45f2-bfbd-f54310ddaa17
676,Oldenzaal Grens,Grens Dienstregelpunt,Nederland,Onbekend,Nee,Nee,Nee,Nee,Odzg,Ja,OA Overloop-aansluiting,Hgl-Odzg,Hengelo - Oldenzaal Grens ,026,,26,026__,Hengelo - Oldenzaal Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,c35a98d3-5ede-4fd4-826a-d49f9f459e58
677,Vetschau (D),Grensstation,Duitsland,Onbekend,Nee,Nee,Nee,Nee,Vet,Nee,AS Aansluiting/splitsing,Vet-Mtn,Verschau (D) - Maastricht Noord ,783,,783,783__,Vetschau (D) - Simpelveld Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,66d3d065-7791-4b10-9a1c-6c6e1ed5902e
678,Emmerich (D),Grensstation,Duitsland,Onbekend,Nee,Nee,Nee,Nee,Em,Ja,IC Intercity-station,Zvg-Em,Zevenaar Grens - Emmerich (D) ,779,,779,779__,Emmerich (D) - Zevenaar Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,60fc44b1-8056-430f-9cc9-27c3dac58c43
679,Haanrade grens,Grens Dienstregelpunt,Nederland,Onbekend,Nee,Nee,Nee,Nee,Hang,Ja,OA Overloop-aansluiting,Std-Hz,Sittard - Herzogenrath (D) ,066,a,66,066_a,Landgraaf - Haanrade Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,f000624e-7698-42b1-a279-11046c8e7b9d
680,Laarwald (D),Grensstation,Duitsland,Onbekend,Nee,Nee,Nee,Nee,Lar,Nee,Goederen emplacement,Lar-Coep,Laarwald (D) - Coevorden Europark ,776,,776,776__,Laarwald (D) - Coevorden Grens,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,116348f9-f4f4-434e-be1e-dd1fdb512e89
681,Sluiskil racc. Dow Chemical,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Nee,Sludow,Nee,Goederen emplacement,Slua-Sludow,Sluiskil Aansl. - Sluiskil Racc. DOW CHEMICAL ,818,a,818,818_a,Terneuzen Dow Chemical,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,69aa04f9-9c7d-4377-b7c5-a290def986f3
682,Sas van Gent Cerestar Aansl,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Nee,Svgca,Nee,Goederen emplacement,Fsz-Tnz,Zelzate (B) - Terneuzen ,131,,131,131__,Sas van Gent Grens - Terneuzen Aansl.,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,,,,,05ac5124-9c35-4af4-90ba-f326a94b6ebd
683,Arkel,Halte,Nederland,Klein,Nee,Nee,Nee,Nee,Akl,Ja,Stop-station,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,,Rotterdam Centraal,229e1ec7-0628-4804-9c36-ff3202183004
684,Dordrecht Stadspolders,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Ddrs,Ja,Stop-station,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,91fca8c4-ba07-407a-b3d8-f85cc2008ca4,DDRS,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,Dordrecht Stadspolders,Rotterdam Centraal,49129636-bc6a-41a3-812f-33a3a1570ca1
685,Rotterdam Blaak,Station,Nederland,Middel,Nee,Nee,Nee,Ja,Rtb,Ja,Stop-station,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,720fc36c-b289-494d-ba5e-774c9fabef60,WSPT,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,Willemstunnel,Rotterdam Centraal,dc4aa03f-8352-4e0d-8046-b7f4a3a7df26
686,Dordrecht Industrieterrein De Staart,Goederen Emplacement,Nederland,Onbekend,Nee,Nee,Nee,Nee,Ddri,Nee,Goederen emplacement,Wijb-Ddri,Wantij (brug o/h - bij Dordrecht) - Dordrecht Aansl. Industrieterrein De Staart ,810,a,810,810_a,Dordrecht Industrieterrein Aansl. De Staart,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,,,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,,Rotterdam Centraal,ca392ba1-25cf-4c97-998f-3b97e5b8b4aa
687,HSL Hoofddorp Overloop,Aansluiting,Nederland,Onbekend,Nee,Nee,Nee,Ja,Hshfdo,Ja,OA Overloop-aansluiting,Rtd-Hfd,Rotterdam Centraal - Hoofddorp ,166,,166,166__,Rotterdam Westelijke Splitsing - Nieuw Vennep,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,58043c4d-4667-4bd7-8b5f-86b1e6fbe948,HFDGHT,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,Hoofddorp Groene Hart tunnel,Rotterdam Centraal,587fc4b1-0025-4d5a-a858-29b595f3c510
688,Zwijndrecht,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Zwd,Ja,Stop-station,Bd-Rtd,Breda - Rotterdam Centraal ,116,a,116,116_a,Dordrecht - Rotterdam Barendrecht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,5747a8a0-d14c-4da1-9a7e-391eee090252,KFHAZ,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,Kijfhoek aansl. Zuid,Rotterdam Centraal,be2fb541-8f78-4bc9-9d25-da565166cde7
689,Hardinxveld-Giessendam,Station,Nederland,Klein,Nee,Nee,Nee,Ja,Gnd,Ja,Stop-station,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,2022/01/10 23:00:00+00,2022/01/10 18:00:28+00,16cd2267-c377-438c-8671-f6c7b83c9657,GND,f0a9d6e5-809b-44e2-85b8-b4766ad70f15,RTD,Hardingxveld-Giessendam,Rotterdam Centraal,18ca3ee7-d7cd-41f2-9dd3-286e61621d03
