Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd door de bezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren.,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
gemeenteraad/raadscommissies/index,301,376,8757,2,305,0.001,3.833,44,148,11227,13,32,284,44,32,29,30%,11%,0.549,http://www.utrecht.nl/gemeenteraad/raadscommissies/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadscommissies%2F,
Loket/login/initLoginAction.do?forward=/cases/mycases/getAllMyCasesAction.do&failedForward=/login/loginForwardFailedDAction.do&ltype=1,301,399,21637,5,334,0.003,3.611,59,371,26756,6,40,293,55,40,72,10%,13%,0.176,https://pki.utrecht.nl/Loket/login/initLoginAction.do?forward=/cases/mycases/getAllMyCasesAction.do&failedForward=/login/loginForwardFailedDAction.do&ltype=1,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Flogin%2FinitLoginAction.do%3Fforward%3D%2Fcases%2Fmycases%2FgetAllMyCasesAction.do%26failedForward%3D%2Flogin%2FloginForwardFailedDAction.do%26ltype%3D1,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Uitkeringssoort_edit,300,660,116376,,599,0.002,7.563,1,4,17,0,11,291,1,11,388,0%,4%,0.465,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=Uitkeringssoort_edit,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3DUitkeringssoort_edit,
startpagina/wonen-en-wijken/wijken/vleuten-de-meern/index,300,421,9720,8,316,0.001,10.338,62,479,26694,9,32,294,61,32,32,15%,11%,0.542,http://www.utrecht.nl/startpagina/wonen-en-wijken/wijken/vleuten-de-meern/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwonen-en-wijken%2Fwijken%2Fvleuten-de-meern%2F,
utrecht-fietst/fiets-weg/opruimacties-weesfietsen/index,300,366,37901,2,279,0.001,9.827,37,93,9134,24,87,285,30,77,126,65%,29%,0.698,http://www.utrecht.nl/utrecht-fietst/fiets-weg/opruimacties-weesfietsen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrecht-fietst%2Ffiets-weg%2Fopruimacties-weesfietsen%2F,
economie-bedrijf/lokaal-economisch-fonds/index,299,351,32736,10,278,0.001,6.41,88,182,12842,51,106,281,78,96,109,58%,35%,0.562,http://www.utrecht.nl/economie-bedrijf/lokaal-economisch-fonds/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Feconomie-bedrijf%2Flokaal-economisch-fonds%2F,
begraafplaatsen/daelwijck/index,296,391,37120,8,282,0.001,5.644,212,680,63504,108,176,289,205,171,125,51%,59%,0.641,http://www.utrecht.nl/begraafplaatsen/daelwijck/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbegraafplaatsen%2Fdaelwijck%2F,
Loket/knowledgebase/faqs/getFaqContentAction.do?id=1544,296,326,27304,9,259,0.002,26.842,124,388,29355,91,137,292,119,133,92,73%,46%,0.534,https://pki.utrecht.nl/Loket/knowledgebase/faqs/getFaqContentAction.do?id=1544,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fknowledgebase%2Ffaqs%2FgetFaqContentAction.do%3Fid%3D1544,
parkeren/parkeren-bedrijf/tijdelijke-parkeervergunning/index,296,358,24273,14,256,0.001,11.688,43,236,15434,12,39,293,42,38,82,28%,13%,0.744,http://www.utrecht.nl/parkeren/parkeren-bedrijf/tijdelijke-parkeervergunning/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bedrijf%2Ftijdelijke-parkeervergunning%2F,
sport-in-utrecht/sportaccommodaties/sporthallen/sporthal-de-dreef/index,295,358,42028,9,251,0.001,3.366,224,562,71327,135,184,282,216,178,142,60%,62%,0.736,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/sporthallen/sporthal-de-dreef/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Fsporthallen%2Fsporthal-de-dreef%2F,
economie-bedrijf/ondernemersloket/horecaloket/horecavergunningen/index,294,526,26233,8,382,0.001,46.786,144,1032,65490,33,68,277,139,65,89,23%,23%,0.657,http://www.utrecht.nl/economie-bedrijf/ondernemersloket/horecaloket/horecavergunningen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Feconomie-bedrijf%2Fondernemersloket%2Fhorecaloket%2Fhorecavergunningen%2F,
leidsche-rijn/informatiecentrum/index,292,372,32490,5,259,0.001,21.996,167,705,66939,60,99,282,159,95,111,36%,34%,0.807,http://www.utrecht.nl/leidsche-rijn/informatiecentrum/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Finformatiecentrum%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Paspoort en identiteitskaart,292,352,23568,22,260,0.016,6.612,13,33,5501,8,48,288,12,48,81,62%,16%,0.437,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Paspoort%2Ben%2Bidentiteitskaart,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DPaspoort%2Ben%2Bidentiteitskaart,
sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/informatie-zwemles/index,292,344,42205,9,202,0.002,4.552,95,376,38305,39,91,286,91,89,145,41%,31%,0.895,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/zwemles/informatie-zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fzwemles%2Finformatie-zwemles%2F,
vastgoedaanbod/panden-in-uitgifte/hamersplantsoen-3-en-4/index,292,396,34354,9,232,0.001,13.586,42,143,14939,16,88,275,41,80,118,38%,30%,0.826,http://www.utrecht.nl/vastgoedaanbod/panden-in-uitgifte/hamersplantsoen-3-en-4/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2Fpanden-in-uitgifte%2Fhamersplantsoen-3-en-4%2F,
economie-bedrijf/ondernemersloket/index,291,375,13277,3,298,0.001,5.118,31,151,9138,14,50,284,29,48,46,45%,17%,0.588,http://www.utrecht.nl/economie-bedrijf/ondernemersloket/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Feconomie-bedrijf%2Fondernemersloket%2F,
werken-en-leren-bij-utrecht/traineeprogramma/basisprofiel-en-arbeidsvoorwaarden/index,290,368,19848,8,306,0.001,3.232,9,17,376,6,104,287,9,104,68,67%,36%,0.607,http://www.utrecht.nl/werken-en-leren-bij-utrecht/traineeprogramma/basisprofiel-en-arbeidsvoorwaarden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Ftraineeprogramma%2Fbasisprofiel-en-arbeidsvoorwaarden%2F,
college-van-b-en-w/burgemeester-en-wethouders/burgemeester/fotodagboek/index,289,360,32529,6,241,0.001,7.548,140,304,15551,89,170,283,138,168,113,64%,59%,1.223,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/burgemeester/fotodagboek/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fburgemeester%2Ffotodagboek%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=637,289,353,43092,4,292,0.004,22.589,115,828,69788,38,79,277,106,77,149,33%,27%,0.457,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=637,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D637,
leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/index,288,588,25319,,379,0.001,2.906,58,835,37529,5,31,276,57,30,88,9%,11%,0.426,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2Fkavels%2F,
college-van-b-en-w/burgemeester-en-wethouders/paulus-jansen/index,287,368,25195,6,282,0.001,27.675,107,354,21366,51,97,282,104,95,88,48%,34%,0.695,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/paulus-jansen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fpaulus-jansen%2F,
Formulieren/flow/stateAction.do?flow=process_add_afspraakweni&state=formulier,286,401,70488,,363,0.003,4.84,4,20,404,1,113,276,3,107,246,25%,40%,0.412,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_afspraakweni&state=formulier,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_afspraakweni%26state%3Dformulier,
Loket/prodcat/products/getProductDetailsAction.do?id=702,286,387,39983,7,303,0.002,15.027,94,455,42732,25,61,277,93,59,140,27%,21%,0.784,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=702,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D702,
wonen-in-veemarkt/woningaanbod/huurwoningen/index,284,371,29915,4,257,0.001,4.113,49,250,18449,14,55,276,48,54,105,29%,19%,0.74,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/huurwoningen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2Fhuurwoningen%2F,
gemeenteraad/raadscommissies/stad-en-ruimte/index,283,387,21658,17,288,0.001,13.384,62,268,19381,22,47,272,60,43,77,35%,17%,0.622,http://www.utrecht.nl/gemeenteraad/raadscommissies/stad-en-ruimte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadscommissies%2Fstad-en-ruimte%2F,
parken-en-groen/index,283,390,10855,3,284,0.001,5.001,8,69,3647,0,29,279,7,29,38,0%,10%,0.516,http://www.utrecht.nl/parken-en-groen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparken-en-groen%2F,
volksgezondheid/werken-in-de-prostitutie/index,283,357,40654,5,245,0.001,27.419,203,447,44712,129,183,277,198,179,144,64%,65%,0.964,http://www.utrecht.nl/volksgezondheid/werken-in-de-prostitutie/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvolksgezondheid%2Fwerken-in-de-prostitutie%2F,
evenementen/index,282,352,9741,11,285,0.001,3.294,124,791,46137,37,65,277,122,64,35,30%,23%,0.618,http://www.utrecht.nl/evenementen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fevenementen%2F,
leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kavels-hoge-weide/index,280,441,15250,4,323,0.001,3.344,89,855,60526,12,39,268,84,39,54,13%,14%,0.57,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kavels-hoge-weide/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2Fkavels%2Fkavels-hoge-weide%2F,
sociale-stad-in-ontwikkeling/index,279,392,39007,8,305,0.001,21.465,125,711,57157,37,76,271,122,75,140,30%,27%,0.642,http://www.utrecht.nl/sociale-stad-in-ontwikkeling/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsociale-stad-in-ontwikkeling%2F,
college-van-b-en-w/burgemeester-en-wethouders/victor-everhardt/index,277,422,21582,6,322,0.001,3.235,88,296,13351,43,88,272,85,87,78,49%,32%,0.547,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/victor-everhardt/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fvictor-everhardt%2F,
bouwen-en-verbouwen/afspraak-maken/afspraakverzoek-verzonden/index,276,295,23614,,241,0.004,6.08,5,21,2408,2,170,275,5,169,86,40%,62%,0.938,http://www.utrecht.nl/bouwen-en-verbouwen/afspraak-maken/afspraakverzoek-verzonden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fafspraak-maken%2Fafspraakverzoek-verzonden%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Ondergrondse container, pas of sleutel aanvragen,276,354,25566,56,286,0.001,6.71,147,905,57447,42,77,271,142,74,93,29%,28%,0.414,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Ondergrondse+container%2C+pas+of+sleutel+aanvragen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DOndergrondse+container%2C+pas+of+sleutel+aanvragen
utrechtse-energie/nieuws/index,276,356,34282,20,268,0.001,17.907,62,181,11523,37,92,276,62,92,124,60%,33%,1.267,http://www.utrecht.nl/utrechtse-energie/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2Fnieuws%2F,
subsidiehulp/aanvragen-subsidie-stichtingvereniging/index,275,416,18213,5,342,0.001,4.57,69,320,21540,28,65,269,68,65,66,41%,24%,0.552,http://www.utrecht.nl/subsidiehulp/aanvragen-subsidie-stichtingvereniging/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsubsidiehulp%2Faanvragen-subsidie-stichtingvereniging%2F,
wonen/legaal-wonen/index,275,356,28782,16,260,0.001,158.046,77,255,19301,40,91,267,72,86,105,52%,33%,1.257,http://www.utrecht.nl/wonen/legaal-wonen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2Flegaal-wonen%2F,
wonen-in-veemarkt/woningaanbod/bouwveld-e/index,273,358,16417,1,243,0.001,3.849,71,509,34045,16,44,264,67,44,60,23%,16%,0.73,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/bouwveld-e/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2Fbouwveld-e%2F,
college-van-b-en-w/burgemeester-en-wethouders/jeroen-kreijkamp/index,272,377,24223,3,288,0.001,6.445,73,275,18707,37,83,264,70,79,89,51%,31%,0.574,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/jeroen-kreijkamp/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fjeroen-kreijkamp%2F,
Formulieren/flow/stateAction.do?flow=process_add_afspraakweni&state=uwgegevens_personen,272,379,10094,,342,0.098,17.288,2,9,181,1,10,263,2,10,37,50%,4%,0.801,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_afspraakweni&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_afspraakweni%26state%3Duwgegevens_personen,
Loket/prodcat/process/checkPreconditionsAction.do?name=Melding&processName=Aanvraag met DigiD,272,336,33458,,251,0.002,2.051,18,136,9116,3,51,268,18,50,123,17%,19%,0.193,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Melding&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DMelding%26processName%3DAanvraag%2Bmet%2BDigiD,
sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/banenzwemmen/index,272,336,12296,3,205,0.001,43.738,65,312,21538,10,32,262,62,32,45,15%,12%,1.128,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/vrij-zwemmen/banenzwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fvrij-zwemmen%2Fbanenzwemmen%2F,
digitaal-loket-onderhoud/index,270,346,41150,,262,0.001,2.423,24,138,19070,11,80,256,18,71,152,46%,30%,0.448,http://www.utrecht.nl/digitaal-loket-onderhoud/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fdigitaal-loket-onderhoud%2F,
nieuws/artikel/utrechtse-woningeigenaren-controleren-woz-waarde/index,269,314,20856,29,245,0.001,6.721,210,846,35111,107,146,269,210,146,78,51%,54%,0.746,http://www.utrecht.nl/nieuws/artikel/utrechtse-woningeigenaren-controleren-woz-waarde/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2Fartikel%2Futrechtse-woningeigenaren-controleren-woz-waarde%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Leefsituatie_Inkomen,268,694,33483,1,633,0.032,11.735,,,,,8,259,,8,125,0%,3%,2.267,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Leefsituatie_Inkomen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3DLeefsituatie_Inkomen,
begraafplaatsen/index,266,398,24862,12,270,0.001,6.439,165,708,53939,37,76,262,163,75,93,22%,29%,0.575,http://www.utrecht.nl/begraafplaatsen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbegraafplaatsen%2F,
economie-bedrijf/ondernemersloket/horecaloket/index,266,375,29476,7,274,0.001,7.339,103,731,71344,22,54,249,97,53,111,21%,20%,0.6,http://www.utrecht.nl/economie-bedrijf/ondernemersloket/horecaloket/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Feconomie-bedrijf%2Fondernemersloket%2Fhorecaloket%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=704,266,382,29318,6,309,0.001,8.274,119,391,26184,65,124,256,110,118,110,55%,47%,0.639,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=704,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D704,
Loket/prodcat/products/getProductDetailsAction.do?id=779,266,428,43392,14,282,0.005,9.99,146,761,56522,49,102,255,137,96,163,34%,38%,0.523,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=779,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D779,
stationsgebied/index,265,306,14919,4,238,0.002,19.601,215,571,40636,97,127,257,207,125,56,45%,48%,0.859,http://www.utrecht.nl/stationsgebied/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstationsgebied%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=a_bestaandeKlant,264,370,5765,,336,0.011,2.591,,,,,,258,,,22,0%,0%,0.268,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=a_bestaandeKlant,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Da_bestaandeKlant,
Loket/prodcat/process/checkPreconditionsAction.do?name=Aanvraag Compu4school&processName=Aanvraag met DigiD,261,379,65185,1,334,0.001,25.119,15,63,8013,7,82,250,13,79,250,47%,31%,0.361,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Aanvraag%2BCompu4school&processName=Aanvraag%2Bmet%2BDigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DAanvraag%2BCompu4school%26processName%3DAanvraag%2Bmet%2BDigiD,
sport-in-utrecht/zwembaden/algemene-bezoekersvoorwaarden/index,261,321,14513,11,218,0.001,2.954,16,106,9556,4,36,260,16,36,56,25%,14%,0.703,http://www.utrecht.nl/sport-in-utrecht/zwembaden/algemene-bezoekersvoorwaarden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Falgemene-bezoekersvoorwaarden%2F,
werk-en-inkomen/actieplan-jeugdwerkloosheid/index,261,387,41637,7,300,0.001,7.479,212,1015,94602,84,126,246,199,117,160,40%,48%,0.568,http://www.utrecht.nl/werk-en-inkomen/actieplan-jeugdwerkloosheid/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Factieplan-jeugdwerkloosheid%2F,
wijk-west/index,261,375,21678,3,289,0.001,3.446,141,657,43015,58,92,239,123,87,83,41%,35%,0.622,http://www.utrecht.nl/wijk-west/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-west%2F,
leefbaarheidsbudget/realiseer-uw-idee/index,260,354,31720,2,266,0.001,10.755,28,101,11347,15,71,251,26,69,122,54%,27%,0.717,http://www.utrecht.nl/leefbaarheidsbudget/realiseer-uw-idee/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleefbaarheidsbudget%2Frealiseer-uw-idee%2F,
bouwen-en-verbouwen/tarieven/index,259,319,10933,4,240,0.001,3.481,123,517,41613,17,40,254,120,40,42,14%,15%,0.586,http://www.utrecht.nl/bouwen-en-verbouwen/tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Ftarieven%2F,
english/about-utrecht/index,257,312,13392,2,254,0.001,5.414,12,20,1480,7,71,252,10,69,52,58%,28%,0.876,http://www.utrecht.nl/english/about-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2Fabout-utrecht%2F,
wijk-noordoost/index,257,344,20981,7,275,0.001,4.753,122,780,54904,33,55,247,119,52,82,27%,21%,0.605,http://www.utrecht.nl/wijk-noordoost/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-noordoost%2F,
utrechts-onderzoek-en-cijfers/index,256,337,13784,5,308,0.001,3.722,75,469,32356,15,34,251,73,34,54,20%,13%,0.506,http://www.utrecht.nl/utrechts-onderzoek-en-cijfers/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechts-onderzoek-en-cijfers%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=overzicht,255,273,9329,,229,0.025,180.296,,,,,1,255,,1,37,0%,0%,2.308,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Doverzicht,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=bijlagen,254,408,55552,,363,0.002,6.619,7,94,1995,3,23,245,6,21,219,43%,9%,0.444,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Dbijlagen,
parkeren/tarieven-2014/index,254,293,24061,,251,0.001,4.877,31,108,5851,15,91,251,30,91,95,48%,36%,0.661,http://www.utrecht.nl/parkeren/tarieven-2014/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Ftarieven-2014%2F,
werk-en-inkomen/beleid-werk-en-inkomen/index,254,324,27352,48,271,0.001,8.876,108,667,58705,21,50,252,107,49,108,19%,20%,0.672,http://www.utrecht.nl/werk-en-inkomen/beleid-werk-en-inkomen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fbeleid-werk-en-inkomen%2F,
wijk-noordwest/index,254,367,26533,6,292,0.001,30.06,102,761,64745,27,61,239,97,59,104,26%,24%,0.828,http://www.utrecht.nl/wijk-noordwest/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-noordwest%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=uwgegevens_personen,253,398,21382,1,352,0.028,26.248,1,17,1080,0,10,243,1,10,85,0%,4%,0.945,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3Duwgegevens_personen,
Loket/prodcat/products/getProductDetailsAction.do?name=Bijzondere bijstand,253,309,24520,109,258,0.001,2.154,10,56,3817,6,29,251,10,29,97,60%,11%,0.225,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Bijzondere%2Bbijstand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DBijzondere%2Bbijstand,
wijken-en-participatie/index,253,329,20930,1,237,0.001,4.55,55,276,21197,22,53,247,53,52,83,40%,21%,0.692,http://www.utrecht.nl/wijken-en-participatie/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijken-en-participatie%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=bedrijfOfLease,252,329,14621,,266,0.023,4.119,1,10,36,0,28,245,1,28,58,0%,11%,0.284,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=bedrijfOfLease,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3DbedrijfOfLease,
Loket/prodcat/topics/getTopicsAction.do?id=211,252,330,6448,3,273,0.001,9.222,2,3,8,1,4,252,2,4,26,50%,2%,0.38,https://pki.utrecht.nl/Loket//prodcat/topics/getTopicsAction.do?id=211,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2F%2Fprodcat%2Ftopics%2FgetTopicsAction.do%3Fid%3D211,
gemeenteraad/raadscommissies/mens-en-samenleving/index,251,316,16313,11,260,0.001,5.142,28,77,4112,10,38,228,27,38,65,36%,15%,0.617,http://www.utrecht.nl/gemeenteraad/raadscommissies/mens-en-samenleving/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadscommissies%2Fmens-en-samenleving%2F,
subsidiehulp/aanvragen-subsidie-particulier/index,249,346,10753,18,269,0.001,6.253,24,141,4411,10,33,244,24,33,43,42%,13%,0.602,http://www.utrecht.nl/subsidiehulp/aanvragen-subsidie-particulier/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsubsidiehulp%2Faanvragen-subsidie-particulier%2F,
Formulieren/flow/stateAction.do?flow=process_add_vog&state=overzicht,248,287,8814,1,265,0.033,180.156,,,,,1,242,,1,36,0%,0%,1.328,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vog&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vog%26state%3Doverzicht,
