straatnaam_identificatie_mast;objectid;stadsdeel;wijk;buurt;straatnaam;wegvak;identificatie;lokatie;eigenaar;x;y;identificatie_lamp;type_lamp;datum_plaatsing_lamp;datum_onderhoud_lamp;soort_lamp;kleur_lamp;wattage_lamp;lumen_lamp;ra_waarde_lamp;fitting_lamp;schakelschema_lamp;identificatie_armatuur;type_armatuur;datum_plaatsing_armatuur;datum_onderhoud_armatuur;lph_armatuur;brandstand_armatuur;identificatie_drager_mast;type_drager_mast;datum_plaatsing_drager_mast;datum_onderhoud_drager_mast;identificatie_drager_uithouder;type_drager_uithouder;datum_plaatsing_drager_uithoud;datum_onderhoud_drager_uithoud;geo_shape;geo_point_2d;locat
Verzetsheldenlaan 018;105543;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Verzetsheldenlaan;;018;;Gemeente Eindhoven;158369.081;387327.116;1;SON  50 W I;2019-06-04;2023-12-18;son;geel;50;3500;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1994-04-19;2024-04-19;900;1;;ST 9 STANDAARD VZ;2000-01-01;2040-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.435693108194972, 51.4749879328297], ""type"": ""Point""}";51.4749879328297, 5.435693108194972;51.4749882728877, 5.435694704198772
Verzetsheldenlaan 025;105545;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Verzetsheldenlaan;;025;;Gemeente Eindhoven;158261.123;387441.936;1;SON  50 W I;2019-06-04;2023-12-18;son;geel;50;3500;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1994-04-19;2024-04-19;700;1;;ST 7 V-100.L.084 VZ;1989-01-01;2029-01-01;;ST OPZETSTUK 0,40 M;1989-01-01;2029-01-01;"{""coordinates"": [5.434140253924941, 51.47602064764312], ""type"": ""Point""}";51.47602064764312, 5.434140253924941;51.476020987426814, 5.434141855847375
Verzetsheldenlaan 017;105550;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Verzetsheldenlaan;;017;;Gemeente Eindhoven;158395.071;387325.237;1;SON  50 W I;2019-06-04;2023-12-18;son;geel;50;3500;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1994-04-19;2024-04-19;700;1;;ST 7 V-100.L.084 VZ;1989-01-01;2029-01-01;;ST OPZETSTUK 0,40 M;1989-01-01;2029-01-01;"{""coordinates"": [5.43606718321761, 51.47497088634639], ""type"": ""Point""}";51.47497088634639, 5.43606718321761;51.47497122666523, 5.436068778572983
Verzetsheldenlaan 011;105555;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Verzetsheldenlaan;;011;;Gemeente Eindhoven;158508.275;387236.25;1;SON  50 W I;2019-06-04;2023-12-18;son;geel;50;3500;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1994-04-09;2024-04-09;700;1;;ST 7 V-100.L.084 VZ;1989-01-01;2029-01-01;;ST OPZETSTUK 0,40 M;1989-01-01;2029-01-01;"{""coordinates"": [5.437695723499387, 51.474170316739716], ""type"": ""Point""}";51.474170316739716, 5.437695723499387;51.47417065756252, 5.437697313481313
Verzetsheldenlaan 007;105557;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Verzetsheldenlaan;;007;;Gemeente Eindhoven;158542.79;387177.96;1;SON PIA PLUS 50W I;2021-01-06;2025-01-11;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;2007-07-16;2037-07-16;700;1;;ST 7 V-100.L.084 VZ;1989-01-01;2029-01-01;;ST OPZETSTUK 0,40 M;1989-01-01;2029-01-01;"{""coordinates"": [5.438191928078455, 51.473646151594586], ""type"": ""Point""}";51.473646151594586, 5.438191928078455;51.47364649228312, 5.4381935146960165
Verzetsheldenlaan 004;105559;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Verzetsheldenlaan;;004;;Gemeente Eindhoven;158599.825;387136.489;1;SON  50 W I;2019-02-04;2023-09-21;son;geel;50;3500;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1994-04-09;2024-04-09;700;1;;ST 7 V-100.L.084 VZ;1989-01-01;2029-01-01;;ST OPZETSTUK 0,40 M;1989-01-01;2029-01-01;"{""coordinates"": [5.439012426828322, 51.473273020216276], ""type"": ""Point""}";51.473273020216276, 5.439012426828322;51.47327336115458, 5.439014010188299
Verzetsheldenlaan 003;105560;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Verzetsheldenlaan;;003;;Gemeente Eindhoven;158623.217;387131.807;1;SON  50 W I;2019-06-04;2023-12-18;son;geel;50;3500;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1994-04-09;2024-04-09;700;1;;ST 7 V-100.L.084 VZ;1989-01-01;2029-01-01;;ST OPZETSTUK 0,40 M;1989-01-01;2029-01-01;"{""coordinates"": [5.43934906423902, 51.47323078471554], ""type"": ""Point""}";51.47323078471554, 5.43934906423902;51.47323112586385, 5.439350646830878
Swalmstraat 006;105563;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Swalmstraat;;006;;Gemeente Eindhoven;158028.86;388241.312;1;SON PIA PLUS 50W I;2021-01-06;2025-01-11;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1994-04-21;2024-04-21;700;1;;ST 7 V-100.L.084 VZ;1992-01-01;2032-01-01;;ST OPZETSTUK 0,40 M;1992-01-01;2032-01-01;"{""coordinates"": [5.430803934671861, 51.48320725828151], ""type"": ""Point""}";51.48320725828151, 5.430803934671861;51.483207600287685, 5.430805562317446
Swalmstraat 005;105569;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Swalmstraat;;005;;Gemeente Eindhoven;158040.422;388220.433;1;SON PIA PLUS 50W I;2021-01-06;2025-01-11;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1994-04-21;2024-04-21;700;1;;ST 7 V-100.L.084 VZ;1992-01-01;2032-01-01;;ST OPZETSTUK 0,40 M;1992-01-01;2032-01-01;"{""coordinates"": [5.430970204047013, 51.483019521647805], ""type"": ""Point""}";51.483019521647805, 5.430970204047013;51.48301986377143, 5.430971831298179
Swalmstraat 014;105571;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Swalmstraat;;014;;Gemeente Eindhoven;157910.32;388343.48;1;SON PIA PLUS 50W I;2019-02-06;2023-02-12;son;geel;50;3900;25;E27;in30lux 100% - uit30;A;SGS203 SON 50 W;1992-01-01;2022-01-01;700;1;;AL 7 NIEUW;2015-03-26;2045-03-26;;AL OPZETSTUK 0,20 M;2015-03-26;2045-03-26;"{""coordinates"": [5.429098242202952, 51.484126239487296], ""type"": ""Point""}";51.484126239487296, 5.429098242202952;51.48412657985799, 5.429099872252892
Steenoven 026;105574;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;026;;Gemeente Eindhoven;157567.57;388276.01;1;SON-T PIA PLUS 70W;2020-12-02;2024-12-07;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;2001-08-10;2041-08-10;;ST ENKEL 1 M LOS VZ;2001-08-10;2041-08-10;"{""coordinates"": [5.424163309620173, 51.48352145515025], ""type"": ""Point""}";51.48352145515025, 5.424163309620173;51.48352178937153, 5.424164941548578
Steenoven 032;105577;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;032;;Gemeente Eindhoven;157468.82;388191.82;1;SON-T PIA PLUS 70W;2017-05-22;2021-06-02;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;1992-01-01;2032-01-01;;ST ENKEL 1 M LOS VZ;1992-01-01;2032-01-01;"{""coordinates"": [5.422741071144897, 51.48276514640084], ""type"": ""Point""}";51.48276514640084, 5.422741071144897;51.48276547848076, 5.422742702070311
Steenoven 033;105578;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;033;;Gemeente Eindhoven;157446.29;388170.25;1;SON-T PIA PLUS 70W;2022-09-29;2026-10-05;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;1992-01-01;2032-01-01;;ST ENKEL 1 M LOS VZ;1992-01-01;2032-01-01;"{""coordinates"": [5.422416574859928, 51.482571360482375], ""type"": ""Point""}";51.482571360482375, 5.422416574859928;51.48257169206498, 5.422418205550711
Steenoven 035;105580;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;035;;Gemeente Eindhoven;157406.8;388123.22;1;SON-T PIA PLUS 70W;2017-05-22;2021-06-02;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;1992-01-01;2032-01-01;;ST ENKEL 1 M LOS VZ;1992-01-01;2032-01-01;"{""coordinates"": [5.421847750062708, 51.48214879614583], ""type"": ""Point""}";51.48214879614583, 5.421847750062708;51.482149126786375, 5.421849379717984
Steenoven 036;105581;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;036;;Gemeente Eindhoven;157386.79;388098.32;1;SON-T  70W;2016-03-16;2021-11-04;sont;geel;70;6000;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;1992-01-01;2032-01-01;;ST ENKEL 1 M LOS VZ;1992-01-01;2032-01-01;"{""coordinates"": [5.421559517448322, 51.4819250648023], ""type"": ""Point""}";51.4819250648023, 5.421559517448322;51.4819253949507, 5.421561146402521
Steenoven 004;105582;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;004;;Gemeente Eindhoven;157946.59;388567.62;1;SON-T PIA PLUS 70W;2017-10-18;2021-10-24;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;1974-11-01;2022-11-14;;ST ENKEL 1 M LOS VZ;1974-11-01;2014-11-01;"{""coordinates"": [5.429622289728041, 51.486140764103475], ""type"": ""Point""}";51.486140764103475, 5.429622289728041;51.48614110596131, 5.429623922433631
Steenoven 003;105583;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;003;;Gemeente Eindhoven;157958.89;388560.7;1;SON-T PIA PLUS 70W;2022-03-10;2026-03-17;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;1974-11-01;2022-11-14;;ST ENKEL 1 M LOS VZ;1974-01-01;2014-01-01;"{""coordinates"": [5.42979931750732, 51.486078497751286], ""type"": ""Point""}";51.486078497751286, 5.42979931750732;51.48607883979314, 5.429800950036124
Steenoven 011;105585;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;011;;Gemeente Eindhoven;157911.93;388535.19;1;SON-T PIA PLUS 70W;2020-07-14;2024-07-26;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;1974-11-01;2022-11-14;;ST ENKEL 1 M LOS VZ;1974-11-01;2014-11-01;"{""coordinates"": [5.429123011951523, 51.48584944397061], ""type"": ""Point""}";51.48584944397061, 5.429123011951523;51.485849785109814, 5.429124644475165
Steenoven 018;105588;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;018;;Gemeente Eindhoven;157750.75;388408.32;1;SON-T PIA PLUS 70W;2017-02-13;2021-02-18;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;1992-01-01;2032-01-01;;ST ENKEL 1 M LOS VZ;1992-01-01;2032-01-01;"{""coordinates"": [5.426801483369385, 51.484709871025565], ""type"": ""Point""}";51.484709871025565, 5.426801483369385;51.48471020891903, 5.426803115532229
Steenoven 021;105589;5 Woensel-Noord;52 Achtse Molen;521 Kerkdorp Acht;Steenoven;;021;;Gemeente Eindhoven;157702.53;388362.7;1;SON-T PIA PLUS 70W;2020-12-02;2024-12-07;sont;geel;70;6600;25;E27;in30lux 100% - uit30;A;SGS253 SON/T 70W IRI;2005-11-14;2035-11-14;900;1;;ST 9 STANDAARD VZ;1992-01-01;2032-01-01;;ST ENKEL 1 M LOS VZ;1992-01-01;2032-01-01;"{""coordinates"": [5.426106918320989, 51.48430004430851], ""type"": ""Point""}";51.48430004430851, 5.426106918320989;51.484300381202644, 5.426108550341443
Sprookjesbosch 011;105600;5 Woensel-Noord;53 Aanschot;534 Blixembosch-Oost;Sprookjesbosch;;011;;Gemeente Eindhoven;161741.063;388619.924;1;SON PIA PLUS 100W;2017-05-15;2022-05-15;son;geel;100;9700;25;E40;in30lux 100% - 19:00;A;SGS203 SON 100 W DIM;1992-01-01;2022-01-01;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.484253343571699, 51.48657816102698], ""type"": ""Point""}";51.48657816102698, 5.484253343571699;51.48657853726772, 5.484254827235387
Sprookjesbosch 009;105605;5 Woensel-Noord;53 Aanschot;534 Blixembosch-Oost;Sprookjesbosch;;009;;Gemeente Eindhoven;161743.127;388590.507;1;SON PIA PLUS 100W;2016-05-19;2021-05-17;son;geel;100;9700;25;E40;in30lux 100% - 19:00;A;SGS203 SON 100 W DIM;1990-01-01;2020-01-01;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.4842824955300795, 51.48631371771361], ""type"": ""Point""}";51.48631371771361, 5.4842824955300795;51.48631409375261, 5.484283978314786
Sprookjesbosch 012;105606;5 Woensel-Noord;53 Aanschot;534 Blixembosch-Oost;Sprookjesbosch;;012;;Gemeente Eindhoven;161717.973;388643.032;1;SON PIA PLUS 100W;2019-06-13;2024-06-15;son;geel;100;9700;25;E40;in30lux 100% - 19:00;A;SGS203 SON 100 W DIM;1990-01-01;2020-01-01;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.4839213486911955, 51.48678614676371], ""type"": ""Point""}";51.48678614676371, 5.4839213486911955;51.48678652307404, 5.483922834312924
Sprookjesbosch 013;105607;5 Woensel-Noord;53 Aanschot;534 Blixembosch-Oost;Sprookjesbosch;;013;;Gemeente Eindhoven;161717.395;388669.028;1;SON PIA PLUS 100W;2021-10-06;2026-10-11;son;geel;100;9700;25;E40;in30lux 100% - 19:00;A;SGS203 SON 100 W DIM;1990-01-01;2020-01-01;900;1;;ST 9 STANDAARD VZ;1990-01-01;2030-01-01;;ST OPZETSTUK 0,40 M;1990-01-01;2030-01-01;"{""coordinates"": [5.483913523752767, 51.48701982211544], ""type"": ""Point""}";51.48701982211544, 5.483913523752767;51.48702019860913, 5.483915010073952
Topaasring 012;105611;5 Woensel-Noord;53 Aanschot;533 Blixembosch-West;Topaasring;;012;;Gemeente Eindhoven;160165.265;388543.826;1;SON  70 W I;2018-11-06;2023-03-29;son;geel;70;5600;25;E27;in30lux 100% - 19:00;A;SGS203 SON 70 W;1992-01-01;2022-01-01;700;1;;ST 7 V-100.L.084 VZ;1992-01-01;2032-01-01;;ST OPZETSTUK 0,40 M;1992-01-01;2032-01-01;"{""coordinates"": [5.4615647907424565, 51.48591084172755], ""type"": ""Point""}";51.48591084172755, 5.4615647907424565;51.485911207814034, 5.461566357594243
Topaasring 025;105612;5 Woensel-Noord;53 Aanschot;533 Blixembosch-West;Topaasring;;025;;Gemeente Eindhoven;160354.94;388480.18;1;SON  70 W I;2019-07-05;2023-12-26;son;geel;70;5600;25;E27;in30lux 100% - 19:00;A;SGS203 SON 70 W;1992-01-01;2022-01-01;700;1;;ST 7 V-100.L.084 VZ;1992-01-01;2032-01-01;;ST OPZETSTUK 0,40 M;1992-01-01;2032-01-01;"{""coordinates"": [5.464294611246874, 51.48533697435754], ""type"": ""Point""}";51.48533697435754, 5.464294611246874;51.485337341396125, 5.464296167692791
Bronziet 001;105613;5 Woensel-Noord;53 Aanschot;533 Blixembosch-West;Bronziet;;001;;Gemeente Eindhoven;160166.49;388566.571;1;SON  70 W I;2019-07-02;2023-12-26;son;geel;70;5600;25;E27;in30lux 100% - 19:00;A;SGS203 SON 70 W;1992-01-01;2022-01-01;700;1;;ST 7 STANDAARD VZ;1992-01-01;2032-01-01;;ST OPZETSTUK 0,40 M;1992-01-01;2032-01-01;"{""coordinates"": [5.461582761775462, 51.48611527699279], ""type"": ""Point""}";51.48611527699279, 5.461582761775462;51.48611564323015, 5.461584329040698
Bronziet 006;105618;5 Woensel-Noord;53 Aanschot;533 Blixembosch-West;Bronziet;;006;;Gemeente Eindhoven;160085.248;388654.608;1;SON-T PIA PLUS 70W;2021-08-16;2025-08-22;sont;geel;70;6600;25;E27;in30lux 100% - 19:00;A;SGS253 SON/T 70W IRI;2011-01-20;2041-01-20;700;1;;ST 7 STANDAARD VZ;1992-01-01;2032-01-01;;ST OPZETSTUK 0,40 M;1992-01-01;2032-01-01;"{""coordinates"": [5.460414372755746, 51.48690735117494], ""type"": ""Point""}";51.48690735117494, 5.460414372755746;51.486907717385336, 5.46041594566403
Boschdijk 288;105619;5 Woensel-Noord;51 Ontginning;512 Prinsejagt;Boschdijk;;288;;Gemeente Eindhoven;159633.42;385948.008;;LED55/830 DM10;2019-09-11;2044-10-23;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-09-11;2039-09-11;900;2;;ST 9 STANDAARD VZ;2007-04-25;2047-04-25;;ST ENKEL 1 M LOS VZ;2007-04-25;2047-04-25;"{""coordinates"": [5.453873542432951, 51.46258260269547], ""type"": ""Point""}";51.46258260269547, 5.453873542432951;51.46258294276157, 5.453875030391915
Boschdijk 298;105622;5 Woensel-Noord;51 Ontginning;512 Prinsejagt;Boschdijk;;298;;Gemeente Eindhoven;159599.162;386002.126;;LED55/830 DM10;2022-08-10;2047-10-01;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2022-08-10;2042-08-10;900;1;;ST 9 V-100.Q.143/G VZ CIL;2022-08-10;2062-08-10;;ST ENKEL 100 X 162 V;2022-08-10;2062-08-10;"{""coordinates"": [5.45338128145411, 51.463069331867146], ""type"": ""Point""}";51.463069331867146, 5.45338128145411;51.46306967225022, 5.453382773828228
Boschdijk 302;105623;5 Woensel-Noord;51 Ontginning;512 Prinsejagt;Boschdijk;;302;;Gemeente Eindhoven;159588.523;386019.595;;LED55/830 DM10;2019-11-13;2044-12-17;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-11-13;2039-11-13;900;;;ST 9 V-100.Q.143/G VZ CIL;2019-11-13;2059-11-13;;ST ENKEL 100x070;2019-11-13;2049-11-13;"{""coordinates"": [5.453228413724518, 51.46322644156254], ""type"": ""Point""}";51.46322644156254, 5.453228413724518;51.463226782049, 5.453229907506819
Boschdijk 312;105627;5 Woensel-Noord;51 Ontginning;512 Prinsejagt;Boschdijk;;312;;Gemeente Eindhoven;159544.604;386089.196;;LED55/830 DM10;2019-09-11;2044-10-23;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-09-11;2039-09-11;900;1;;ST 9 STANDAARD VZ;2007-04-25;2047-04-25;;ST ENKEL 1 M LOS VZ;2007-04-25;2047-04-25;"{""coordinates"": [5.452597314818807, 51.46385241748576], ""type"": ""Point""}";51.46385241748576, 5.452597314818807;51.463852758366585, 5.45259881428727
Boschdijk 326;105633;5 Woensel-Noord;51 Ontginning;512 Prinsejagt;Boschdijk;;326;;Gemeente Eindhoven;159477.879;386199.261;;LED55/830 DM10;2019-09-04;2044-10-19;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-09-04;2039-09-04;900;2;;ST 9 STANDAARD VZ;2007-04-26;2047-04-26;;ST ENKEL 2 M LOS VZ;2007-04-26;2047-04-26;"{""coordinates"": [5.451638524245319, 51.464842288906596], ""type"": ""Point""}";51.464842288906596, 5.451638524245319;51.46484263040412, 5.451640032608793
Boschdijk 328;105634;5 Woensel-Noord;51 Ontginning;512 Prinsejagt;Boschdijk;;328;;Gemeente Eindhoven;159463.421;386225.191;;LED55/830 DM10;2019-11-06;2044-12-09;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-11-06;2039-11-06;900;2;;ST 9 V-100.Q.143/G VZ CIL;2019-11-06;2059-11-06;;ST ENKEL 100 X 162 V;2019-11-06;2059-11-06;"{""coordinates"": [5.451430793960732, 51.46507547962051], ""type"": ""Point""}";51.46507547962051, 5.451430793960732;51.46507582126759, 5.4514323043675255
Boschdijk 354;105644;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;354;;Gemeente Eindhoven;159300.378;386482.072;;LED55/830 DM10;2019-11-13;2044-12-17;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-11-13;2039-11-13;900;;;ST 9 V-100.Q.143/G VZ CIL;2019-11-13;2059-11-13;;ST ENKEL 100x070;2019-11-13;2049-11-13;"{""coordinates"": [5.4490876385679465, 51.467385764587206], ""type"": ""Point""}";51.467385764587206, 5.4490876385679465;51.46738610739963, 5.449089168506727
Boschdijk 356;105645;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;356;;Gemeente Eindhoven;159284.086;386506.95;;LED55/830 DM10;2019-11-13;2044-12-17;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-11-13;2039-11-13;900;;;ST 9 V-100.Q.143/G VZ CIL;2019-11-13;2059-11-13;;ST ENKEL 100x070;2019-11-13;2049-11-13;"{""coordinates"": [5.448853477302067, 51.46760950873181], ""type"": ""Point""}";51.46760950873181, 5.448853477302067;51.46760985160415, 5.448855008970927
Boschdijk 358;105646;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;358;;Gemeente Eindhoven;159269.9;386530.97;;LED55/830 DM10;2019-11-13;2044-12-17;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-11-13;2039-11-13;900;;;ST 9 V-100.Q.143/G VZ CIL;2019-11-13;2059-11-13;;ST ENKEL 100x070;2019-11-13;2049-11-13;"{""coordinates"": [5.448649611799462, 51.46782552412766], ""type"": ""Point""}";51.46782552412766, 5.448649611799462;51.46782586707281, 5.448651145084983
Boschdijk 382;105651;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;382;;Gemeente Eindhoven;159134.749;386750.121;;LED79/830 DM10;2019-10-02;2044-11-09;LED;wit;58;11900;80;LED;in30lux 70% - 19:00;A;BGP760;2019-10-02;2044-10-02;900;1;;ST 9 V-100.Q.143/G VZ CIL;2019-10-02;2059-10-02;;ST ENKEL 100x070;2019-10-02;2049-10-02;"{""coordinates"": [5.446707160389788, 51.469796407003955], ""type"": ""Point""}";51.469796407003955, 5.446707160389788;51.46979675049833, 5.446708708639464
Boschdijk 384;105652;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;384;;Gemeente Eindhoven;159121.45;386776.388;;LED79/830 DM10;2019-08-14;2044-10-03;LED;wit;58;11900;80;LED;in30lux 70% - 19:00;A;BGP760;2019-08-14;2044-08-14;900;1;;ST 9 STANDAARD VZ;2000-11-10;2040-11-10;;ST ENKEL 2 M LOS VZ;2000-11-10;2040-11-10;"{""coordinates"": [5.44651606704983, 51.47003260960616], ""type"": ""Point""}";51.47003260960616, 5.44651606704983;51.470032953191385, 5.446517616992916
Boschdijk 392;105655;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;392;;Gemeente Eindhoven;159070.914;386849.476;;LED55/830 DM10;2019-11-13;2044-12-17;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-11-13;2039-11-13;900;;;ST 9 V-100.Q.143/G VZ CIL;2019-11-13;2059-11-13;;ST ENKEL 100x070;2019-11-13;2049-11-13;"{""coordinates"": [5.445789588358437, 51.470689940687784], ""type"": ""Point""}";51.470689940687784, 5.445789588358437;51.47069028437035, 5.445791143490752
Boschdijk 394;105656;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;394;;Gemeente Eindhoven;159055.028;386873.792;;LED55/830 DM10;2019-11-13;2044-12-17;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-11-13;2039-11-13;900;;;ST 9 V-100.Q.143/G VZ CIL;2019-11-13;2059-11-13;;ST ENKEL 100x070;2019-11-13;2049-11-13;"{""coordinates"": [5.445561230757536, 51.47090862363714], ""type"": ""Point""}";51.47090862363714, 5.445561230757536;51.47090896735965, 5.445562787584371
Boschdijk 422;105659;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;422;;Gemeente Eindhoven;159009.569;386947.373;;LED55/830 DM10;2019-11-13;2044-12-17;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-11-13;2039-11-13;900;;;ST 9 V-100.Q.143/G VZ CIL;2019-11-13;2059-11-13;;ST ENKEL 100x070;2019-11-13;2049-11-13;"{""coordinates"": [5.444907801460029, 51.47157034389429], ""type"": ""Point""}";51.47157034389429, 5.444907801460029;51.471570687759055, 5.444909363324588
Boschdijk 424;105660;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;424;;Gemeente Eindhoven;158995.942;386973.844;;LED55/830 DM10;2019-08-28;2044-10-13;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-08-28;2039-08-28;900;1;;ST 9 STANDAARD VZ;1997-02-06;2037-02-06;;ST ENKEL 1 M LOS VZ;1997-02-06;2037-02-06;"{""coordinates"": [5.444711972833083, 51.47180837955488], ""type"": ""Point""}";51.47180837955488, 5.444711972833083;51.47180872349867, 5.444713536414577
Boschdijk 432;105663;5 Woensel-Noord;51 Ontginning;511 Driehoeksbos;Boschdijk;;432;;Gemeente Eindhoven;158948.741;387044.887;;LED55/830 DM10;2019-10-02;2044-11-09;LED;wit;42;8400;80;LED;in30lux 70% - 19:00;A;BGP761;2019-10-02;2039-10-02;1100;;;ST 11 V-100.T.115;2019-10-02;2059-10-02;;ST ENKEL 100 X 162 V;2019-10-02;2059-10-02;"{""coordinates"": [5.444033417313231, 51.47244729412144], ""type"": ""Point""}";51.47244729412144, 5.444033417313231;51.47244763815096, 5.444034985878939
Boschdijk 448;105669;5 Woensel-Noord;52 Achtse Molen;522 Achtse Barrier-Guntersla;Boschdijk;;448;;Gemeente Eindhoven;158827.52;387239.34;;LED79/830 DM10;2019-09-25;2044-11-05;LED;wit;58;11900;80;LED;in30lux 70% - 19:00;A;BGP760;2019-09-25;2044-09-25;1100;;;ST 11 V-100.T.115;2019-09-25;2059-09-25;;ST ENKEL 100 X 162 V;2019-09-25;2059-09-25;"{""coordinates"": [5.442290803036447, 51.47419600340791], ""type"": ""Point""}";51.47419600340791, 5.442290803036447;51.47419634770283, 5.442292384814523
