Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers(in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
Loket/prodcat/products/getProductDetailsAction.do?id=566,471,675,67993,11,535,0.001,11.723,165,946,87874,55,122,443,151,117,144,33%,26%,0.468,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=566,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D566,
makelpunt-utrecht/index,471,653,52580,15,522,0.001,4.47,260,1839,161098,62,113,447,241,103,112,24%,24%,0.536,http://www.utrecht.nl/makelpunt-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmakelpunt-utrecht%2F,
evenementen/omwonende-evenement/evenementenkalender/index,470,560,20921,17,409,0.001,46.246,279,934,51679,64,102,458,268,99,45,23%,22%,0.897,http://www.utrecht.nl/evenementen/omwonende-evenement/evenementenkalender/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fevenementen%2Fomwonende-evenement%2Fevenementenkalender%2F,
gemeenteraad/raadscommissies/index,470,593,11529,,452,0.001,180.344,40,143,9411,17,38,427,40,38,25,43%,8%,0.932,http://www.utrecht.nl/gemeenteraad/raadscommissies/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadscommissies%2F,
melding-wens-klacht-bezwaar/melding/index,470,607,24934,4,438,0.001,5.906,91,812,53730,13,59,463,88,58,53,14%,13%,0.523,http://www.utrecht.nl/melding-wens-klacht-bezwaar/melding/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmelding-wens-klacht-bezwaar%2Fmelding%2F,
vastgoedaanbod/erfpacht-in-utrecht/index,470,598,46776,20,450,0.001,6.899,278,942,68011,121,210,455,266,206,100,44%,45%,0.653,http://www.utrecht.nl/vastgoedaanbod/erfpacht-in-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2Ferfpacht-in-utrecht%2F,
werk-en-inkomen/afspraak-bijstand/index,470,586,17396,12,464,0.001,20.501,265,2258,143568,24,47,450,252,47,37,9%,10%,0.637,http://www.utrecht.nl/werk-en-inkomen/afspraak-bijstand/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fafspraak-bijstand%2F,
werk-en-inkomen/participatiewet/index,470,591,41744,9,482,0.001,29.601,105,670,51566,21,85,459,101,82,89,20%,18%,0.62,http://www.utrecht.nl/werk-en-inkomen/participatiewet/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fparticipatiewet%2F,
wijk-leidsche-rijn/index,470,651,32761,28,497,0.001,36.629,142,772,43062,48,90,451,139,88,70,34%,19%,0.64,http://www.utrecht.nl/wijk-leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-leidsche-rijn%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Opmerkingen,468,687,27079,,585,0.006,6.74,1,7,1958,0,2,450,1,2,58,0%,0%,0.334,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Opmerkingen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3DOpmerkingen,
college-van-b-en-w/persvoorlichting/index,466,579,84161,24,490,0.001,3.264,184,580,64429,119,281,428,177,266,181,65%,60%,0.543,http://www.utrecht.nl/college-van-b-en-w/persvoorlichting/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fpersvoorlichting%2F,
Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=uwgegevens_personen,466,723,28006,,561,0.004,11.23,,,,,26,456,,25,60,0%,6%,0.975,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_uittrekselgba%26state%3Duwgegevens_personen,
wonen/index,463,581,42995,13,433,0.001,6,297,1315,72157,87,154,457,293,153,93,29%,33%,0.709,http://www.utrecht.nl/wonen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen%2F,
utrechtse-energie/stadsgesprek-energie/sfeerverslag-stadsgesprek/index,462,579,68587,2,416,0.001,7.074,287,842,81616,168,275,449,279,267,148,59%,60%,0.589,http://www.utrecht.nl/utrechtse-energie/stadsgesprek-energie/sfeerverslag-stadsgesprek/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2Fstadsgesprek-energie%2Fsfeerverslag-stadsgesprek%2F,
volksgezondheid/over-volksgezondheid/vacatures/index,461,578,20395,79,446,0.001,5.745,256,896,51959,74,137,457,252,136,44,29%,30%,0.584,http://www.utrecht.nl/volksgezondheid/over-volksgezondheid/vacatures/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvolksgezondheid%2Fover-volksgezondheid%2Fvacatures%2F,
werk-en-inkomen/werk/index,459,621,37864,18,517,0.001,7.063,71,234,18943,29,81,451,71,81,82,41%,18%,0.685,http://www.utrecht.nl/werk-en-inkomen/werk/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fwerk%2F,
parkeren/parkeren-bewoner/opzeggen-parkeervoorziening/index,458,552,34057,46,423,0.001,11.323,138,996,55092,28,70,441,128,65,74,20%,15%,0.732,http://www.utrecht.nl/parkeren/parkeren-bewoner/opzeggen-parkeervoorziening/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2Fopzeggen-parkeervoorziening%2F,
Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=product_selectie,456,643,38924,,514,0.004,8.727,5,17,487,2,25,447,5,25,85,40%,5%,0.812,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=product_selectie,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_uittrekselgba%26state%3Dproduct_selectie,
leidsche-rijn/leidsche-rijn-centrum/index,456,627,50953,4,409,0.001,18.716,240,1227,94754,60,129,450,237,128,112,25%,28%,0.685,http://www.utrecht.nl/leidsche-rijn/leidsche-rijn-centrum/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fleidsche-rijn-centrum%2F,
parkeren/parkeren-bedrijf/index,452,637,17857,14,477,0.001,7.417,30,199,19385,3,31,445,28,29,40,10%,7%,0.563,http://www.utrecht.nl/parkeren/parkeren-bedrijf/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bedrijf%2F,
sport-in-utrecht/sportaccommodaties/sporthallen/sporthal-galgenwaard/index,452,559,49021,9,408,0.001,12.133,351,803,49108,228,309,435,335,298,108,65%,68%,0.759,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/sporthallen/sporthal-galgenwaard/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Fsporthallen%2Fsporthal-galgenwaard%2F,
wijk-vleuten-de-meern/nieuws/index,452,600,35073,20,443,0.001,5.96,116,468,30527,45,93,437,113,91,78,39%,21%,0.766,http://www.utrecht.nl/wijk-vleuten-de-meern/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2Fnieuws%2F,
sport-in-utrecht/zwembaden/algemene-voorwaarden-zwemles/index,451,570,65537,11,394,0.001,5.64,32,106,9284,19,117,435,31,111,145,59%,26%,0.704,http://www.utrecht.nl/sport-in-utrecht/zwembaden/algemene-voorwaarden-zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Falgemene-voorwaarden-zwemles%2F,
stadsparken-en-landgoederen/index,450,637,47991,7,456,0.001,21.46,299,1403,94532,106,164,432,286,155,107,35%,36%,0.69,http://www.utrecht.nl/stadsparken-en-landgoederen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadsparken-en-landgoederen%2F,
stadskantoor/rondleiding/index,447,560,31013,10,453,0.001,3.543,99,282,25989,24,84,437,91,82,69,24%,19%,0.477,http://www.utrecht.nl/stadskantoor/rondleiding/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadskantoor%2Frondleiding%2F,
wijk-binnenstad/de-wijk/plattegrond-binnenstad/index,447,580,28672,20,433,0.001,15.78,293,1025,71235,61,112,437,288,110,64,21%,25%,0.604,http://www.utrecht.nl/wijk-binnenstad/de-wijk/plattegrond-binnenstad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-binnenstad%2Fde-wijk%2Fplattegrond-binnenstad%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=809,445,611,83449,5,475,0.004,6.894,272,1264,114391,131,201,417,254,192,188,48%,45%,0.513,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=809,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D809,
Loket/prodcat/products/getProductDetailsAction.do?id=831,445,635,30660,8,564,0.001,10.322,63,612,40402,22,71,439,62,70,69,35%,16%,0.514,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=831,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D831,
sport-in-utrecht/zwembaden/kinderfeestje-in-het-zwembad/index,443,570,58150,2,355,0.001,6.3,84,402,50357,40,149,433,82,140,131,48%,34%,0.71,http://www.utrecht.nl/sport-in-utrecht/zwembaden/kinderfeestje-in-het-zwembad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fkinderfeestje-in-het-zwembad%2F,
gemeenteraad/actueel/index,440,572,20697,6,445,0.001,11.551,46,281,12494,9,44,421,44,44,47,20%,10%,0.68,http://www.utrecht.nl/gemeenteraad/actueel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Factueel%2F,
toezicht-en-handhaving/index,438,595,43457,25,457,0.001,29.15,237,1197,94784,84,144,432,232,143,99,35%,33%,0.71,http://www.utrecht.nl/toezicht-en-handhaving/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Ftoezicht-en-handhaving%2F,
verkeer-en-vervoer/milieuzone/index,436,571,41868,3,420,0.001,118.302,302,1197,70957,121,187,425,294,181,96,40%,43%,0.876,http://www.utrecht.nl/verkeer-en-vervoer/milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeer-en-vervoer%2Fmilieuzone%2F,
economie-bedrijf/ondernemersloket/horecaloket/horecavergunningen/index,435,687,39627,23,498,0.001,2.987,195,1310,96802,44,91,419,188,87,91,23%,21%,0.552,http://www.utrecht.nl/economie-bedrijf/ondernemersloket/horecaloket/horecavergunningen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Feconomie-bedrijf%2Fondernemersloket%2Fhorecaloket%2Fhorecavergunningen%2F,
parkeren/invoering-betaald-parkeren/projecten/rijnsweerd-zuid-acteursbuurt/index,435,646,22067,17,436,0.001,5.79,61,495,45704,4,27,419,58,27,51,7%,6%,0.451,http://www.utrecht.nl/parkeren/invoering-betaald-parkeren/projecten/rijnsweerd-zuid-acteursbuurt/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Finvoering-betaald-parkeren%2Fprojecten%2Frijnsweerd-zuid-acteursbuurt%2F,
webmail-inlog-veranderd/index,433,537,22934,5,490,0.001,9.415,368,1194,88663,84,115,336,274,107,53,23%,27%,0.456,http://www.utrecht.nl/webmail-inlog-veranderd/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwebmail-inlog-veranderd%2F,
nieuws/artikel/romeins-schip-de-meern-1-terug-naar-leidsche-rijn/index,430,537,54482,8,343,0.001,5.527,332,950,80625,187,277,417,320,268,127,56%,64%,0.748,http://www.utrecht.nl/nieuws/artikel/romeins-schip-de-meern-1-terug-naar-leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnieuws%2Fartikel%2Fromeins-schip-de-meern-1-terug-naar-leidsche-rijn%2F,
forten/index,427,590,41683,3,458,0.001,10.093,331,1264,93820,123,202,420,326,199,98,37%,47%,0.655,http://www.utrecht.nl/forten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fforten%2F,
wmo-in-utrecht/welke-hulp-hebt-u-nodig/index,427,543,26433,12,431,0.001,30.172,18,253,31734,6,23,423,18,22,62,33%,5%,0.695,http://www.utrecht.nl/wmo-in-utrecht/welke-hulp-hebt-u-nodig/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fwelke-hulp-hebt-u-nodig%2F,
college-van-b-en-w/burgemeester-en-wethouders/margriet-jongerius/index,426,605,47108,12,439,0.001,9.674,186,587,38997,93,174,416,180,169,111,50%,41%,0.563,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/margriet-jongerius/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fmargriet-jongerius%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Huwelijksaangifte (ondertrouw),425,616,78385,37,432,0.001,5.878,237,1270,132053,96,182,410,225,174,184,41%,43%,0.645,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Huwelijksaangifte+(ondertrouw),pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DHuwelijksaangifte+%28ondertrouw%29,
gemeenteberichten/index,424,553,26738,19,437,0.001,8.121,121,652,47401,24,73,421,121,73,63,20%,17%,0.463,http://www.utrecht.nl/gemeenteberichten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteberichten%2F,
sport-in-utrecht/sportaccommodaties/sporthallen/index,423,600,38513,10,438,0.001,18.677,165,724,64197,50,118,409,157,110,91,30%,28%,0.693,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/sporthallen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Fsporthallen%2F,
verkiezingen/stemmen-met-volmacht/index,421,502,41976,18,389,0.001,37.239,195,740,56189,77,142,413,190,138,100,39%,34%,0.759,http://www.utrecht.nl/verkiezingen/stemmen-met-volmacht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkiezingen%2Fstemmen-met-volmacht%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=616,420,553,51713,16,460,0.001,8.783,204,2000,165985,49,100,404,193,94,123,24%,24%,0.705,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=616,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D616,
sport-in-utrecht/sportaccommodaties/tarieven-indoor-sportlocaties/index,416,551,57959,10,439,0.001,21.372,34,154,19430,18,130,412,33,129,139,53%,31%,0.759,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/tarieven-indoor-sportlocaties/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Ftarieven-indoor-sportlocaties%2F,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=overzicht,415,439,14502,,357,0.031,242.514,,,,,6,409,,6,35,0%,1%,3.279,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Doverzicht,
evenementen/index,414,519,36291,12,411,0.001,8.384,192,1470,90156,63,109,408,191,108,88,33%,26%,0.621,http://www.utrecht.nl/evenementen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fevenementen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=779,413,677,58782,11,496,0.002,20.986,232,1282,99677,76,164,396,221,161,142,33%,40%,0.86,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=779,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D779,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=j_Uitbetaling,408,679,25950,,615,0.003,10.491,1,4,118,0,1,399,1,1,64,0%,0%,0.419,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=j_Uitbetaling,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Dj_Uitbetaling,
nederlands-leren-en-inburgeren/index,406,492,38917,13,342,0.001,5.379,307,757,63010,133,185,372,274,156,96,43%,46%,0.662,http://www.utrecht.nl/nederlands-leren-en-inburgeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fnederlands-leren-en-inburgeren%2F,
wmo-in-utrecht/hoe-vraagt-u-hulp-aan/index,406,559,35959,10,414,0.001,15.466,52,449,20348,18,77,394,51,75,89,35%,19%,0.655,http://www.utrecht.nl/wmo-in-utrecht/hoe-vraagt-u-hulp-aan/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fhoe-vraagt-u-hulp-aan%2F,
wonen-in-veemarkt/woningaanbod/index,404,591,34761,3,349,0.001,4.586,25,116,14421,6,39,394,23,39,86,24%,10%,0.649,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=i_PersoonlijkeOmstandigheden,403,599,28571,,548,0.001,3.603,1,3,28,0,3,395,1,3,71,0%,1%,0.285,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=i_PersoonlijkeOmstandigheden,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Di_PersoonlijkeOmstandigheden,
vastgoedaanbod/index,403,496,24262,13,331,0.001,8.573,287,1142,84341,58,107,390,279,103,60,20%,27%,0.719,http://www.utrecht.nl/vastgoedaanbod/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvastgoedaanbod%2F,
Loket/persondetails/displayIdentificationsAction.do,400,437,15196,,379,0.009,5.489,1,1,0,1,22,399,1,22,38,100%,6%,0.333,https://pki.utrecht.nl/Loket/persondetails/displayIdentificationsAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fpersondetails%2FdisplayIdentificationsAction.do,
wmo-in-utrecht/formulieren-wmo/index,398,508,29866,14,435,0.001,15.648,134,1555,87515,37,77,378,122,67,75,28%,19%,0.568,http://www.utrecht.nl/wmo-in-utrecht/formulieren-wmo/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fformulieren-wmo%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=a_bestaandeKlant,397,576,6042,,523,0.01,2.798,,,,,,390,,,15,0%,0%,0.318,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=a_bestaandeKlant,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Da_bestaandeKlant,
leidsche-rijn/plattegrond/index,396,480,20374,10,350,0.001,21.861,67,301,30406,22,72,382,63,69,51,33%,18%,0.747,http://www.utrecht.nl/leidsche-rijn/plattegrond/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fplattegrond%2F,
Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=bijlagen,394,676,86347,,624,0.003,9.921,8,160,8092,1,29,383,8,28,219,13%,7%,0.478,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bijzonderebijstand&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bijzonderebijstand%26state%3Dbijlagen,
Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=bevestiging,393,402,37678,,320,0.059,23.308,4,19,343,2,249,386,4,245,96,50%,63%,0.831,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_update_kentekenwijzigen&state=bevestiging,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_update_kentekenwijzigen%26state%3Dbevestiging,
?id=14427,391,672,26955,1,397,0.001,2.818,124,1047,70877,26,66,374,120,63,69,21%,17%,0.397,http://www.utrecht.nl/?id=14427,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2F%3Fid%3D14427,
Formulieren/login/initLoginAction.do?forward=/start.do&failedForward=/start.do,390,586,17031,,429,0.001,14.191,5,46,2699,0,27,387,5,27,44,0%,7%,0.141,https://pki.utrecht.nl/Formulieren/login/initLoginAction.do?forward=/start.do&failedForward=/start.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Flogin%2FinitLoginAction.do%3Fforward%3D%2Fstart.do%26failedForward%3D%2Fstart.do,
Loket/prodcat/products/getProductDetailsAction.do?id=447,386,489,34004,17,419,0.04,54.333,92,606,30731,32,83,374,85,76,88,35%,22%,0.963,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=447,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D447,
werken-en-leren-bij-utrecht/traineeprogramma/basisprofiel-en-arbeidsvoorwaarden/index,386,485,31725,9,407,0.001,18.689,10,32,1312,4,124,384,10,124,82,40%,32%,0.71,http://www.utrecht.nl/werken-en-leren-bij-utrecht/traineeprogramma/basisprofiel-en-arbeidsvoorwaarden/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Ftraineeprogramma%2Fbasisprofiel-en-arbeidsvoorwaarden%2F,
sociale-stad-in-ontwikkeling/ondersteuning-zorg-jeugdhulp-en-werk-in-2015/index,382,496,27953,17,386,0.001,21.313,56,177,15570,27,87,375,56,86,73,48%,23%,0.589,http://www.utrecht.nl/sociale-stad-in-ontwikkeling/ondersteuning-zorg-jeugdhulp-en-werk-in-2015/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsociale-stad-in-ontwikkeling%2Fondersteuning-zorg-jeugdhulp-en-werk-in-2015%2F,
sport-in-utrecht/sportaccommodaties/index,382,504,31466,12,384,0.001,7.016,201,727,60642,64,136,379,199,135,82,32%,36%,0.788,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2F,
bouwen-en-verbouwen/tarieven/index,381,451,21016,26,346,0.001,6.129,166,726,57288,28,55,375,163,55,55,17%,14%,0.66,http://www.utrecht.nl/bouwen-en-verbouwen/tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Ftarieven%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Een_vraag,380,545,131933,2,493,0.004,3.58,3,34,3139,1,15,376,3,15,347,33%,4%,0.293,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=Een_vraag,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3DEen_vraag,
utrechtse-energie/energiepunt-wonen/index,380,534,40161,3,388,0.001,19.533,148,710,63465,44,99,367,143,93,106,30%,26%,0.724,http://www.utrecht.nl/utrechtse-energie/energiepunt-wonen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Futrechtse-energie%2Fenergiepunt-wonen%2F,
Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=overzicht,379,450,14730,,384,0.001,180.912,3,18,1543,1,3,373,3,3,39,33%,1%,2.359,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_bewonersvergunning&state=overzicht,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_bewonersvergunning%26state%3Doverzicht,
welzijn/onderwijs/onderwijsbeleid/leerplicht/index,378,512,54423,14,409,0.001,31.919,264,766,65141,133,224,368,257,218,144,50%,59%,0.717,http://www.utrecht.nl/welzijn/onderwijs/onderwijsbeleid/leerplicht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwelzijn%2Fonderwijs%2Fonderwijsbeleid%2Fleerplicht%2F,
parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-kop-van-lombok/index,377,508,36869,2,363,0.001,3.672,100,338,31377,39,105,364,96,99,98,39%,28%,0.59,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeergarages/parkeergarage-kop-van-lombok/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeergarages%2Fparkeergarage-kop-van-lombok%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel Burgerlijke Stand aanvragen&processName=Aanvragen,376,449,43579,1,337,0.002,9.89,16,69,7019,4,63,358,15,60,116,25%,17%,0.396,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Uittreksel+Burgerlijke+Stand+aanvragen&processName=Aanvragen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DUittreksel+Burgerlijke+Stand+aanvragen%26processName%3DAanvragen,
Loket/prodcat/process/checkPreconditionsAction.do?name=Afspraak inplannen na aanvraag bijstand&processName=Aanvraag met DigiD,374,432,21888,,356,0.003,6.059,8,18,524,4,29,364,7,29,59,50%,8%,0.389,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Afspraak+inplannen+na+aanvraag+bijstand&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DAfspraak+inplannen+na+aanvraag+bijstand%26processName%3DAanvraag+met+DigiD,
