Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd doordebezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)nahethierintevoeren,Bounces,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Vertrekken,Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
Loket/prodcat/products/getProductDetailsAction.do?name=Uittreksel Basisregistratie Personen (BRP) of Burgerlijke Stand,560,753,78480,67,613,0.024,197.801,42,180,12961,22,533,33,107,98,140,52%,19%,1.183,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Uittreksel+Basisregistratie+Personen+%28BRP%29+of+Burgerlijke+Stand,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DUittreksel+Basisregistratie+Personen+%28BRP%29+of+Burgerlijke+Stand,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/zwemles/index,560,782,27232,4,500,0.001,20.269,85,515,41451,11,549,84,46,45,49,13%,8%,0.774,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/zwemles/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fzwemles%2F,
wijk-vleuten-de-meern/nieuws/index,560,688,49891,28,424,0.001,16.671,242,972,97785,79,548,234,164,162,89,33%,29%,0.901,http://www.utrecht.nl/wijk-vleuten-de-meern/nieuws/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-vleuten-de-meern%2Fnieuws%2F,
Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=BewijsstukInleveren,557,831,90957,,775,0.007,180.128,7,99,5819,2,547,7,19,19,163,29%,3%,0.946,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vraagidee&state=BewijsstukInleveren,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vraagidee%26state%3DBewijsstukInleveren,
bouwen-en-verbouwen/vergunningen-op-een-rij/index,556,799,43315,72,579,0.001,12.257,98,690,44097,17,549,98,64,64,78,17%,12%,0.513,http://www.utrecht.nl/bouwen-en-verbouwen/vergunningen-op-een-rij/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbouwen-en-verbouwen%2Fvergunningen-op-een-rij%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Ldtnieuw aanvragen&processName=Aanvraag met DigiD,554,733,72940,3,576,0.002,26.299,15,145,7746,4,531,15,62,62,132,27%,11%,0.613,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Ldtnieuw+aanvragen&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DLdtnieuw+aanvragen%26processName%3DAanvraag+met+DigiD,
Formulieren/start.do,553,936,38608,2,689,0.001,2.32,20,139,11888,7,539,18,79,76,70,35%,14%,0.104,https://pki.utrecht.nl/Formulieren/start.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fstart.do,
startpagina/zorg-welzijn-onderwijs/index,542,723,18976,7,568,0.001,13.145,11,84,2946,2,533,11,19,19,35,18%,4%,0.527,http://www.utrecht.nl/startpagina/zorg-welzijn-onderwijs/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fzorg-welzijn-onderwijs%2F,
Formulieren/flow/stateAction.do?flow=process_add_vog&state=uwgegevens_personen,540,816,33132,3,707,0.004,8.121,6,39,3025,0,528,6,22,22,61,0%,4%,0.667,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vog&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vog%26state%3Duwgegevens_personen,
stadhuis/index,540,669,78713,9,499,0.001,5.515,309,1370,117482,122,522,295,215,205,146,39%,40%,0.598,http://www.utrecht.nl/stadhuis/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadhuis%2F,
english/living/index,535,689,35041,8,582,0.001,7.13,21,79,2886,10,524,21,108,106,65,48%,20%,0.703,http://www.utrecht.nl/english/living/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2Fliving%2F,
gemeenteraad/raadsinformatieavond/programma/index,533,735,63486,8,585,0.001,13.281,207,606,52129,104,505,193,199,187,119,50%,37%,0.534,http://www.utrecht.nl/gemeenteraad/raadsinformatieavond/programma/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadsinformatieavond%2Fprogramma%2F,
zoeken/?id=32655&L=0&tx_solr[q]=,533,701,17338,406,576,0.001,7.667,9,37,4652,3,528,9,47,46,33,33%,9%,0.408,http://www.utrecht.nl/zoeken/?id=32655&L=0&tx_solr[q]=,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2F%3Fid%3D32655%26L%3D0%26tx_solr%5Bq%5D%3D,
college-van-b-en-w/burgemeester-en-wethouders/burgemeester/index,527,697,26248,3,503,0.001,10.716,278,1140,66819,83,519,275,130,130,50,30%,25%,0.571,http://www.utrecht.nl/college-van-b-en-w/burgemeester-en-wethouders/burgemeester/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcollege-van-b-en-w%2Fburgemeester-en-wethouders%2Fburgemeester%2F,
gemeenteraad/wie-zit-er-in-de-raad/index,523,1303,60174,11,885,0.001,64.108,108,842,50462,34,499,105,133,130,115,31%,25%,0.54,http://www.utrecht.nl/gemeenteraad/wie-zit-er-in-de-raad/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fwie-zit-er-in-de-raad%2F,
leidsche-rijn/leidsche-rijn-centrum/index,523,735,57748,1,513,0.001,20.072,213,1083,87815,58,513,210,129,126,110,27%,25%,0.663,http://www.utrecht.nl/leidsche-rijn/leidsche-rijn-centrum/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fleidsche-rijn-centrum%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/banenzwemmen/index,523,641,34518,4,405,0.001,4.178,131,535,45108,20,512,124,55,53,66,15%,11%,0.742,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/vrij-zwemmen/banenzwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fvrij-zwemmen%2Fbanenzwemmen%2F,
forten/index,520,687,48356,,498,0.001,3.673,402,1753,102868,123,514,397,219,218,93,31%,42%,0.546,http://www.utrecht.nl/forten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fforten%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=565,516,666,82592,16,546,0.006,161.452,94,1364,89261,23,507,92,83,81,160,24%,16%,1.483,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=565,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D565,
evenementen/organisator-evenement/buitenlocaties/park-transwijk/index,514,698,67757,5,455,0.001,6.036,304,899,83521,144,503,298,257,252,132,47%,50%,0.703,http://www.utrecht.nl/evenementen/organisator-evenement/buitenlocaties/park-transwijk/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fevenementen%2Forganisator-evenement%2Fbuitenlocaties%2Fpark-transwijk%2F,
Formulieren/flow/stateAction.do?flow=process_add_vog&state=bijlagen,514,770,125336,,686,0.008,31.987,10,120,7539,2,501,10,74,74,244,20%,14%,0.272,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_vog&state=bijlagen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_vog%26state%3Dbijlagen,
parkeren/parkeren-bewoner/1-of-2-parkeervergunningen/index,511,622,47888,6,449,0.001,3.165,70,337,17126,26,509,68,99,98,94,37%,19%,0.577,http://www.utrecht.nl/parkeren/parkeren-bewoner/1-of-2-parkeervergunningen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2F1-of-2-parkeervergunningen%2F,
parkeren/parkeren-gehandicapte/parkeerregels-gehandicapten/index,511,669,63065,7,427,0.001,13.303,268,790,66077,126,490,257,230,217,123,47%,45%,0.623,http://www.utrecht.nl/parkeren/parkeren-gehandicapte/parkeerregels-gehandicapten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-gehandicapte%2Fparkeerregels-gehandicapten%2F,
parkeren/veelgestelde-vragen/index,508,580,46965,96,434,0.001,10.518,170,790,66851,73,502,170,144,141,92,43%,28%,0.811,http://www.utrecht.nl/parkeren/veelgestelde-vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fveelgestelde-vragen%2F,
vergunningen-openbare-ruimte/vrijmarkt-2015/index,508,597,66136,9,441,0.001,15.902,355,727,57210,247,496,344,329,318,130,70%,65%,0.721,http://www.utrecht.nl/vergunningen-openbare-ruimte/vrijmarkt-2015/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fvergunningen-openbare-ruimte%2Fvrijmarkt-2015%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Bijstandsuitkering,504,649,48336,41,510,0.006,23.121,249,2404,136419,48,494,241,105,100,96,19%,21%,0.842,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Bijstandsuitkering,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DBijstandsuitkering,
Loket/prodcat/products/getProductDetailsAction.do?id=1065,498,690,81515,30,575,0.001,43.346,231,953,68982,115,469,209,216,202,164,50%,43%,1.074,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=1065,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D1065,
Loket/prodcat/products/getProductDetailsAction.do?id=472,495,560,83402,7,380,0.004,48.409,194,969,121956,128,474,178,241,231,168,66%,49%,1.171,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=472,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D472,
groenbeleid/parkzone-amsterdam-rijnkanaal/index,490,566,79821,6,426,0.001,5.866,303,1663,172962,118,480,296,190,187,163,39%,39%,0.595,http://www.utrecht.nl/groenbeleid/parkzone-amsterdam-rijnkanaal/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgroenbeleid%2Fparkzone-amsterdam-rijnkanaal%2F,
parkeren/parkeren-bewoner/opzeggen-parkeervoorziening/index,484,591,41373,32,440,0.001,10.957,132,928,70553,34,467,123,91,83,85,26%,19%,0.662,http://www.utrecht.nl/parkeren/parkeren-bewoner/opzeggen-parkeervoorziening/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2Fopzeggen-parkeervoorziening%2F,
startpagina/ondernemen/index,481,665,13592,3,504,0.001,7.868,12,53,4747,6,474,12,30,29,28,50%,6%,0.563,http://www.utrecht.nl/startpagina/ondernemen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fondernemen%2F,
welzijn/welzijnsaccommodaties/index,481,709,72979,30,585,0.001,9.795,120,558,57661,36,464,113,125,120,152,30%,26%,0.604,http://www.utrecht.nl/welzijn/welzijnsaccommodaties/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwelzijn%2Fwelzijnsaccommodaties%2F,
wmo-in-utrecht/vragen/index,481,637,83924,78,512,0.001,132.22,139,541,48586,61,467,135,164,160,174,44%,34%,1.268,http://www.utrecht.nl/wmo-in-utrecht/vragen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fvragen%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=809,480,634,101760,7,442,0.003,150.034,267,1021,98550,134,452,242,228,214,212,50%,48%,1.209,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=809,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D809,
havens/varen-en-aanleggen-in-utrecht/index,478,702,60122,16,465,0.001,12.627,188,593,35520,79,449,178,205,193,126,42%,43%,0.652,http://www.utrecht.nl/havens/varen-en-aanleggen-in-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fhavens%2Fvaren-en-aanleggen-in-utrecht%2F,
gemeenteraad/raadscommissies/index,474,581,14878,3,466,0.001,6.711,20,112,7314,3,413,20,19,19,31,15%,4%,0.55,http://www.utrecht.nl/gemeenteraad/raadscommissies/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeenteraad%2Fraadscommissies%2F,
Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=uwgegevens_personen,473,816,36860,4,680,0.043,78.619,1,70,3049,0,465,1,24,24,78,0%,5%,0.927,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_uittrekselgba%26state%3Duwgegevens_personen,
werken-en-leren-bij-utrecht/marktplaatsinhuur/index,473,599,39954,6,488,0.001,3.883,176,518,43780,66,465,171,193,191,84,38%,41%,0.511,http://www.utrecht.nl/werken-en-leren-bij-utrecht/marktplaatsinhuur/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Fmarktplaatsinhuur%2F,
wijken-en-participatie/wijkbureaus-en-servicecentra/index,473,787,34323,12,583,0.001,258.822,64,402,22676,10,467,61,51,50,73,16%,11%,0.931,http://www.utrecht.nl/wijken-en-participatie/wijkbureaus-en-servicecentra/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijken-en-participatie%2Fwijkbureaus-en-servicecentra%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Gft-afval,472,584,46723,39,367,0.006,22.59,192,861,70286,55,464,184,112,106,99,29%,24%,0.863,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Gft-afval,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DGft-afval,
leefbaarheidsbudget/index,471,776,58489,12,606,0.001,9.895,120,1281,99441,24,457,119,79,78,124,20%,17%,0.512,http://www.utrecht.nl/leefbaarheidsbudget/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleefbaarheidsbudget%2F,
zoeken/uitleg-en-zoektips/index,468,539,28493,431,419,0.001,600.41,13,58,2715,8,462,12,66,64,61,62%,14%,2.06,http://www.utrecht.nl/zoeken/uitleg-en-zoektips/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fzoeken%2Fuitleg-en-zoektips%2F,
Loket/prodcat/process/checkPreconditionsAction.do?name=Bezoekers vergunning&processName=Aanvraag met DigiD,462,535,41812,3,357,0.009,17.097,13,42,6294,6,456,13,54,53,91,46%,12%,0.596,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Bezoekers+vergunning&processName=Aanvraag+met+DigiD,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DBezoekers+vergunning%26processName%3DAanvraag+met+DigiD,
wijk-leidsche-rijn/index,460,576,29924,6,468,0.001,8.629,123,474,24732,54,437,114,105,102,65,44%,23%,0.65,http://www.utrecht.nl/wijk-leidsche-rijn/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-leidsche-rijn%2F,
aantrekkelijk-en-bereikbaar/projecten-herinrichting/herinrichting-t-goylaan/index,453,659,73979,6,474,0.001,29.192,322,837,77127,144,433,303,264,252,163,45%,58%,0.712,http://www.utrecht.nl/aantrekkelijk-en-bereikbaar/projecten-herinrichting/herinrichting-t-goylaan/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Faantrekkelijk-en-bereikbaar%2Fprojecten-herinrichting%2Fherinrichting-t-goylaan%2F,
wijk-en-warenmarkten/index,453,563,46402,16,413,0.001,12.717,242,585,49010,113,439,231,181,174,102,47%,40%,0.643,http://www.utrecht.nl/wijk-en-warenmarkten/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwijk-en-warenmarkten%2F,
startpagina/homepagefotos/index,452,518,36117,5,395,0.001,5.99,48,197,15162,24,447,47,139,136,80,50%,31%,0.604,http://www.utrecht.nl/startpagina/homepagefotos/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fhomepagefotos%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=579,448,630,67128,3,525,0.001,37.917,148,1124,103026,48,431,140,118,112,150,32%,26%,0.887,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=579,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D579,
wmo-in-utrecht/persoonsgebonden-budget/index,448,611,63519,27,465,0.001,4.587,175,705,60803,81,434,167,151,144,142,46%,34%,0.511,http://www.utrecht.nl/wmo-in-utrecht/persoonsgebonden-budget/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwmo-in-utrecht%2Fpersoonsgebonden-budget%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/recreatief-zwemmen/index,445,559,35850,5,339,0.001,11.399,37,122,8696,16,431,35,79,77,81,43%,18%,0.7,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/vrij-zwemmen/recreatief-zwemmen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fvrij-zwemmen%2Frecreatief-zwemmen%2F,
english/expatcenter/index,443,529,48001,5,461,0.001,9.906,212,484,36160,130,421,200,230,219,108,61%,52%,0.733,http://www.utrecht.nl/english/expatcenter/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fenglish%2Fexpatcenter%2F,
Loket/prodcat/products/getProductDetailsAction.do?name=Rijbewijs,442,659,150550,36,562,0.001,37.734,20,165,86863,7,430,15,88,84,341,35%,20%,3.962,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Rijbewijs,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DRijbewijs,
Loket/prodcat/topics/getTopicsAction.do?id=163,438,611,24031,6,467,0.001,13.072,6,92,3326,0,437,6,12,12,55,0%,3%,0.662,https://pki.utrecht.nl/Loket/prodcat/topics/getTopicsAction.do?id=163,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Ftopics%2FgetTopicsAction.do%3Fid%3D163,
Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=Bijstandsuitkering,436,4346,169574,1,3817,0.001,17.531,23,230,12577,5,425,23,206,200,389,22%,47%,0.396,https://pki.utrecht.nl/Loket/decisiontree/renderAction.do?tree_type=formuliertoegang&tree_name=Bijstandsuitkering,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fdecisiontree%2FrenderAction.do%3Ftree_type%3Dformuliertoegang%26tree_name%3DBijstandsuitkering,
werk-en-inkomen/werk/index,432,566,37877,15,456,0.001,14.501,51,248,17274,24,417,45,79,73,88,47%,18%,0.614,http://www.utrecht.nl/werk-en-inkomen/werk/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fwerk%2F,
Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=product_selectie,430,719,47830,1,616,0.003,7.782,2,45,1779,0,424,2,21,21,111,0%,5%,0.679,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_uittrekselgba&state=product_selectie,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_uittrekselgba%26state%3Dproduct_selectie,
leidsche-rijn/leidsche-rijn-centrum/infrastructuur/utrecht-bouwt-aan/index,428,644,70621,3,415,0.001,12.213,258,1230,107917,64,419,249,125,119,165,25%,29%,0.641,http://www.utrecht.nl/leidsche-rijn/leidsche-rijn-centrum/infrastructuur/utrecht-bouwt-aan/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fleidsche-rijn-centrum%2Finfrastructuur%2Futrecht-bouwt-aan%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=uwgegevens_personen,427,688,28545,,586,0.003,24.087,5,62,6468,1,407,5,15,15,67,20%,4%,0.729,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=uwgegevens_personen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3Duwgegevens_personen,
Formulieren/flow/stateAction.do?flow=process_add_zwemles&state=WieWelk,427,635,24586,4,450,0.001,21.261,12,74,6045,4,419,12,42,41,58,33%,10%,0.504,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_zwemles&state=WieWelk,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_zwemles%26state%3DWieWelk,
werken-en-leren-bij-utrecht/stageplaatsen/index,426,598,31734,34,502,0.001,32.189,163,530,44510,46,416,158,150,148,74,28%,35%,0.619,http://www.utrecht.nl/werken-en-leren-bij-utrecht/stageplaatsen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerken-en-leren-bij-utrecht%2Fstageplaatsen%2F,
melding-wens-klacht-bezwaar/melding/index,425,552,27026,10,418,0.001,22.219,89,971,71073,17,414,82,59,58,64,19%,14%,0.574,http://www.utrecht.nl/melding-wens-klacht-bezwaar/melding/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fmelding-wens-klacht-bezwaar%2Fmelding%2F,
wonen-in-veemarkt/woningaanbod/bouwveld-e/index,425,645,38616,6,363,0.001,16.13,91,554,49826,22,402,85,55,54,91,24%,13%,0.668,http://www.utrecht.nl/wonen-in-veemarkt/woningaanbod/bouwveld-e/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwonen-in-veemarkt%2Fwoningaanbod%2Fbouwveld-e%2F,
wet-openbaarheid-van-bestuur-wob/wob-verzoek/bericht/ - Andere,423,494,16219,1,457,0.001,5.72,69,479,20359,27,1,,47,,38,39%,11%,0.952,,,
sport-in-utrecht/sportaccommodaties/sportzalen-gymzalen/index,422,896,62186,21,620,0.001,47.679,167,887,65528,50,413,165,133,132,147,30%,32%,0.564,http://www.utrecht.nl/sport-in-utrecht/sportaccommodaties/sportzalen-gymzalen/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fsportaccommodaties%2Fsportzalen-gymzalen%2F,
parkeren/parkeren-gehandicapte/index,419,623,20090,20,421,0.001,3.838,168,920,58574,31,411,163,71,66,48,18%,17%,0.481,http://www.utrecht.nl/parkeren/parkeren-gehandicapte/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-gehandicapte%2F,
begraafplaatsen/utrechtse-troostdag/index,418,583,72302,11,387,0.001,4.18,310,956,114583,187,393,288,281,264,173,60%,67%,0.522,http://www.utrecht.nl/begraafplaatsen/utrechtse-troostdag/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fbegraafplaatsen%2Futrechtse-troostdag%2F,
"Loket/prodcat/products/getProductDetailsAction.do?name=Geboorte, aangifte,418,601,60953,49,417,0.024,29.481,93,569,50337,30,404,85,82,79,146,32%,20%,1.496,""https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Geboorte,+aangifte"",pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DGeboorte%2C+aangifte",,,,,,,,,,,,,,,,,,,,,,
kunst-cultuur/index,417,555,29081,14,457,0.001,24.153,101,516,37146,31,408,101,86,85,70,31%,21%,0.607,http://www.utrecht.nl/kunst-cultuur/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fkunst-cultuur%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Leefsituatie_Inkomen,416,1125,51523,1,1009,0.001,201.724,3,15,1861,2,397,3,24,23,124,67%,6%,2.278,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Leefsituatie_Inkomen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3DLeefsituatie_Inkomen,
werk-en-inkomen/regels-bijstand/index,413,554,59345,20,446,0.001,10.468,157,924,73121,60,408,154,129,128,144,38%,31%,0.664,http://www.utrecht.nl/werk-en-inkomen/regels-bijstand/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fwerk-en-inkomen%2Fregels-bijstand%2F,
leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kavels-hoge-weide/index,411,609,26401,2,390,0.001,15.532,108,1124,86476,23,388,103,47,45,64,21%,11%,0.647,http://www.utrecht.nl/leidsche-rijn/vrije-kavels-leidsche-rijn/kavels/kavels-hoge-weide/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fleidsche-rijn%2Fvrije-kavels-leidsche-rijn%2Fkavels%2Fkavels-hoge-weide%2F,
sport-in-utrecht/zwembaden/contact/index,411,505,48757,2,325,0.001,9.412,37,101,8360,21,392,31,103,92,119,57%,25%,0.704,http://www.utrecht.nl/sport-in-utrecht/zwembaden/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fcontact%2F,
Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Gezin,410,669,19407,,585,0.001,31.088,3,24,531,1,392,3,8,8,47,33%,2%,1.666,https://pki.utrecht.nl/Formulieren/flow/stateAction.do?flow=process_add_ldtnieuw&state=Gezin,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FFormulieren%2Fflow%2FstateAction.do%3Fflow%3Dprocess_add_ldtnieuw%26state%3DGezin,
