"licenseename","doingbusinessas","licensetype","licensenum","expiration","address","city","state","zip"
"IRON HIPPIE INC","DEAD HIPPIE BREWING","Sales Room Malt","03-04327","2022-03-04T00:00:00.000","3701 SOUTH SANTA FEE DRIVE UNIT 7","Sheridan","CO","80110"
"PEAK VIEW BREWING COMPANY","PEAK VIEW BREWING COMPANY","Sales Room Malt","03-10414","2022-02-06T00:00:00.000","9672 EAST ARAPAHOE ROAD","Greenwood Village","CO","80112"
"BUCKEL FAMILY WINE LLC","BUCKEL FAMILY WINE","Sales Room Wine","03-07474","2021-08-30T00:00:00.000","FIR STREET SUITE (SOUTH) NUGGET BUILDING 201 W COLORADO AVE","Telluride","CO","81435"
"KINGMAN ESTATES VINEYARDS","KINGMAN ESTATES WINERY","Sales Room Wine","25-60933-0000","2021-11-10T00:00:00.000","1211 WASHINGTON AVENUE","Golden","CO","80401"
"WONDERLAND BREWING CO","WONDERLAND BREWING COMPANY LLC","Sales Room Malt","03-02460","2022-03-27T00:00:00.000","5450 WEST 120TH AVENUE","Broomfield","CO","80020"
"BRECKENRIDGE BREWERY","BRECKENRIDGE BREWERY","Sales Room Malt","03-06033","2022-03-20T00:00:00.000","2920 BREWERY LANE","Littleton","CO","80120"
"STORM PEAK BREWING COMPANY","STORM PEAK BREWING COMPANY","Sales Room Malt","03-02540","2022-02-28T00:00:00.000","1885 ELK RIVER PLAZA","Steamboat Springs","CO","80487"
"WILEY ROOTS BREWING COMPANY","WILEY ROOTS BREWING COMPANY","Sales Room Malt","03-01238","2022-04-25T00:00:00.000","958 3RD STREET UNIT D","Greeley","CO","80631"
"MOCKERY BREWING","MOCKERY BREWING LLC","Sales Room Malt","03-02250","2021-12-08T00:00:00.000","3501 DELGANY STREET","Denver","CO","80216"
"CREEKSIDE CELLARS","CREEKSIDE CELLARS","Sales Room Wine","12-31819-0001","2022-04-06T00:00:00.000","28036 HIGHWAY 74","Evergreen","CO","80439"
"ODYSSEY BEERWERKS","ODYSSEY BEERWERKS, LLC","Sales Room Malt","03-00947","2022-04-03T00:00:00.000","5535 WEST 56TH AVENUE SUITE 107-108","Arvada","CO","80002"
"ARK VALLEY DISTILLERY LLC","ARK VALLEY DISTILLERY LLC","Sales Room Spirits","03-12558","2021-06-18T00:00:00.000","109 WEST CRANSTON","Fowler","CO","81039"
"UPSLOPE BREWING COMPANY","UPSLOPE BREWING COMPANY","Sales Room Malt","03-01321","2022-04-14T00:00:00.000","1898 SOUTH FLATIRON COURT SUITE 120","Boulder","CO","80301"
"WOODS BOSS BREWING COMPANY","WOODS BOSS BREWING COMPANY","Sales Room Malt","03-07139","2021-11-06T00:00:00.000","2210 CALIFORNIA STREET","Denver","CO","80205"
"BALL BREWING LLC","BALL BREWING","Sales Room Malt","03-12285","2021-11-26T00:00:00.000","7025 HIGHWAY 82, UNITS 1A & 2A","Glenwood Springs","CO","81601"
"COLORADO VINTNER'S COLLECTIVE LLC","COLORADO VINTNER'S COLLECTIVE LLC","Sales Room Wine","03-12946","2022-04-02T00:00:00.000","3674  G  ROAD","Palisade","CO","81526"
"FRASER RIVER BREWING COMPANY","FRASER RIVER BREWING COMPANY","Sales Room Malt","03-11117","2022-04-17T00:00:00.000","218 EISENHOWER DRIVE","Fraser","CO","80442"
"MILE HIGH PIE CO","MILE HIGH PIE CO","Sales Room Spirits","03-11864","2021-08-19T00:00:00.000","3316 ADOBE CT","Colorado Springs","CO","80907"
"SAND CREEK DISTILLERY","SAND CREEK DISTILLERY","Sales Room Spirits","03-06191","2022-03-30T00:00:00.000","324 5TH STREET SUITE A","Hugo","CO","80821"
"ODELL BREWING COMPANY","ODELL BREWING COMPANY","Sales Room Malt","03-12301","2022-02-28T00:00:00.000","1625 NORTH PERRY STREET","Denver","CO","80204"
"SUN SPIRITS LLC","RISING SUN DISTILLERY","Sales Room Spirits","03-01930","2022-09-26T00:00:00.000","1121 DILLON DAM ROAD","Frisco","CO","80443"
"TELLURIDE BREWING CO","TELLURIDE BREWING COMPANY","Sales Room Malt","25-59705-0002","2022-06-14T00:00:00.000","156 DEF SOCIETY DRIVE","Telluride","CO","81435"
"BIG THOMPSON BREWERY","BIG THOMPSON BREWERY","Sales Room Malt","03-02600","2023-03-13T00:00:00.000","114 EAST 15TH STREET","Loveland","CO","80538"
"LEOPOLD BROS","LEOPOLD BROS.","Sales Room Spirits","26-71718-0002","2022-07-10T00:00:00.000","5285 JOLIET STREET","Denver","CO","80239"
"HIGH PLAINS WINERY","HIGH PLAINS WINERY, HP WINERY, HPW","Sales Room Wine","03-16385","2023-03-08T00:00:00.000","312 MAIN STREET UNITS A&B","Sterling","CO","80751"
"HIGHLANDS DISTILLERY","HIGHLANDS DISTILLERY","Sales Room Spirits","03-06229","2023-04-10T00:00:00.000","782 24 ROAD","Grand Junction","CO","81505"
"RESOLUTE BREWING COMPANY LLC","RESOLUTE BREWING COMPANY LLC","Sales Room Malt","03-11237","2023-05-05T00:00:00.000","18148 WEST 92ND LANE #100","Arvada","CO","80007"
"TWO BROTHERS VINEYARDS, LLC","BLACK FOREST MEADERY","Sales Room Wine","03-03235","2022-07-15T00:00:00.000","6755 SHOUP ROAD UNIT A","Colorado Springs","CO","80908"
"CHAIN REACTION BREWING COMPANY","CHAIN REACTION BREWING COMPANY LLC","Sales Room Malt","03-02759","2023-05-01T00:00:00.000","902 SOUTH LIPAN STREET","Denver","CO","80223"
"SQUARE PEG BREWERKS LLC","SQUARE PEG BREWERKS","Sales Room Malt","03-13041","2022-05-31T00:00:00.000","123 MAIN STREET","Creede","CO","81130"
"RALLY KING BREWING","RALLY KING BREWING","Sales Room Malt","03-04634","2023-06-19T00:00:00.000","1624 SOUTH LEMAY AVENUE UNIT 4","Fort Collins","CO","80525"
"ARK VALLEY DISTILLERY LLC","ARK VALLEY DISTILLERY LLC","Sales Room Spirits","03-12558","2023-06-18T00:00:00.000","109 WEST CRANSTON","Fowler","CO","81039"
"BLENDINGS","BLENDINGS, LLC","Sales Room Wine","03-14407","2023-04-19T00:00:00.000","234 NORTH COLLEGE AVENUE UNIT B6","Fort Collins","CO","80524"
"ODD13 BREWING","ODD13 BREWING","Sales Room Malt","03-01453","2022-05-07T00:00:00.000","301 EAST SIMPSON STREET","Lafayette","CO","80026"
"THE WINE BARREL","THE WINE BARREL","Sales Room Wine","03-15796","2023-04-20T00:00:00.000","11495 SOUTH TWENTY MILE ROAD SUITE 5","Parker","CO","80134"
"MONTE CERVINO BEVERAGE COMPANY","MONTE CERVINO BEVERAGE COMPANY","Sales Room Wine","03-03105","2023-07-18T00:00:00.000","4655 TOWN CENTER DRIVE STE 130","Colorado Springs","CO","80916"
"JOYRIDE BREWING COMPANY","JOYRIDE BREWING COMPANY","Sales Room Malt","03-03227","2023-07-14T00:00:00.000","5217 W 25TH AVENUE","Edgewater","CO","80214"
"WHIKYBEN, LLC","RAMBLEBINE BREWING COMPANY","Sales Room Malt","03-12926","2022-06-04T00:00:00.000","457 COLORADO AVENUE","Grand Junction","CO","81501"
"DIEBOLT BREWING COMPANY LLC","DIEBOLT BREWING COMPANY, LLC","Sales Room Malt","03-01145","2023-04-14T00:00:00.000","3855 MARIPOSA STREET","Denver","CO","80211"
"BLACK FOREST BEVERAGE CO","BLACK FOREST BEVERAGE COMPANY","Sales Room Malt","03-13343","2023-04-11T00:00:00.000","10610 MALTESE POINT","Peyton","CO","80831"
"QUTORI WINES","QUTORI WINES","Sales Room Wine","03-08383","2022-10-05T00:00:00.000","40823 HIGHWAY 133","Paonia","CO","81428"
"DOUBLE DIAMOND DISTILLERY","BRECKENRIDGE DISTILLERY","Sales Room Spirits","12-87527-0001","2023-04-15T00:00:00.000","137 SOUTH MAIN - UNIT G","Breckenridge","CO","80424"
"MOLSON COORS BEVERAGE CO","MOLSON COORS BEVERAGE CO","Sales Room Malt","28-57986-0010","2023-06-30T00:00:00.000","300 12TH STREET","Golden","CO","804015811"
"TRVE BREWING COMPANY","TRVE BREWING COMPANY","Sales Room Malt","15-81023-0001","2023-02-09T00:00:00.000","227 BROADWAY #101","Denver","CO","80203"
"10TH MOUNTAIN WHISKEY AND SPIRITS COMPANY LLC","10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY LLC","Sales Room Spirits","03-03016","2022-06-13T00:00:00.000","500 TRAIL GULCH ROAD UNIT A","Gypsum","CO","81637"
"GILDED GOAT BREWING COMPANY","GILDED GOAT BREWING COMPANY","Sales Room Malt","03-06377","2023-04-18T00:00:00.000","3500 SOUTH COLLEGE AVENUE UNIT 194","Fort Collins","CO","80525"
"10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY","10TH MOUNTAIN WHISKEY AND SPIRIT COMPANY LLC","Sales Room Spirits","03-03016","2022-06-13T00:00:00.000","500 TRAIL GULCH ROAD UNIT A","Gypsum","CO","81637"
"DOS LUCES BREWERY","DOS LUCES BREWERY","Sales Room Malt","03-08559","2023-07-02T00:00:00.000","1236 SOUTH BROADWAY","Denver","CO","80210"
"NANO 108 BREWING CO","NANO 108 BREWING COMPANY","Sales Room Malt","03-01553","2023-06-03T00:00:00.000","2402 WAYNOKA ROAD","Colorado Springs","CO","80915"
"STONEY MESA WINERY","STONEY MESA WINERY LTD / PTARMIGAN VINEYARD","Sales Room Wine","23-30749-0001","2022-07-11T00:00:00.000","16199 HAPPY HOLLOW ROAD","Cedaredge","CO","81413"
"OLD TOWN DISTILLING CO","OLD TOWN DISTILLING CO","Sales Room Spirits","03-07481","2023-04-05T00:00:00.000","513 NORTH LINK LANE, UNIT E","Fort Collins","CO","80524"
"MAXLINE BREWING","MAXLINE BREWING","Sales Room Malt","03-05575","2022-11-30T00:00:00.000","2724 MCCLELLAND DRIVE #190","Fort Collins","CO","80525"
"CROW HOP BREWING CO","CROW HOP BREWING COMPANY LTD.","Sales Room Malt","03-01527","2023-07-02T00:00:00.000","214 EAST 4TH STREET","Loveland","CO","80537"
"ESTES PARK DISTILLING CO LLC","ESTES PARK DISTILLING COMPANY","Sales Room Spirits","03-14299","2022-05-23T00:00:00.000","231 MORAINE AVENUE","Estes Park","CO","80517"
"DRY LAND DISTILLERS","DRY LAND DISTILLERS","Sales Room Spirits","03-09602","2023-05-30T00:00:00.000","519 MAIN STREET","Longmont","CO","80501"
"ARCHETYPE DISTILLING","ARCHETYPE DISTILLING","Sales Room Spirits","03-08689","2022-10-29T00:00:00.000","119 SOUTH BROADWAY","Denver","CO","80209"
"10 BARREL BREWING","10 BARREL BREWING","Sales Room Malt","03-06348","2023-06-15T00:00:00.000","ONE BUSCH PLACE, 202-7","Saint Louis","MO","63118"
"LIVING THE DREAM BREWING","LIVING THE DREAM BREWING COMPANY LLC","Sales Room Malt","03-02703","2023-04-09T00:00:00.000","12305 DUMONT WAY  UNIT A","Littleton","CO","80125"
"STONEYARD DISTILLERY INC","STONEYARD DISTILLERY","Sales Room Spirits","03-00908","2021-05-07T00:00:00.000","823 GRAND AVENUE #100","Glenwood Springs","CO","81602"
"PARADOX BEER COMPANY INC","PARADOX BEER COMPANY INC","Sales Room Malt","12-94602-0002","2022-03-31T00:00:00.000","10 BUFFALO COURT","Divide","CO","80814"
"ZANAMIEL MEADERY","ZANAMIEL MEADERY","Sales Room Wine","03-11662","2022-05-05T00:00:00.000","6801 SOUTH MARION CIRCLE WEST","Centennial","CO","80122"
"GILDED GOAT BREWING COMPANY","GILDED GOAT BREWING COMPANY","Sales Room Malt","03-06377","2022-04-18T00:00:00.000","3500 SOUTH COLLEGE AVENUE UNIT 194","Fort Collins","CO","80525"
"FORMER FUTURE BREWING COMPANY","BLACK PROJECT SPONTANEOUS AND WILD ALES","Sales Room Malt","03-02214","2021-11-13T00:00:00.000","1290 SOUTH BROADWAY","Denver","CO","80210"
"SOUL SQUARED BREWING COMPANY INC","SOUL SQUARED BREWING COMPANY","Sales Room Malt","03-03271","2022-03-15T00:00:00.000","6421 WEST COUNTY ROAD 15","Fort Collins","CO","80524"
"ATOST","ATOST","Sales Room Wine","03-13425","2022-08-11T00:00:00.000","15810 WEST 6TH AVENUE","Golden","CO","80401"
"GUBBINI WINERY","GUBBINI WINERY","Sales Room Wine","42-83776-0000","2022-08-26T00:00:00.000","3697 F ROAD","Palisade","CO","815269327"
"GROSSEN BART BREWERY","GROSSEN BART BREWERY","Sales Room Malt","03-01053","2022-06-03T00:00:00.000","1025 DELAWARE AVE","Longmont","CO","80501"
"DENVER BEER CO DOWNING, LLC","DENVER BEER CO","Sales Room Malt","03-14338","2022-05-10T00:00:00.000","2425 SOUTH DOWNING STREET","Denver","CO","80210"
"THE ORDINARY FELLOW","THE ORDINARY FELLOW","Sales Room Wine","03-14724","2022-06-27T00:00:00.000","202 PEACH AVENUE","Palisade","CO","81526"
"QUEEN BEE BREWS","QUEEN BEE BREWS","Sales Room Wine","03-05224","2021-12-15T00:00:00.000","800 EAST 64TH AVENUE #6","Denver","CO","80229"
"GUBBINI WINE SHOP","GUBBINI WINERY","Sales Room Wine","42-83776-0000","2022-08-26T00:00:00.000","305 MAIN STREET UNIT 4","Palisade","CO","81526"
"TELLURIDE DISTILLING COMPANY","TELLURIDE DISTILLING COMPANY","Sales Room Spirits","03-03224","2022-07-14T00:00:00.000","567 MOUNTAIN VILLAGE BLVD SUITE 106B","Telluride","CO","81435"
"STONEYARD DISTILLERY INC","STONEYARD DISTILLERY","Sales Room Spirits","03-00908","2022-05-07T00:00:00.000","823 GRAND AVENUE #100","Glenwood Springs","CO","81602"
"MASH MECHANIX BREWING","MASH MECHANIX BREWING","Sales Room Malt","03-12757","2022-05-17T00:00:00.000","429 / 431 EAST PIKES PEAK AVENUE","Colorado Springs","CO","80903"
"COHESION BREWING LTD","COHESION BREWING COMPANY","Sales Room Malt","03-13720","2022-06-02T00:00:00.000","3851 STEELE STREET UNIT 1388","Denver","CO","80205"
"MOLSON COORS BEVERAGE CO","MOLSON COORS BEVERAGE CO","Sales Room Malt","28-57986-0010","2022-06-30T00:00:00.000","300 12TH STREET","Golden","CO","804015811"
"FLYTECO BREWING","FLYTECO BREWING","Sales Room Malt","03-14819","2022-06-10T00:00:00.000","4650 TOWER ROAD, SUITE 108","Denver","CO","80249"
"TELLURIDE DISTILLING COMPANY","TELLURIDE DISTILLING COMPANY","Sales Room Spirits","03-03224","2022-07-14T00:00:00.000","152B SOCIETY DRVE","Telluride","CO","81435"
"BOCO CIDER","BOCO CIDER","Sales Room Wine","03-09847","2022-07-25T00:00:00.000","1501 LEE HILL DRIVE UNIT 14","Boulder","CO","80304"
"MOLLY BROWN SPIRITS","MOLLY BROWN SPIRITS","Sales Room Spirits","03-09649","2021-09-12T00:00:00.000","2300 EAST 77TH AVEUNUE UNIT 300","Denver","CO","80229"
"GOLD DIRT DISTILLERY","GOLD DIRT DISTILLERY","Sales Room Spirits","03-08999","2021-10-17T00:00:00.000","60 MAIN STREET","Rollinsville","CO","80474"
"CANNONBALL CREEK BREWING CO","CANNONBALL CREEK BREWING COMPANY","Sales Room Malt","03-00086","2022-07-19T00:00:00.000","393 NORTH WASHINGTON AVENUE UNIT A","Golden","CO","80403"
"RESOLUTE BREWING COMPANY LLC","RESOLUTE BREWING COMPANY LLC","Sales Room Malt","03-06116","2022-03-17T00:00:00.000","7286 SOUTH YOSEMITE STREET STE 110","Centennial","CO","80211"
"REVERENCE BREWING COMPANY","REVERENCE BREWING COMPANY","Sales Room Malt","03-14690","2022-05-02T00:00:00.000","1604 EAST 17TH AVENUE","Denver","CO","80218"
"SHIRAS WINERY","SHIRAS WINERY LLC","Sales Room Wine","03-09286","2022-06-06T00:00:00.000","449 COLORADO AVENUE","Grand Junction","CO","81501"
"BLUE TILE BREWING","BLUE TILE BREWING","Sales Room Malt","03-09761","2022-07-09T00:00:00.000","1609 EAST 58TH AVENUE","Denver","CO","80216"
"STONEYARD DISTILLERY","STONEYARD DISTILLERY","Sales Room Spirits","03-00908","2022-05-07T00:00:00.000","4600 HIGHWAY 6","Gypsum","CO","81637"
