"category","year","neighbourhood","address","quadrant","ward","latitude","longitude","location","geometry_point"
"General","2016","Oliver","9734 - 111 STREET","NW","6","53.53502420980593","-113.51262140900099","
,  
(53.53502420980593, -113.51262140900099)","POINT (-113.51262140900099 53.53502420980593)"
"Natural","2017","Westridge","11 - WOLF WILLOW POINT","WEST","5.0","53.49970204256917","-113.59472792833618","
,  
(53.49970204256917, -113.59472792833618)","POINT (-113.59472792833618 53.49970204256917)"
"General","2016","Bonnie Doon","9501 - 93 AVENUE","SE","8","53.5288215651639","-113.47396349137203","
,  
(53.5288215651639, -113.47396349137203)","POINT (-113.47396349137203 53.5288215651639)"
"Tiny Yards","2018","Dunluce","498 - DUNLUCE ROAD NW","NW","3","53.62452390102439","-113.53755057665391","
,  
(53.62452390102439, -113.53755057665391)","POINT (-113.53755057665391 53.62452390102439)"
"General","2017","Calder","13064 - 115 STREET","NW","2.0","53.591812424894265","-113.52060742524317","
,  
(53.591812424894265, -113.52060742524317)","POINT (-113.52060742524317 53.591812424894265)"
"General","2018","Newton","12436 - 55 STREET NW","NE","7","53.58088794467656","-113.42651933470185","
,  
(53.58088794467656, -113.42651933470185)","POINT (-113.42651933470185 53.58088794467656)"
"General","2014","Hillview","3607 - 61 STREET","NW","11","53.471395","-113.431786","
,  
(53.471395, -113.431786)","POINT (-113.431786 53.471395)"
"General","2018","Kensington","13420 - 124 STREET NW","NW","2","53.5955788613896","-113.53689341811324","
,  
(53.5955788613896, -113.53689341811324)","POINT (-113.53689341811324 53.5955788613896)"
"General","2018","Carlton","14050 - 161A AVENUE NW","NW","2","53.62292950463106","-113.56372332668656","
,  
(53.62292950463106, -113.56372332668656)","POINT (-113.56372332668656 53.62292950463106)"
"Public Space","2018","Grovenor","10127 - 145 STREET NW","W","6","53.54232415000802","-113.57057767184702","
,  
(53.54232415000802, -113.57057767184702)","POINT (-113.57057767184702 53.54232415000802)"
"General","2015","Woodcroft","11740  -  133 STREET","W","2","53.5697685667573","-113.551751355244","
,  
(53.5697685667573, -113.551751355244)","POINT (-113.551751355244 53.5697685667573)"
"General","2016","Kensington","11523 - 134 AVENUE","NW","2","53.59460060572384","-113.52124050722469","
,  
(53.59460060572384, -113.52124050722469)","POINT (-113.52124050722469 53.59460060572384)"
"Natural","2017","Glenora","13611 - 106A AVENUE","WEST","6.0","53.55011698421594","-113.55769980995603","
,  
(53.55011698421594, -113.55769980995603)","POINT (-113.55769980995603 53.55011698421594)"
"General","2017","Ogilvie Ridge","6 - OGILVIE PLACE","SW","9.0","53.463883025572144","-113.56883631659667","
,  
(53.463883025572144, -113.56883631659667)","POINT (-113.56883631659667 53.463883025572144)"
"General","2014","Baturyn","10704 - 168 AVENUE","NW","3","53.630079","-113.508111","
,  
(53.630079, -113.508111)","POINT (-113.508111 53.630079)"
"General","2015","Athlone","13112  -  135 STREET","NW","2","53.5906854175291","-113.553875420139","
,  
(53.5906854175291, -113.553875420139)","POINT (-113.553875420139 53.5906854175291)"
"General","2018","Rosslyn","13451 - 108 STREET NW","NW","2","53.596327120809036","-113.50606996892641","
,  
(53.596327120809036, -113.50606996892641)","POINT (-113.50606996892641 53.596327120809036)"
"General","2017","Rosslyn","13237 - 109 STREET","NW","2.0","53.593422807611276","-113.50779549231437","
,  
(53.593422807611276, -113.50779549231437)","POINT (-113.50779549231437 53.593422807611276)"
"General","2016","South Terwillegar","8776 - STEIN LANE","SW","9","53.43720872126187","-113.58224699787377","
,  
(53.43720872126187, -113.58224699787377)","POINT (-113.58224699787377 53.43720872126187)"
"General","2018","Athlone","12923 - 136 STREET NW","NW","2","53.58862654257256","-113.55444856400496","
,  
(53.58862654257256, -113.55444856400496)","POINT (-113.55444856400496 53.58862654257256)"
"General","2016","Meadowlark Park","8911 - 163 STREET","W","1","53.52502286047012","-113.60217650258369","
,  
(53.52502286047012, -113.60217650258369)","POINT (-113.60217650258369 53.52502286047012)"
"Natural","2017","Summerside","7416 - 14A AVENUE SW","SE","12.0","53.42052323512251","-113.45292836482757","
,  
(53.42052323512251, -113.45292836482757)","POINT (-113.45292836482757 53.42052323512251)"
"General","2018","Griesbach","5536 - CONESTOGA STREET NW","NW","2","53.60141774718749","-113.50832450528317","
,  
(53.60141774718749, -113.50832450528317)","POINT (-113.50832450528317 53.60141774718749)"
"General","2018","Crestwood","9507 - 142 STREET NW","W","1","53.53264778669942","-113.56492578472466","
,  
(53.53264778669942, -113.56492578472466)","POINT (-113.56492578472466 53.53264778669942)"
"General","2017","Strathcona","9850 - 89 AVENUE","SW","8.0","53.52473738570433","-113.48510644567052","
,  
(53.52473738570433, -113.48510644567052)","POINT (-113.48510644567052 53.52473738570433)"
"General","2017","Grandview Heights","6411 - 132 STREET","SW","10.0","53.499945899108816","-113.55471158304668","
,  
(53.499945899108816, -113.55471158304668)","POINT (-113.55471158304668 53.499945899108816)"
"General","2014","Hillview","6112 - 34A AVENUE","NW","11","53.466513","-113.431577","
,  
(53.466513, -113.431577)","POINT (-113.431577 53.466513)"
"General","2014","Glenora","13122 - 104 AVENUE","NW","6","53.546233","-113.549093","
,  
(53.546233, -113.549093)","POINT (-113.549093 53.546233)"
"General","2015","Britannia Youngstown","15936  -  106A AVENUE","W","1","53.55091562268","-113.597607183264","
,  
(53.55091562268, -113.597607183264)","POINT (-113.597607183264 53.55091562268)"
"General","2014","Idylwylde","7632 - 89 AVENUE","NW","8","53.524135","-113.635032","
,  
(53.524135, -113.635032)","POINT (-113.635032 53.524135)"
"Tiny Yards","2018","Killarney","12828 - 83 STREET NW","NE","7","53.587796299245106","-113.46880499067548","
,  
(53.587796299245106, -113.46880499067548)","POINT (-113.46880499067548 53.587796299245106)"
"Edible","2016","Glenwood","16812 - 95 AVENUE","W","1","53.53205313242629","-113.61388454614249","
,  
(53.53205313242629, -113.61388454614249)","POINT (-113.61388454614249 53.53205313242629)"
"General","2017","Calder","13115 - 122 STREET","NW","2.0","53.591262173749605","-113.53141277568899","
,  
(53.591262173749605, -113.53141277568899)","POINT (-113.53141277568899 53.591262173749605)"
"General","2014","Carlisle","12215 - 144 AVENUE","NW","2","53.606395","-113.531609","
,  
(53.606395, -113.531609)","POINT (-113.531609 53.606395)"
"General","2014","Crawford Plains","4411 - 12A AVENUE","NW","12","53.441023","-113.40808","
,  
(53.441023, -113.40808)","POINT (-113.40808 53.441023)"
"Natural","2017","Delton","12304 - 92 STREET","NE","7.0","53.57843875190522","-113.48328158419515","
,  
(53.57843875190522, -113.48328158419515)","POINT (-113.48328158419515 53.57843875190522)"
"General","2018","Beverly Heights","3830 - 112 AVENUE NW","NE","7","53.56532595600734","-113.40194678953094","
,  
(53.56532595600734, -113.40194678953094)","POINT (-113.40194678953094 53.56532595600734)"
"General","2014","Hillview","6005 - 34A AVENUE","NW","11","53.46619","-113.430148","
,  
(53.46619, -113.430148)","POINT (-113.430148 53.46619)"
"General","2017","Wellington","13508 - 132 AVENUE","NW","2.0","53.59300443460503","-113.5546386945638","
,  
(53.59300443460503, -113.5546386945638)","POINT (-113.5546386945638 53.59300443460503)"
"General","2015","Bellevue","11216  -  67 STREET","NE","7","53.5645377363239","-113.441425614703","
,  
(53.5645377363239, -113.441425614703)","POINT (-113.441425614703 53.5645377363239)"
"General","2018","Bonnie Doon","9007 - 90 STREET NW","SE","8","53.52551765775048","-113.46492918652388","
,  
(53.52551765775048, -113.46492918652388)","POINT (-113.46492918652388 53.52551765775048)"
"General","2017","Macewan","4345 - MCMULLEN WAY SW","SW","9.0","53.428666517463284","-113.52232881631102","
,  
(53.428666517463284, -113.52232881631102)","POINT (-113.52232881631102 53.428666517463284)"
"General","2014","Ottewell","9350 - 52 STREET","NW","8","53.531679","-113.419843","
,  
(53.531679, -113.419843)","POINT (-113.419843 53.531679)"
"General","2016","Windsor Park","8940 - 117 STREET","SW","8","53.52622841955623","-113.53317175981574","
,  
(53.52622841955623, -113.53317175981574)","POINT (-113.53317175981574 53.52622841955623)"
"General","2017","Crestwood","9719 - 146 STREET","WEST","1.0","53.53537115274759","-113.57405830308794","
,  
(53.53537115274759, -113.57405830308794)","POINT (-113.57405830308794 53.53537115274759)"
"General","2018","Crawford Plains","1024 - 48 STREET NW","SE","12","53.43985698097133","-113.41448098798342","
,  
(53.43985698097133, -113.41448098798342)","POINT (-113.41448098798342 53.43985698097133)"
"General","2018","Athlone","13810 - 128A AVENUE NW","NW","2","53.587118673715025","-113.55754707465644","
,  
(53.587118673715025, -113.55754707465644)","POINT (-113.55754707465644 53.587118673715025)"
"General","2015","Westmount","10916  -  122 STREET","NW","6","53.5544876720713","-113.532919606649","
,  
(53.5544876720713, -113.532919606649)","POINT (-113.532919606649 53.5544876720713)"
"General","2014","Athlone","13008 - 128 STREET","NW","2","53.589386","-113.543064","
,  
(53.589386, -113.543064)","POINT (-113.543064 53.589386)"
"General","2016","Prince Rupert","11634 - 111 AVENUE","NW","2","53.55933140601762","-113.5237213210147","
,  
(53.55933140601762, -113.5237213210147)","POINT (-113.5237213210147 53.55933140601762)"
"General","2017","Crestwood","9720 - 141 STREET","WEST","1.0","53.53563864730556","-113.562059306846","
,  
(53.53563864730556, -113.562059306846)","POINT (-113.562059306846 53.53563864730556)"
"General","2014","Wellington","13318 - 133 STREET","NW","2","53.593638","-113.550443","
,  
(53.593638, -113.550443)","POINT (-113.550443 53.593638)"
"General","2017","Kilkenny","14812 - 75 STREET","NE","3.0","53.61007651099929","-113.45654340342287","
,  
(53.61007651099929, -113.45654340342287)","POINT (-113.45654340342287 53.61007651099929)"
"General","2015","Gariepy","368  -  LESSARD DRIVE","W","5","53.4934090160878","-113.618136187984","
,  
(53.4934090160878, -113.618136187984)","POINT (-113.618136187984 53.4934090160878)"
"General","2018","Rosslyn","11215 - 134A AVENUE NW","NW","2","53.595569783884656","-113.5147512524672","
,  
(53.595569783884656, -113.5147512524672)","POINT (-113.5147512524672 53.595569783884656)"
"General","2016","Alberta AVENUE NW","11638 - 96 STREET","NE","7","53.56844245751361","-113.49077035330691","
,  
(53.56844245751361, -113.49077035330691)","POINT (-113.49077035330691 53.56844245751361)"
"General","2016","Athlone","12832 - 128 STREET","NW","2","53.586860133747294","-113.54330132709148","
,  
(53.586860133747294, -113.54330132709148)","POINT (-113.54330132709148 53.586860133747294)"
"Natural","2018","Malmo Plains","11712 - 48 AVENUE NW","SW","10","53.48602241084436","-113.53481941080828","
,  
(53.48602241084436, -113.53481941080828)","POINT (-113.53481941080828 53.48602241084436)"
"General","2016","High Park","15216 - 110A AVENUE","W","1","53.55813303449178","-113.58346824830261","
,  
(53.55813303449178, -113.58346824830261)","POINT (-113.58346824830261 53.55813303449178)"
"General","2016","Sherbrooke","12815 - 119 AVENUE","NW","2","53.57133346540204","-113.54354418329643","
,  
(53.57133346540204, -113.54354418329643)","POINT (-113.54354418329643 53.57133346540204)"
"General","2017","Tweddle Place","4119 - 89 STREET","SE","11.0","53.47852815520439","-113.46416293631424","
,  
(53.47852815520439, -113.46416293631424)","POINT (-113.46416293631424 53.47852815520439)"
"Public Space","2017","Kensington","12603 - 135 AVENUE","NW","2.0","53.59610426989831","-113.53967698386127","
,  
(53.59610426989831, -113.53967698386127)","POINT (-113.53967698386127 53.59610426989831)"
"General","2017","Rosslyn","10704 - 136 AVENUE","NW","2.0","53.59857017802447","-113.50524321760639","
,  
(53.59857017802447, -113.50524321760639)","POINT (-113.50524321760639 53.59857017802447)"
"Edible","2016","McCauley","10926 - 93 STREET","NE","6","53.55768691637519","-113.48259945259932","
,  
(53.55768691637519, -113.48259945259932)","POINT (-113.48259945259932 53.55768691637519)"
"General","2017","Glenwood","9531 - 168 STREET","WEST","1.0","53.5333582443519","-113.61199282136089","
,  
(53.5333582443519, -113.61199282136089)","POINT (-113.61199282136089 53.5333582443519)"
"Public Space","2015","Wellington","13210  -  133A AVENUE","NW","2","53.594166268287","-113.549441875636","
,  
(53.594166268287, -113.549441875636)","POINT (-113.549441875636 53.594166268287)"
"General","2015","Parkview","14631  -  92A AVENUE","W","1","53.5264535549489","-113.573559542899","
,  
(53.5264535549489, -113.573559542899)","POINT (-113.573559542899 53.5264535549489)"
"General","2014","Ritchie","9127 - 74 AVENUE","NW","11","53.510369","-113.468899","
,  
(53.510369, -113.468899)","POINT (-113.468899 53.510369)"
"General","2015","Capilano","10723  -  HARDISTY DRIVE","SE","8","53.55471390418","-113.433486437761","
,  
(53.55471390418, -113.433486437761)","POINT (-113.433486437761 53.55471390418)"
"General","2018","Ottewell","6608 - 92A AVENUE NW","SE","8","53.52783941883721","-113.43025524246235","
,  
(53.52783941883721, -113.43025524246235)","POINT (-113.43025524246235 53.52783941883721)"
"General","2017","Rosslyn","13204 - 103 STREET","NW","2.0","53.592241873010906","-113.49752303739271","
,  
(53.592241873010906, -113.49752303739271)","POINT (-113.49752303739271 53.592241873010906)"
"General","2017","Westmount","10609 - 127 STREET","NW","6.0","53.54972032003275","-113.5407441388433","
,  
(53.54972032003275, -113.5407441388433)","POINT (-113.5407441388433 53.54972032003275)"
"General","2017","Calder","12824 - 124 STREET","NW","2.0","53.58674070808945","-113.53717125268157","
,  
(53.58674070808945, -113.53717125268157)","POINT (-113.53717125268157 53.58674070808945)"
"General","2018","Glenwood","9830 - 163 STREET NW","W","1","53.537340914488816","-113.60325682827984","
,  
(53.537340914488816, -113.60325682827984)","POINT (-113.60325682827984 53.537340914488816)"
"General","2017","Calder","13047 - 115 STREET","NW","2.0","53.59128624484247","-113.51935974690778","
,  
(53.59128624484247, -113.51935974690778)","POINT (-113.51935974690778 53.59128624484247)"
"General","2016","Killarney","12807 - 86 STREET","NE","7","53.58633307966643","-113.47202487162359","
,  
(53.58633307966643, -113.47202487162359)","POINT (-113.47202487162359 53.58633307966643)"
"General","2014","Kensington","12307 - 134B AVENUE","NW","2","53.596133","-113.534051","
,  
(53.596133, -113.534051)","POINT (-113.534051 53.596133)"
"General","2014","Northmount","9032 - 138 AVENUE","NW","7","53.600808","-113.481415","
,  
(53.600808, -113.481415)","POINT (-113.481415 53.600808)"
"General","2016","Caernarvon","11631 - 152 AVENUE","NW","2","53.61197843178402","-113.52323476361141","
,  
(53.61197843178402, -113.52323476361141)","POINT (-113.52323476361141 53.61197843178402)"
"General","2014","Oliver","9918 - 115 STREET","NW","6","53.537903","-113.51948","
,  
(53.537903, -113.51948)","POINT (-113.51948 53.537903)"
"General","2015","Kensington","12415  -  137 AVENUE","NW","2","53.5990138585511","-113.537461783239","
,  
(53.5990138585511, -113.537461783239)","POINT (-113.537461783239 53.5990138585511)"
"General","2015","Sweet Grass","11262  -  33A AVENUE","SW","10","53.4661470262897","-113.524213912888","
,  
(53.4661470262897, -113.524213912888)","POINT (-113.524213912888 53.4661470262897)"
"General","2015","Duggan","10412  -  35 AVENUE","SW","10","53.4691422035215","-113.497979257864","
,  
(53.4691422035215, -113.497979257864)","POINT (-113.497979257864 53.4691422035215)"
