"agency","invoice_date","client_reference","program_year","city","county","zip","unit_ownership","housing_unit_type","elderly","children","disabled_occupants","native_american_occupants","other_occupants","total_occupants","primary_heating_fuel","utility","unit_year_built","unit_size","unit_stories","auditor","wx_contractor","hvac_contractor","final_inspector","pre_wx_test_cfm","post_wx_test_cfm","total_cfm_difference","funding_assignment","furnace_replacement","total_invoice_cost","po_amount_wap_base","po_amount_rggi_wap","po_amount_wap_utility","po_amount_liheap","hs_amount_wap_base","hs_amount_rggi_wap","hs_amount_wap_utility","hs_amount_liheap"
"Catholic Charities","2017-10-23T00:00:00.000","N16-345562628","2017","Wilmington","New Castle","19808","Own","Single-Family Detached","1","0","0","0","1","2","Gas","Delmarva","1960","1650","1","Chris R.","First Class HVAC",,"Steve C.","1912","1444","468","WAP BASE","Y","5444.35","3928.35",,,,"1516.00",,,
"Catholic Charities","2017-10-24T00:00:00.000","N16-1297184320","2017","Wilmington","New Castle","19808","Own","Single-Family Detached","0","0","0","0","1","1","Gas","Delmarva","1960","1300","1","Chris R.","Dr. Energy Saver",,"Steve C.","3810","1717","2093","WAP Utility","N","5127.37",,,"4024.37",,,,"1103.00",
"Catholic Charities","2017-10-24T00:00:00.000","K17-730729894","2017","Dover","Kent","19901","Own","Mobile Home","0","0","1","0","0","1","Gas","DEC/Chesapeake Utilities","1973","1720","1","Gary H.","RS Bauer",,"Gary H.","2684","1841","843","WAP BASE","N","7936.20","6404.20",,,,"1532.00",,,
"Catholic Charities","2017-10-24T00:00:00.000","S17-1416773239","2017","Millsboro","Sussex","19966","Own","Mobile Home","0","0","1","0","0","1","Electric","DEC","2001","2052","1","Gary H.","RS Bauer",,"Gary H.","2524","1951","573","WAP BASE","N","7366.65","6869.65",,,,"497.00",,,
"Catholic Charities","2017-10-25T00:00:00.000","N16-1978442717","2017","New Castle","New Castle","19720","Own","Single-Family Detached","1","0","0","0","0","1","Gas","Delmarva","1959","864","1","Steve C.","Efficient Home",,"Steve C.","3355","2260","1095","WAP BASE","N","6116.96","4691.96",,,,"1425.00",,,
"Catholic Charities","2017-10-26T00:00:00.000","N17-1614743977","2017","Wilmington","New Castle","19805","Own","Single-Family Attached","0","3","0","0","1","4","Gas","Delmarva","1930","1196","2","Steve C.","Efficient Home",,"Steve C.","3067","2408","659","WAP BASE","N","3919.29","2743.29",,,,"1176.00",,,
"Catholic Charities","2017-10-26T00:00:00.000","S17-946049484","2017","Greenwood","Sussex","19950","Own","Mobile Home","0","2","0","0","2","4","Propane","DEC/Poore's Propane","2004","2052","1","Gary H.","RS Bauer",,"Gary H.","1918","1432","486","WAP BASE","N","8467.60","7833.10",,,,"634.50",,,
"Catholic Charities","2017-10-30T00:00:00.000","N17-1581138702","2017","Newark","New Castle","19702","Own","Single-Family Attached","1","0","0","0","0","1","Gas","Delmarva","1991","1250","2","Steve C.","Dr. Energy Saver",,"Steve C.","2531","2296","235","WAP Utility","N","1680.34",,,"1088.34",,,,"592.00",
"Catholic Charities","2017-11-01T00:00:00.000","K17-18888478269","2017","Dover","Kent","19904","Own","Single-Family Detached","1","0","1","0","0","1","Gas","City of Dover/Chesapeake","1990","3415","2","Gary H.","Free Lighting Corp",,"Gary H.","5009","4285","724","WAP BASE","N","5049.10","4499.10",,,,"550.00",,,
"Catholic Charities","2017-11-02T00:00:00.000","N17-1056080848","2017","Middletown","Sussex","19709","Own","Single-Family Attached","0","0","0","0","1","1","Electric","Town of Middletown","1916","1175","2","Chris R.","Efficient Home",,"Steve C.","3647","3091","556","WAP BASE","N","2959.12","2161.12",,,,"798.00",,,
"Catholic Charities","2017-11-02T00:00:00.000","N17-1744195064","2017","Newark","New Castle","19713","Own","Single-Family Detached","0","0","0","0","1","1","Oil","Delmarva/Hillside Oil","1976","1725","2","Chris R.","RS Bauer",,"Steve C.","3200","2086","1114","WAP BASE","N","4769.83","3455.83",,,,"1314.00",,,
"Catholic Charities","2017-11-02T00:00:00.000","N17-815857730","2017","Wilmington","New Castle","19808","Own","Single-Family Detached","1","0","1","0","0","1","Gas","Delmarva","1995","2375","2","Steve C.","Efficient Home",,"Steve C.","2792","2066","726","WAP BASE","N","3491.60","2514.10",,,,"977.50",,,
"Catholic Charities","2017-11-02T00:00:00.000","S17-197604954","2017","Dagsboro","Sussex","19939","Own","Single-Family Detached","2","0","1","0","0","2","Electric","DEC","1971","1488","1","Gary H.","RS Bauer",,"Gary H.","2926","2096","830","WAP BASE","N","6372.66","4880.66",,,,"1492.00",,,
"Catholic Charities","2017-11-02T00:00:00.000","S17-1544788058","2017","Rehoboth","Sussex","19971","Own","Mobile Home","0","0","0","0","1","1","Electric","Delmarva","1981","1440","1","Gary H.","RS Bauer",,"Gary H.","3081","2130","951","WAP BASE","N","7775.55","6731.55",,,,"1044.00",,,
"Catholic Charities","2015-10-20T00:00:00.000","K14-1820668130","2015","Hartly","Kent","19953","Rent","Mobile Home",,,,,,,"Oil",,"1975","672","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3286","1720","1566","WAP UTILITY","N","2813.15",,,"2813.15",,,,"0",
"Catholic Charities","2017-11-02T00:00:00.000","S17-588265969","2017","Seaford","Sussex","19973","Own","Single-Family Detached","0","1","1","0","1","3","Propane","DEC/Peninsula Oil","2005","1856","2","Gary H.","Free Lighting Corp",,"Gary H.","1515","1300","215","WAP BASE/RGGI WAP","N","3046.47","2340.47",,,,,"706.00",,
"Catholic Charities","2017-11-03T00:00:00.000","S17-511428590","2017","Georgetown","Sussex","19947","Own","Single-Family Detached","1","0","0","0","0","1","Oil","DEC/Southern States","1958","990","1","Gary H.","RS Bauer",,"Gary H.","1537","1230","307","WAP BASE/RGGI WAP","N","5517.10","3841.60",,,,,"1675.50",,
"Catholic Charities","2017-11-06T00:00:00.000","K17-666168020","2017","Marydel","Sussex","19964","Own","Single-Family Detached","0","2","0","0","1","3","Electric","Delmarva","2006","1248","1","Gary H.","Free Lighting Corp",,"Gary H.","1546","973","573","WAP BASE","N","3372.72","2665.72",,,,"707.00",,,
"Catholic Charities","2017-11-07T00:00:00.000","S17-1069488747","2017","Milton","Sussex","19968","Own","Single-Family Detached","0","2","0","0","2","4","Electric","Delmarva","1980","1152","1","Gary H.","RS Bauer",,"Gary H.","4208","2550","1658","WAP BASE","N","6240.88","5550.88",,,,"690.00",,,
"Catholic Charities","2017-11-10T00:00:00.000","N17-2145968342","2017","Wilmington","New Castle","19808","Own","Single-Family Detached","1","0","1","0","0","1","Gas","Delmarva","1960","1300","1","Chris R.","Efficient Home",,"Steve C.","1272","1203","69","WAP Utility","N","3019.33",,,"1875.33",,,,"1144.00",
"Catholic Charities","2017-11-14T00:00:00.000","S17-504801890","2017","Delmar","Sussex","19940","Own","Mobile Home","0","0","1","0","0","1","Propane","DEC/Sharp Energy","1986","924","1","Gary H.","RS Bauer",,"Gary H.","2054","1250","804","RGGI WAP","N","5411.05",,"4309.05",,,,"1102.00",,
"Catholic Charities","2017-11-14T00:00:00.000","N16-1308728837","2017","Newark","New Castle","19702","Own","Single-Family Attached",,,,,,,"Electric","Delmarva","1974","1156","2","Steve C.","First Class HVAC","First Class HVAC","Steve C.","3089","2461","628","WAP Utility","Y","3495.00",,,,,,,"3495.00",
"Catholic Charities","2017-11-15T00:00:00.000","N17-595934353","2017","New Castle","New Castle","19720","Own","Single-Family Detached","0","3","0","0","1","4","Gas","Delmarva","1996","1160","2","Steve C.","Efficient Home",,"Steve C.","1897","1880","17","WAP BASE/WAP Utility","N","2384.05","1419.20",,,,,,"964.85",
"Catholic Charities","2017-11-16T00:00:00.000","K17-1361999790","2017","Felton","Kent","19943","Own","Mobile Home","0","0","0","0","0","1","Oil","DEC/Houston Fuel Oil","1977","1344","1","Steve C.","RS Bauer",,"Gary H.","5046","2392","2654","WAP BASE/RGGI WAP","N","8279.30","7390.30",,,,,"889.00",,
"Catholic Charities","2017-11-20T00:00:00.000","S17-102827326","2017","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Bob Willey","2004","1296","1","Gary H.","RS Bauer",,"Gary H.","1508","1034","474","RGGI WAP","N","6192.15",,"5715.15",,,,"477.00",,
"Catholic Charities","2017-11-21T00:00:00.000","S17-1104953280","2017","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Bob Willey","2003","1917","1","Gary H.","RS Bauer",,"Gary H.","3058","1948","1110","RGGI WAP","N","7671.55",,"7154.55",,,,"517.00",,
"Catholic Charities","2017-11-21T00:00:00.000","S17-1664567993","2017","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Bob Willey","1988","1472","1","Gary H.","RS Bauer",,"Gary H.","3295","2181","1114","WAP BASE/RGGI WAP","N","7286.70","6621.20",,,,,"665.50",,
"Catholic Charities","2017-11-21T00:00:00.000","S17-721364371","2017","Seaford","Sussex","19973","Own","Single-Family Detached","0","0","0","0","1","1","Propane","DEC/Tri-Gas","2003","1876","1","Gary H.","RS Bauer",,"Gary H.","2159","1376","783","RGGI WAP","N","3789.56",,"2747.56",,,,"1042.00",,
"Catholic Charities","2017-11-30T00:00:00.000","K17-1250364150","2017","Dover","Kent","19904","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva/Delaware Propane","2002","1216","1","Gary H.","RS Bauer",,"Gary H.","1684","861","823","WAP Utility","N","6107.90",,,"5267.90",,,,"840.00",
"Catholic Charities","2017-11-30T00:00:00.000","N16-932246868","2017","Wilmington","New Castle","19805","Own","Single-Family Attached","0","0","0","0","0","0","Gas","Delmarva","1944","1225","2","Chris R.","Pfaff Brothers",,"Steve C.","3075","2136","939","WAP Utility","N","4839.80",,,"3896.80",,,,"943.00",
"Catholic Charities","2017-11-30T00:00:00.000","N16-1338942070","2017","Wilmington","New Castle","19805","Own","Single-Family Attached","0","0","1","0","0","1","Gas","Delmarva","1960","1008","2","Steve C.","Pfaff Brothers",,"Steve C.","3078","2782","296","WAP Utility","N","3027.74",,,"2193.74",,,,"834.00",
"Catholic Charities","2017-12-01T00:00:00.000","K17-1965239722","2017","Frederica","Kent","19946","Own","Mobile Home","0","0","1","0","0","1","Oil","Delmarva/ MidState Fuel & Service","1997","1008","1","Gary H.","RS Bauer",,"Gary H.","1591","915","676","WAP Utility","y","8657.15",,,"4535.15",,,,"4122.00",
"Catholic Charities","2017-12-01T00:00:00.000","K16-775803652","2017","Dover","Kent","19901","Own","Mobile Home","0","1","0","0","2","3","Propane","City of Dover / Kirkwood Gas","1998","938","1","Steve C.","Efficient Home",,"Steve C.","2254","1436","818","WAP BASE/RGGI WAP","N","5737.15","4665.20",,,,,"1071.95",,
"Catholic Charities","2017-12-04T00:00:00.000","N17-305858","2017","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Propane","Delmarva/Kirkwood Gas","1989","784","1","Steve C.","Pfaff Brothers",,"Steve C.","3853","863","2990","WAP Utility","N","5472.95",,,"4918.95",,,,"554.00",
"Catholic Charities","2017-12-04T00:00:00.000","S17-6791129864","2017","Millsboro","Sussex","19966","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Peninsula Oil","1974","1188","1","Gary H.","RS Bauer",,"Gary H.","5491","3120","2371","WAP Utility","Y","11772.90",,,"7563.90",,,,"4209.00",
"Catholic Charities","2017-12-04T00:00:00.000","S17-992568304","2017","Georgetown","Sussex","19947","Own","Mobile Home","0","1","0","0","1","2","Propane","DEC/Bob Willey","2002","924","1","Gary H.","RS Bauer",,"Gary H.","1233","730","503","RGGI WAP","N","5105.35",,"4115.35",,,,"990.00",,
"Catholic Charities","2017-12-05T00:00:00.000","S17-146589919","2017","Laurel","Sussex","19956","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Peninsula Oil & Propane","1998","1248","1","Gary H.","RS Bauer",,"Gary H.","2906","1410","1496","RGGI WAP","N","6351.60",,"5367.60",,,,"984.00",,
"Catholic Charities","2017-12-11T00:00:00.000","N17-1209058544","2017","Wilmington","New Castle","19801","Own","Single-Family Attached","0","0","0","0","1","1","Gas","Delmarva","1900","675","2","Steve C.","Pfaff Brothers",,"Steve C.","3704","2851","853","WAP Utility","N","3426.50",,,"2679.50",,,,"747.00",
"Catholic Charities","2017-12-13T00:00:00.000","N17-1276493744","2017","Newark","New Castle","19713","Own","Single-Family Detached","2","0","0","0","0","2","Oil","City of Newark/Jr. Discount Fuel","1977","2125","2","Steve C.","Efficient Home",,"Steve C.","4936","3074","1862","RGGI WAP","N","9037.80",,"7301.80",,,,"1736.00",,
"Catholic Charities","2017-12-13T00:00:00.000","N17-867011221","2017","Newark","New Castle","19702","Own","Single-Family Attached","0","1","1","0","0","2","Oil","Delmarva/Discount Oil","1980","1280","2","Steve C.","Efficient Home",,"Steve C.","1764","1691","73","WAP Utility","N","2812.74",,,"1644.74",,,,"1168.00",
"Catholic Charities","2017-12-13T00:00:00.000","N17-40223318","2017","Wilmington","New Castle","19804","Own","Mobile Home","0","0","2","0","0","2","Oil","Delmarva/Hillside Oil","1979","750","1","Steve C.","Pfaff Brothers",,"Steve C.","1646","1074","572","WAP Utility","N","3951.85",,,"3426.85",,,,"525.00",
"Catholic Charities","2017-12-13T00:00:00.000","S17-395164252","2017","Seaford","Sussex","19973","Own","Mobile Home","0","1","0","0","1","2","Oil","Delmarva/Adams Oil Co","1978","744","1","Gary H.","RS Bauer","RS Bauer","Gary H.","2447","1460","987","WAP Utility","N","5929.40",,,"4908.40",,,,"1021.00",
"Catholic Charities","2017-12-15T00:00:00.000","N17-1623992191","2017","Wilmington","New Castle","19810","Own","Single-Family Detached","1","0","0","0","0","1","Gas","Delmarva","1959","1925","2","Chris R.","Efficient Home",,"Steve C.","3340","2010","1330","WAP Utility","N","6520.89",,,"5136.89",,,,"1384.00",
"Catholic Charities","2017-12-15T00:00:00.000","S17-866371448","2017","Millsboro","New Castle","19966","Own","Mobile Home","1","0","1","0","0","2","Propane","DEC/Sharp Energy","1986","924","1","Gary H.","RS Bauer",,"Gary H.","2253","1360","893","RGGI WAP","N","5870.65",,"4890.65",,,,"980.00",,
"Catholic Charities","2017-12-18T00:00:00.000","N16-345562628","2017",,,,,,,,,,,,,,,,,"Chris R.","Efficient Home",,"Steve C.",,,,"WAP Utility","Y","4618.00","3928.35",,"250.00",,,,"4368.00",
"Catholic Charities","2017-12-21T00:00:00.000","N16-76311191","2017","Wilmington","New Castle","19810","Own","Single-Family Attached","0","2","0","0","2","4","Oil","Delmarva/Ace Fuel Oil","1979","1596","2","Steve C.","Efficient Home",,"Steve C.","6748","5800","948","WAP Utility","N","4412.15",,,"3039.25",,,,"1372.90",
"Catholic Charities","2018-01-03T00:00:00.000","N17-1475946709","2017","Newark","New Castle","19702","Own","Single-Family Detached","0","0","1","0","2","3","Gas","Delmarva","2000","2650","2","Steve C.","Dr. Energy Saver",,"Steve C.","2273","2155","118","WAP Utility","N","2022.60",,,"1234.60",,,,"788.00",
"Catholic Charities","2018-01-03T00:00:00.000","N17-856841000","2017","Wilmington","New Castle","19808","Own","Mobile Home","1","0","0","0","0","1","Oil","Delmarva/Hillside Oil","1989","572","1","Steve C.","Dr. Energy Saver",,"Steve C.","1770","1154","616","WAP Utility","N","4240.65",,,"3791.65",,,,"449.00",
"Catholic Charities","2018-01-08T00:00:00.000","N14-1921993750","2017","Wilmington","New Castle","19805","Own","Single-Family Detached","0","3","0","0","1","4","Gas","Delmarva","1927","1731","2","Steve C.","Efficient Home","H&H HVAC","Steve C.","3703","3203","500","WAP Utility","N","3781.08",,,"2055.08",,,,"1726.00",
"Catholic Charities","2018-01-08T00:00:00.000","S17-966883366","2017","Seaford","Sussex","19973","Own","Single-Family Detached","1","0","0","0","0","1","Gas","City of Seaford/Tri-Gas","1964","1062","1","Gary H.","RS Bauer",,"Gary H.","2307","0","2307","RGGI WAP","N","470.00",,"380.00",,,,"90.00",,
"Catholic Charities","2018-01-08T00:00:00.000","N17-1403525438","2017","Wilmington","New Castle","19805","Own","Single-Family Detached","0","0","0","0","2","0","Gas","Delmarva","1925","1236","1","Steve C.","Efficient Home",,"Steve C.","2928","1855","1073","WAP Utility","N","9576.25",,,"8005.25",,,,"1571.00",
"Catholic Charities","2018-01-11T00:00:00.000","S17-28261787","2017","Lincoln","Sussex","19960","Own","Mobile Home","0","0","0","0","1","1","Oil","Delmarva/Wilkins Fuel","1974","784","1","Gary H.","RS Bauer",,"Gary H.","2750","1500","1250","WAP Utility","N","5500.90",,,"4721.90",,,,"779.00",
"Catholic Charities","2018-01-16T00:00:00.000","K17-51676671","2017","Camden","New Castle","19934","Rent","Single-Family Detached","0","0","0","0","1","1","Electric","DEC","1957","852","1","Gary H.","RS Bauer",,"Gary H.","2905","2110","795","RGGI WAP","N","7566.95",,"5604.95",,,,"1962.00",,
"Catholic Charities","2018-01-17T00:00:00.000","S17-1868299310","2017","Lincoln","Sussex","19960","Own","Mobile Home","0","0","0","0","1","1","Oil","DEC/JH Wilkerson & Son","1985","1539","1","Gary H.","RS Bauer",,"Gary H.","3499","2740","759","RGGI WAP","N","7255.45",,"6440.45",,,,"815.00",,
"Catholic Charities","2018-01-17T00:00:00.000","K17-453328782","2017","Dover","Kent","19901","Own","Mobile Home","0","0","0","0","2","2","Electric","Delmarva","1989","938","1","Gary H.","RS Bauer",,"Gary H.","3272","1239","2033","WAP Utility","N","6932.30",,,"5843.30",,,,"1089.00",
"Catholic Charities","2018-01-17T00:00:00.000","S17-1628577770","2017","Seaford","Sussex","19973","Rent","Mobile Home","0","0","1","0","0","1","Propane","DEC/Southern States","1995","1008","1","Gary H.","Free Lighting Corp",,"Gary H.","2500","1887","613","RGGI WAP","N","4137.80",,"3290.80",,,,"847.00",,
"Catholic Charities","2018-01-17T00:00:00.000","S16-1708408695","2017","Bridgeville","Sussex","19933","Own","Mobile Home","0","2","2","0","0","4","Electric","DEC","2007","1216","1","Gary H.","Free Lighting Corp",,"Gary H.","2830","1840","990","RGGI WAP","N","6318.35",,"5825.35",,,,"493.00",,
"Catholic Charities","2018-01-19T00:00:00.000","N17-273051321","2017","New Castle","New Castle","19720","Own","Single-Family Detached","1","1","0","0","1","3","Oil","Delmarva/AWE Oil Co","1973","1700","2","Steve C.","Efficient Home",,"Steve C.","2898","2717","181","WAP Utility","N","7640.05",,,"5880.55",,,,"1759.50",
"Catholic Charities","2018-01-19T00:00:00.000","S17-1301952574","2017","Houston","New Castle","19954","Own","Single-Family Detached","1","0","0","0","0","1","Oil","DEC/Blue Hen Oil","1956","1026","1","Gary H.","RS Bauer",,"Gary H.","4030","2961","1069","RGGI WAP","N","4116.76",,"2795.76",,,,"1321.00",,
"Catholic Charities","2018-01-19T00:00:00.000","N17-1191951148","2017","New Castle","New Castle","19720","Own","Single-Family Detached","0","0","0","0","2","2","Gas","Delmarva","1948","1225","2","Steve C.","Efficient Home",,"Steve C.","2727","2308","419","WAP Utility","N","4520.55",,,"3642.00",,,,"878.55",
"Catholic Charities","2018-01-19T00:00:00.000","S15-1260035713","2017","Georgetown","Sussex","19947","Own","Mobile Home","0","5","1","0","1","6","Electric","DEC","1992","924","1","Gary H.","RS Bauer",,"Gary H.","2826","900","1926","RGGI WAP","N","6282.85",,"5375.85",,,,"907.00",,
"Catholic Charities","2018-01-22T00:00:00.000","S17-1697173089","2017","Bridgeville","Sussex","19933","Own","Mobile Home","2","0","0","0","0","2","Electric","DEC","2007","1064","1","Gary H.","Free Lighting Corp",,"Gary H.","2396","1476","920","RGGI WAP","N","5434.85",,"4902.85",,,,"532.00",,
"Catholic Charities","2018-01-23T00:00:00.000","N17-1332557886","2017","Newark","New Castle","19702","Own","Single-Family Detached","1","0","0","0","0","1","Oil","Delmarva/Cochran Oil","1978","1318","1","Steve C.","Efficient Home",,"Steve C.","2884","2200","684","WAP Utility","N","4624.52",,,"3599.52",,,,"1025.00",
"Catholic Charities","2018-01-23T00:00:00.000","N17-373877846","2017","Wilmington","New Castle","19810","Own","Mobile Home","0","0","1","0","0","1","Propane","Delmarva","1992","924","1","Steve C.","Pfaff Brothers",,"Steve C.","1532","1120","412","WAP Utility","N","5024.05",,,"4180.05",,,,"844.00",
"Catholic Charities","2018-01-25T00:00:00.000","N17-1720554358","2017","Newark","Kent","19702","Own","Single-Family Attached","1","0","0","0","0","1","Oil","Delmarva/Ace Fuel Oil","1973","1450","2","Steve C.","Efficient Home",,"Steve C.","3454","2800","654","WAP Utility","N","3010.80",,,"2288.80",,,,"722.00",
"Catholic Charities","2018-01-25T00:00:00.000","S17-710710015","2017","Lincoln","Sussex","19960","Own","Mobile Home","0","1","1","0","1","3","Electric","DEC","1966","360","1","Gary H.","RS Bauer",,"Gary H.","1429","930","499","RGGI WAP","N","2954.70",,"2225.70",,,,"729.00",,
"Catholic Charities","2018-01-25T00:00:00.000","N17-166681040","2017","New Castle","New Castle","19720","Own","Single-Family Detached","0","5","0","0","2","7","Gas","Delmarva","1968","1885","2","Steve C.","Efficient Home",,"Steve C.","4053","2474","1579","WAP Utility","N","6597.55",,,"5281.55",,,,"1316.00",
"Catholic Charities","2018-01-25T00:00:00.000","K17-1976327092","2017","Felton","Kent","19943","Own","Mobile Home","0","1","0","0","1","2","Oil","Delmarva/Midstate Fuel","1982","938","1","Gary H.","RS Bauer",,"Gary H.","3251","2214","1037","WAP Utility","N","6531.10",,,"5107.10",,,,"1424.00",
"Catholic Charities","2018-01-25T00:00:00.000","N17-2099108410","2017","Newark","New Castle","19702","Own","Single-Family Detached","0","0","1","0","0","1","Propane","Delmarva/Schagrin Gas","1980","783","1","Steve C.","Efficient Home",,"Steve C.","1848","1540","308","WAP Utility","N","2838.63",,,"2184.63",,,,"654.00",
"Catholic Charities","2018-01-26T00:00:00.000","K17-1202128651","2017","Clayton","New Castle","19938","Own","Mobile Home","1","0","1","0","0","1","Propane","Town of Clayton/Kirkwood Gas","1998","1216","1","Steve C.","RS Bauer",,"Steve C.","1394","1012","382","RGGI WAP","N","5392.85",,"4769.85",,,,"623.00",,
"Catholic Charities","2018-01-26T00:00:00.000","S17-150027891","2017","Seaford","Sussex","19973","Own","Single-Family Detached","0","0","1","0","0","1","Oil","Delmarva/Adams Oil Co","1950","1316","1","Gary H.","RS Bauer",,"Gary H.","3371","2209","1162","WAP Utility","N","4528.60",,,"3280.60",,,,"1248.00",
"Catholic Charities","2018-01-26T00:00:00.000","K16-234213617","2017","Dover","Kent","19901","Rent","Single-Family Attached","0","2","0","0","1","3","Oil","City of Dover/Service Energy","1965","936","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3273","1925","1348","RGGI WAP","N","5929.56",,"4766.56",,,,"1163.00",,
"Catholic Charities","2018-01-29T00:00:00.000","S17-965165417","2017","Ellendale","Sussex","19941","Own","Single-Family Detached","0","0","1","0","0","1","Propane","Delmarva/Suburban Pro","1970","1056","1","Gary H.","Free Lighting Corp",,"Gary H.","2972","2000","972","WAP Utility","N","3849.22",,,"2969.22",,,,"880.00",
"Catholic Charities","2018-01-29T00:00:00.000","S17-2116193007","2017","Lincoln","Sussex","19960","Rent","Mobile Home","0","0","0","0","1","1","Oil","DEC/JH Wilerson & Son","1979","924","1","Gary H.","RS Bauer","Coastal Air","Gary H.","2775","2110","665","RGGI WAP","N","5143.25",,"4391.25",,,,"752.00",,
"Catholic Charities","2018-01-29T00:00:00.000","S17-11823288005","2017","Rehoboth","Sussex","19947","Own","Mobile Home","0","3","0","0","2","5","Propane","Delmarva/Suburban Pro","1973","1056","1","Gary H.","RS Bauer",,"Gary H.","2913","1978","935","WAP Utility","N","6700.90",,,"5796.90",,,,"904.00",
"Catholic Charities","2018-01-30T00:00:00.000","S17-1869533472","2017","Milford","Sussex","19963","Own","Single-Family Detached","1","0","0","0","0","1","Electric","City of Milford","1988","1080","1","Gary H.","RS Bauer",,"Gary H.","1564","1300","264","RGGI WAP","N","3082.84",,"2285.84",,,,"797.00",,
"Catholic Charities","2018-01-31T00:00:00.000","S16-688959557","2017","Dagsboro","Sussex","19939","Own","Single-Family Detached","1","0","0","0","0","1","Electric","DEC","1972","1152","1","Gary H.","Free Lighting Corp",,"Gary H.","2561","1768","793","RGGI WAP","N","6157.60",,"5184.60",,,,,"973.00",
"Catholic Charities","2018-02-01T00:00:00.000","K17-592690247","2017","Dover","Kent","19901","Own","Mobile Home","0","0","1","0","0","1","Oil","Delmarva/Midstate Fuel","1980","728","1","Gary H.","RS Bauer",,"Gary H.","3162","1973","1189","WAP Utility","N","4809.45",,,"4100.45",,,,"709.00",
"Catholic Charities","2018-02-06T00:00:00.000","K16-697356697","2017","Milford","Kent","19963","Own","Single-Family Detached","1","0","0","0","0","1","Oil","City of Milford/JH Wilkerson & Son","1910","1076","2","Gary H.","RS Bauer",,"Gary H.","4080","2090","1990","RGGI WAP","N","9403.35",,"7620.35",,,,"1783.00",,
"Catholic Charities","2018-02-09T00:00:00.000","S17-1983827271","2017","Lincoln","Sussex","19960","Own","Mobile Home","1","0","0","0","0","1","Oil","DEC/JH Wilerson & Son","1979","2016","1","Gary H.","RS Bauer","Coastal Air","Gary H.","6517","4534","1983","RGGI WAP","N","6845.65",,"5532.65",,,,"1313.00",,
"Catholic Charities","2018-02-20T00:00:00.000","K17-2123760388","2017","Smyrna","Kent","19977","Own","Mobile Home","1","0","0","0","0","1","Propane","DEC/Carl King","1972","1680","1","Gary H.","Free Lighting Corp",,"Gary H.","3240","2490","750","WAP BASE","N","7819.50","7015.50",,,,"804.00",,,
"Catholic Charities","2018-02-20T00:00:00.000","S17-1237759901","2017","Seaford","Sussex","19973","Own","Single-Family Detached","1","0","0","0","0","1","Oil","DEC/Sherman Heating Oil","1959","1376","1","Gary H.","RS Bauer","RS Bauer","Gary H.","3349","2584","765","RGGI WAP","N","8664.10",,"7370.10",,,,"1294.00",,
"Catholic Charities","2018-02-21T00:00:00.000","S17-202943123","2017","Lincoln","Sussex","19960","Own","Mobile Home","0","0","0","0","1","1","Propane","DEC/Poore's Propane","1985","1296","1","Gary H.","RS Bauer",,"Gary H.","2981","1792","1189","RGGI WAP","N","7119.65",,"6118.15",,,,"1001.50",,
"Catholic Charities","2018-02-22T00:00:00.000","S17-1184058185","2017","Greenwood","Sussex","19950","Own","Single-Family Detached","0","0","1","0","0","1","Oil","DEC/JH Wilerson & Son","1955","840","1","Gary H.","RS Bauer","Coastal Air","Gary H.","2773","1550","1223","WAP BASE/RGGI WAP","N","7209.36","5596.36",,,,,"1613.00",,
"Catholic Charities","2018-02-22T00:00:00.000","S17-461358183","2017","Rehoboth","Sussex","19971","Own","Mobile Home","1","3","0","0","0","4","Propane","Delmarva/Suburban Pro","1981","924","1","Gary H.","RS Bauer",,"Gary H.","3344","1590","1754","WAP BASE/WAP Utility","N","6161.45","5979.83",,,,,,"181.62",
"Catholic Charities","2018-02-22T00:00:00.000","K17-451531520","2017","Dover","Kent","19901","Own","Mobile Home","0","0","1","0","0","1","Propane","City of Dover/Paradee Gas","1990","924","1","Gary H.","RS Bauer",,"Gary H.","2030","1500","530","RGGI WAP","N","4962.45",,"4135.45",,,,"827.00",,
"Catholic Charities","2018-02-26T00:00:00.000","N17-969073973","2017","Bear","New Castle","19701","Own","Mobile Home","0","0","0","0","1","1","Propane","Delmarva/Schagrin Gas","1994","1064","1","Steve C.","Efficient Home",,"Steve C.","1785","1200","585","WAP BASE/WAP Utility","N","5267.15","4558.15",,,,,,"709.00",
"Catholic Charities","2018-02-27T00:00:00.000","K17-1918897381","2017","Clayton","Kent","19938","Rent","Single-Family Detached","0","0","1","0","0","1","Gas","City of Clayton/Chesapeake Utilities","1965","1128","1","Gary H.","Free Lighting Corp",,"Gary H.","3340","2590","750","WAP BASE/RGGI WAP","N","6210.87","5034.87",,,,,"1176.00",,
