"the_geom","objectid","masterneedssegmentid","need_segment_id","st_nm","vdot_rm","vdot_common_nm","from_measure","to_measure","direction","aadt_final","vdot_district","mpo","area_type","coss_name","coss_congestion_priority","coss_reliability_priority","coss_rail_reliability_priority","coss_capacity_preservation_prio","coss_tdm_priority","rn_name","rn_congestion_priority","rn_reliability_priority","rn_capacity_preservation_priori","rn_tdm_priority","rn_transit_equity_priority","rn_ac_transit_access_priority","rn_ac_bicycle_access_priority","rn_ac_pedestrian_access_priorit","ieda_priority","safety_segments_district_priori","safety_segments_statewide_prior","safety_pedestrian_priority","statewide_vulnerability_influen","district_vulnerability_influenc","statewide_bridge_influencing_fa","district_bridge_influencing_fac","statewide_pavement_influencing","district_pavement_influencing_f","statewide_distressed_area_influ","district_distressed_area_influe","statewide_priority_score","statewide_adjusted_priority_sco","statewide_priority","district_priority_score","district_adjusted_priority_scor","district_priority","shape_length"
"MULTILINESTRING ((-77.442061307591 37.494876676354, -77.442095862619 37.495177851416, -77.44211304263 37.495293684439))","141735","19789257779","257779","Lynhaven Ave","R-VA127UR00005SB","City Rt. 5S (City of Richmond)","1.92942499999999","1.95999999999999","Southbound","620","Richmond","YES","B",,"No Need","No Need","No Need","No Need","No Need","Richmond Region","No Need","No Need","No Need","Low","No Need","Low","Low","No Need","No Need","Low","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","High",,,"No Priority","0.5","0.525","Priority 4","58.7955586420254"
"MULTILINESTRING ((-80.947719644024 36.944472120279, -80.947739649031 36.944490409282, -80.947789063049 36.94453652129, -80.947837909066 36.944583042297, -80.947914252094 36.94466176431, -80.947989994122 36.944740829324, -80.948111083166 36.944869473345))","51354","06601142232","142232","Fort Chiswell Rd","R-VA   US00052SB","US-52S","36.746","36.78","Southbound","3089","Bristol","NO","D","Western Mountain Corridor","No Need","No Need","No Need","No Need","Low",,"No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","Very High","Low","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","High","High","0.65","0.6825","Priority 4","1.75","1.8375","Priority 2","70.463672902757"
"MULTILINESTRING ((-76.34498779724 37.024387316418, -76.344863824203 37.024409089427, -76.344168002995 37.024538528478, -76.343864821905 37.024596846501))","56168","00000145326","145326","Settlers Landing Rd","R-VA   US00060EB","US-60E","273.62","273.68","Eastbound","12000","Hampton Roads","YES","A","East-West Corridor","No Need","No Need","No Need","No Need","Low","Hampton Roads Region","No Need","No Need","No Need","High","No Need","Low","Low","Low","No Need","Low","Low","Low","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","High","High","0.4","0.42","Priority 4","1.05","1.1025","Priority 3","128.379558796993"
"MULTILINESTRING ((-77.286927837182 38.644155443863, -77.286808205159 38.644397236917, -77.286645697127 38.644690755982, -77.286483247094 38.644980158047))","7936","00000104189","104189",,"R-VA   IS00095SB","I-95S","158.16","158.25","Southbound","99844","Northern Virginia","YES","A","Washington to North Carolina Corridor","Low","No Need","Very High","No Need","Very High","Northern Virginia Region","Low","No Need","No Need","High","No Need","Low","No Need","No Need","No Need","No Need","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","2","2","Priority 2","0.8","0.8","Priority 4","127.562492493535"
"MULTILINESTRING ((-76.301608568811 36.873218057908, -76.30151303578 36.873191393906, -76.301438380756 36.873171453904, -76.301425415752 36.873168339904))","157000","00000323828","323828","W 21st St","S-VA122PR 21ST ST","21St ST (PR - City of Norfolk)","0","0.01",,"5300","Hampton Roads","YES","A",,"No Need","No Need","No Need","No Need","No Need","Hampton Roads Region","Low","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","Not Applicable","Medium","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Low",,,"No Priority","0.25","0.26375","Priority 4","21.531842032326"
"MULTILINESTRING ((-77.457223376183 37.54613450445, -77.456612474982 37.545910782426, -77.456557483965 37.545896564425))","20754","00000122435","122435","W Main St","R-VA   SR00147PA001","VA-147P","1.958","1.997",,"11160","Richmond","YES","B",,"No Need","No Need","No Need","No Need","No Need","Richmond Region","No Need","No Need","No Need","Low","No Need","High","High","Low","No Need","No Need","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Medium",,,"No Priority","0.85","0.87975","Priority 4","81.3478249060714"
"MULTILINESTRING ((-76.436404288919 36.995308965132, -76.436322397886 36.995172227106, -76.436269938866 36.995086144089, -76.436217450845 36.995001427073, -76.436161556823 36.994915965057, -76.436109043802 36.994831947041, -76.436063217784 36.994754218026, -76.436004312761 36.994653599007))","57570","00000146607","146607","Warwick Blvd","R-VA   US00060PA003","US-60P(3)","1.21","1.26",,"12535","Hampton Roads","YES","A","East-West Corridor","No Need","No Need","No Need","No Need","Low","Hampton Roads Region","No Need","No Need","No Need","High","No Need","High","Medium","No Need","No Need","No Need","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","High","High","0.15","0.1575","Priority 4","1.05","1.1025","Priority 3","101.62729878999"
"MULTILINESTRING ((-77.74851476761 39.223573383755, -77.748003557457 39.223678485795))","108490","149019358508","9358508","Creamer La","R-VA053SC00689EB","Rt. 689E (Loudoun County)","0.771074999999996","0.799999999999997","Eastbound","260","Northern Virginia","YES","A",,"No Need","No Need","No Need","No Need","No Need","Northern Virginia Region","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","Low","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",,,"No Priority","0.15","0.15","Priority 4","58.8776363676242"
"MULTILINESTRING ((-78.194312800589 39.124281747671, -78.194344959602 39.124318727677, -78.194386655617 39.124348217682, -78.194429366631 39.124364491683, -78.19455014667 39.124386090683))","44330","00000138501","138501",,"R-VA   US00011UK      RMP325.00B","US-11U Ramp 325B","0.0100000000000051","0.0216999999999956",,"16800","Staunton","YES","C",,"No Need","No Need","No Need","No Need","No Need","Winchester Region","No Need","No Need","No Need","Low","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",,,"No Priority","0.1","0.1","Priority 4","31.776941972729"
"MULTILINESTRING ((-79.747729686571 37.106547638156, -79.747698413568 37.106648846178, -79.747529744547 37.107167991292, -79.747347983523 37.107687856406, -79.74723624551 37.108032829482, -79.747119088494 37.108361242554, -79.747081351488 37.108454537575, -79.747040937481 37.108547096596, -79.747019743478 37.108593083606, -79.746997867474 37.108638881616, -79.74697533247 37.108684471626, -79.746928331461 37.108775010647, -79.746878698451 37.108864639667, -79.746839376443 37.108931804683, -79.746799447435 37.108997322698, -79.746749963424 37.109064921714, -79.746724312418 37.109098288722, -79.746698079412 37.109131370729, -79.7466437954 37.109196582745, -79.746615794393 37.109228704753, -79.746587235386 37.10926049076, -79.746558085379 37.109291975768, -79.746528388372 37.109323108775, -79.746498132365 37.109353889783, -79.74643594935 37.109414408798, -79.746404063342 37.109444101805, -79.746336149325 37.109506027821, -79.746300084316 37.109538211829, -79.746263502307 37.109569965837, -79.746226394297 37.109601342844, -79.746188732288 37.109632313852, -79.746150511278 37.10966285486, -79.746111806268 37.109692948868, -79.746072588258 37.109722637875, -79.746032873248 37.109751908883, -79.745992633237 37.10978073689, -79.745951913226 37.109809101898, -79.745910701216 37.109837006905, -79.745869037205 37.109864473912, -79.745826885193 37.10989148092, -79.745619648139 37.110032306957, -79.745185989025 37.110327001034, -79.744760002912 37.110605004108, -79.744628225878 37.110704563133, -79.744514572849 37.110780149153, -79.744459465834 37.110817844163, -79.74440487982 37.110856023173, -79.744350806806 37.110894662183, -79.744297259792 37.110933793193, -79.744242193778 37.110978382205, -79.744187677764 37.111023427216, -79.74413376275 37.111068930228, -79.744080438737 37.111114876239, -79.744027718724 37.111161248251, -79.743975607711 37.111208080262, -79.743924079698 37.111255321274, -79.74389269869 37.111288585282, -79.743861941683 37.11132220129, -79.743831797676 37.111356201298, -79.743802283669 37.111390541307, -79.743773401662 37.111425207315, -79.743745127656 37.111460250323, -79.74371754965 37.111495595332, -79.743690595643 37.11153125934, -79.743670278639 37.111559404347, -79.743650644635 37.111587905353, -79.743631776631 37.11161669636, -79.743613595627 37.111645789367, -79.743596174623 37.111675163373, -79.74357951662 37.11170484438, -79.743563581617 37.111734764387, -79.743552856615 37.111758337392, -79.743542888614 37.111782117397, -79.743533640612 37.111806084403, -79.743525157611 37.111830232408, -79.74351739961 37.111854550413, -79.74351042761 37.111878979419, -79.743504175609 37.111903574424, -79.743498721609 37.111928273429, -79.743494012609 37.111953067435, -79.743490098609 37.11197796844, -79.74348922161 37.112002066445, -79.743489113612 37.11202618145, -79.743489754613 37.112050297455, -79.743491140615 37.11207437446, -79.743493313617 37.112098440465, -79.74349625162 37.11212244747, -79.743499933622 37.112146360474, -79.743504377625 37.112170206479, -79.743509612628 37.112193969484, -79.743525638637 37.112254268496))","100339","00000203477","203477","Lost Mountain Rd","R-VA033SC00636NB","Rt. 636N (Franklin County)","1.23462499999999","1.73690000000001","Northbound","710","Salem","NO","D",,"No Need","No Need","No Need","No Need","No Need",,"No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","Low","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Medium",,,"No Priority","0.5","0.5175","Priority 4","961.447941847446"
"MULTILINESTRING ((-79.943436164642 37.302063293908, -79.943522508673 37.302146197922, -79.943617326708 37.30224941994, -79.943684048733 37.302322079952, -79.943796724775 37.302460108976, -79.943983558847 37.302700234018, -79.944022367861 37.302751265027, -79.944371514995 37.303207089107, -79.944544393061 37.303436394148))","39986","00000134001","134001","Williamson Rd Nw","R-VA   US00011SB","US-11S","154.20005","154.309975","Southbound","18000","Salem","YES","B","Crescent Corridor","No Need","No Need","No Need","No Need","Low","Roanoke Region","No Need","No Need","No Need","Low","No Need","Very High","Very High","Very High","No Need","High","Low","High","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Medium","Medium","0.65","0.67275","Priority 4","2.4125","2.4969375","Priority 1","228.565424747695"
"MULTILINESTRING ((-77.527149800732 37.370741908459, -77.526966198673 37.370692010455, -77.526918163658 37.370679953454, -77.526870152642 37.370667878453, -77.526822083627 37.370657174453, -77.526774055611 37.370647173453, -77.526726007596 37.370637159452, -77.526677947581 37.370627841452, -77.526626439564 37.370619185452, -77.526578358549 37.370611915452, -77.526530264534 37.370604657453, -77.526382512487 37.370586269454, -77.526234747441 37.370569271456, -77.525925487344 37.37053375246, -77.525760530292 37.370515926462, -77.525592109239 37.370499437465, -77.525568060232 37.370496482465, -77.525420287185 37.370480167467, -77.52533783316 37.370469860468, -77.525169490106 37.370447884469, -77.525083598079 37.37043618247, -77.525001173053 37.37042382747, -77.524832892 37.370397035471, -77.524747024973 37.370383280471, -77.524661185946 37.370368157471, -77.524575359918 37.370353029471, -77.524492967892 37.37033654447, -77.524407157865 37.37031936847, -77.524324782838 37.370302200469, -77.524180716792 37.370265316467, -77.524136152778 37.370251901465, -77.524088166762 37.370237766464, -77.523995628732 37.370208169461, -77.523951089717 37.37019269346, -77.523906562703 37.370176531458, -77.523858592687 37.370160336456, -77.523769563658 37.370125963452, -77.523725061643 37.37010774445, -77.523639508614 37.370069958445, -77.523550549585 37.370030769441, -77.523509506571 37.370010514438, -77.523375984527 37.369955850431, -77.523242511483 37.369900502425, -77.52311244344 37.369845180418, -77.522978962395 37.369789154411, -77.522848939352 37.369731775404, -77.522670931293 37.369657514394))","85913","00000180054","180054","Beach Rd","R-VA020SC00655EB","Rt. 655E (Chesterfield County)","13.09255","13.35","Eastbound","6100","Richmond","YES","B",,"No Need","No Need","No Need","No Need","No Need","Richmond Region, Tri-Cities Region","No Need","No Need","No Need","Low","No Need","Low","Low","No Need","No Need","No Need","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable",,,"No Priority","0.225","0.225","Priority 4","526.470027059737"
"MULTILINESTRING ((-80.054538676754 37.292979640739, -80.054476888723 37.292771997699, -80.054406641687 37.292533258652))","36333","00000133662","133662","S College Ave","R-VA   US00011NB","US-11N","143.237","143.265","Northbound","1884","Salem","YES","B","Crescent Corridor","Low","Low","No Need","No Need","Low","Roanoke Region","Low","High","No Need","Low","No Need","High","Very High","High","No Need","No Need","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Medium","Medium","Low","Low","0.55","0.58025","Priority 4","1.975","2.083625","Priority 2","64.1673088216535"
"MULTILINESTRING ((-78.333441104038 38.125319293065, -78.333422351039 38.12543916609, -78.33339107804 38.125605382125, -78.33337463804 38.125690329143))","9260","00000113145","113145","Stony Point Rd","R-VA   SR00020SB","VA-20S","50.3806","50.404225","Southbound","3000","Culpeper","YES","C",,"No Need","No Need","No Need","No Need","No Need","Charlottesville Region","No Need","No Need","No Need","Low","No Need","Low","Low","No Need","No Need","No Need","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Low",,,"No Priority","0.225","0.2295","Priority 4","53.0276530134952"
"MULTILINESTRING ((-75.697522041315 37.707300387091, -75.697513750313 37.707307523093, -75.697299304256 37.707493418139, -75.697195537229 37.707586444162, -75.697113169207 37.707662116181, -75.696876359146 37.707891437237, -75.696797397126 37.707968566256, -75.696718402106 37.708046382275, -75.696567331067 37.708202166312, -75.696491767048 37.708280747331, -75.696340592009 37.70843928237, -75.69626497799 37.708519237389, -75.696034249932 37.708770679449, -75.695470618792 37.709416085603, -75.695398947774 37.709498833623, -75.695398331774 37.709499549623, -75.6946967836 37.710318225818, -75.694003362427 37.711104111006, -75.693645703338 37.711519803105, -75.692770496121 37.712534586347, -75.691628333837 37.713850432661, -75.691241655741 37.714293938767, -75.690830271639 37.71476825988, -75.690789820629 37.714814892891, -75.690562129572 37.715076703954, -75.689875171402 37.715872337143, -75.68926396025 37.716584589313, -75.689148316222 37.716717164345, -75.688974698179 37.716919805393))","43484","00000137942","137942","Lankford Hwy","R-VA   US00013SB","US-13S","119.03415","119.849998474121","Southbound","17856","Hampton Roads","NO","D","Eastern Shore Corridor","No Need","No Need","No Need","Low","Low",,"No Need","No Need","Low","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","No Need","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","Not Applicable","0.35","0.35","Priority 4","0.4","0.4","Priority 4","1655.37151138308"
