"rowid","schoolyear","organizationlevel","organizationid","organizationname","county","esdname","esdorganizationid","districtcode","districtname","districtorganizationid","schoolcode","schoolname","schoolorganizationid","currentschooltype","programdesignid","programdesign","languageid","languageofinstruction","programmodel","dl_lowestgradelevelcode","dl_highestgradelevelcode","websiteduallanguageeducation","hasdlprogramming","dataasof","latitude","longitude","physicaladdress","mailingaddress","districtcountdlschools","districtcountdlprograms"
"68","2016-17","District","100019","Bellevue School District","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3339","Sherwood Forest Elementary","101372","P","2","Two-way","243","Spanish","90-10","Kindergarten","5","https://www.bsd405.org/programs/dual-language/","1","2021-02-18T00:00:00.000","47.630485","-122.120942","16411 NE 24th Street, Bellevue, Washington, 98008-2491","16411 NE 24th Street, Bellevue, Washington, 98008-2491","4","4"
"69","2016-17","District","100019","Bellevue School District","King","Puget Sound Educational Service District 121","100006","17405","Bellevue School District","100019","3100","Stevenson Elementary","101361","P","2","Two-way","243","Spanish","90-10","Kindergarten","5","http://www.bsd405.org/stevenson/about/spanish-dual-language/-language/","1","2021-02-18T00:00:00.000","47.617943","-122.150085","14220 NE 8th Street, Bellevue, Washington, 98007-4103","14220 NE 8th Street, Bellevue, Washington, 98007-4103","4","4"
"70","2016-17","District","100020","Bellingham School District","Whatcom","Northwest Educational Service District 189","100009","37501","Bellingham School District","100020","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"71","2016-17","District","100021","Benge School District","Adams","Educational Service District 101","100001","1122","Benge School District","100021","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"72","2016-17","District","100022","Bethel School District","Pierce","Puget Sound Educational Service District 121","100006","27403","Bethel School District","100022","3649","Chester H Thompson Elementary","102296","P","2","Two-way","243","Spanish","90-10","Kindergarten","4","http://bethelsd.schoolwires.net/Domain/318","1","2021-02-18T00:00:00.000","47.112888","-122.426206","303 159TH ST E, TACOMA, Washington, 98445-1199","303 159TH ST E, TACOMA, Washington, 98445-1199","1","1"
"73","2016-17","District","100023","Bickleton School District","Klickitat","Educational Service District 105","100002","20203","Bickleton School District","100023","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"74","2016-17","District","100024","Blaine School District","Whatcom","Northwest Educational Service District 189","100009","37503","Blaine School District","100024","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"75","2016-17","District","100025","Boistfort School District","Lewis","Capital Region ESD 113","100004","21234","Boistfort School District","100025","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"76","2016-17","District","100026","Bremerton School District","Kitsap","Olympic Educational Service District 114","100005","18100","Bremerton School District","100026","3171","Naval Avenue Elementary School","101675","P","2","Two-way","243","Spanish","50-50","Kindergarten","3","http://www.bremertonschools.org/Page/6415","1","2021-02-18T00:00:00.000","47.569594","-122.648498","900 Olympic Avenue, Bremerton, Washington, 98312-3825","900 Olympic Avenue, Bremerton, Washington, 98312-3825","2","2"
"77","2016-17","District","100026","Bremerton School District","Kitsap","Olympic Educational Service District 114","100005","18100","Bremerton School District","100026","2613","West Hills S.T.E.M. Academy","101665","P","2","Two-way","243","Spanish","50-50","Kindergarten","5","http://www.bremertonschools.org/Page/6415","1","2021-02-18T00:00:00.000","47.557295","-122.666859","520 S National Ave, Bremerton, Washington, 98312-3696","520 S National Ave, Bremerton, Washington, 98312-3696","2","2"
"78","2016-17","District","100027","Brewster School District","Okanogan","North Central Educational Service District 171","100008","24111","Brewster School District","100027","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"79","2016-17","District","100028","Bridgeport School District","Douglas","North Central Educational Service District 171","100008","9075","Bridgeport School District","100028","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"80","2016-17","District","100029","Brinnon School District","Jefferson","Olympic Educational Service District 114","100005","16046","Brinnon School District","100029","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"81","2016-17","District","100030","Burlington-Edison School District","Skagit","Northwest Educational Service District 189","100009","29100","Burlington-Edison School District","100030","2946","West View Elementary","102369","P","2","Two-way","243","Spanish","50-50","Kindergarten","8","http://www.be.wednet.edu/Page/2428","1","2021-02-18T00:00:00.000","48.477418","-122.341179","515 W VICTORIA AVE, BURLINGTON, Washington, 98233-1028","515 W VICTORIA AVE, BURLINGTON, Washington, 98233-1028","1","1"
"82","2016-17","District","100031","Camas School District","Clark","Educational Service District 112","100003","6117","Camas School District","100031","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"83","2016-17","District","100032","Cape Flattery School District","Clallam","Olympic Educational Service District 114","100005","5401","Cape Flattery School District","100032","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"84","2016-17","District","100033","Carbonado School District","Pierce","Puget Sound Educational Service District 121","100006","27019","Carbonado School District","100033","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"85","2016-17","District","100034","Cascade School District","Chelan","North Central Educational Service District 171","100008","4228","Cascade School District","100034","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"86","2016-17","District","100035","CASHMERE SCHOOL DISTRICT","Chelan","North Central Educational Service District 171","100008","4222","CASHMERE SCHOOL DISTRICT","100035","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"87","2016-17","District","100036","Castle Rock School District","Cowlitz","Educational Service District 112","100003","8401","Castle Rock School District","100036","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"88","2016-17","District","106245","Catalyst Public Schools","Kitsap","Washington State Charter School Commission","105798","18901","Catalyst Public Schools","106245","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"89","2016-17","District","100037","Centerville School District","Klickitat","Educational Service District 112","100003","20215","Centerville School District","100037","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"90","2016-17","District","100038","Central Kitsap School District","Kitsap","Olympic Educational Service District 114","100005","18401","Central Kitsap School District","100038","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"91","2016-17","District","100039","Central Valley School District","Spokane","Educational Service District 101","100001","32356","Central Valley School District","100039","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"92","2016-17","District","104025","Centralia College","Lewis","NULL","NULL","21926","Centralia College","104025","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"93","2016-17","District","100040","Centralia School District","Lewis","Capital Region ESD 113","100004","21401","Centralia School District","100040","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"94","2016-17","District","100041","Chehalis School District","Lewis","Capital Region ESD 113","100004","21302","Chehalis School District","100041","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"95","2016-17","District","100042","Cheney School District","Spokane","Educational Service District 101","100001","32360","Cheney School District","100042","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"96","2016-17","District","100043","Chewelah School District","Stevens","Educational Service District 101","100001","33036","Chewelah School District","100043","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"97","2016-17","District","106180","Chief Leschi Schools","Pierce","NULL","NULL","27901","Chief Leschi Schools","106180","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"98","2016-17","District","100044","Chimacum School District","Jefferson","Olympic Educational Service District 114","100005","16049","Chimacum School District","100044","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"99","2016-17","District","100045","Clarkston School District","Asotin","Educational Service District 123","100007","2250","Clarkston School District","100045","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"100","2016-17","District","100046","Cle Elum-Roslyn School District","Kittitas","Educational Service District 105","100002","19404","Cle Elum-Roslyn School District","100046","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"101","2016-17","District","100047","Clover Park School District","Pierce","Puget Sound Educational Service District 121","100006","27400","Clover Park School District","100047","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"102","2016-17","District","104269","Clover Park Technical College","Pierce","NULL","NULL","27932","Clover Park Technical College","104269","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"103","2016-17","District","100048","Colfax School District","Whitman","Educational Service District 101","100001","38300","Colfax School District","100048","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"104","2016-17","District","100049","College Place School District","Walla Walla","Educational Service District 123","100007","36250","College Place School District","100049","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"105","2016-17","District","100050","Colton School District","Whitman","Educational Service District 101","100001","38306","Colton School District","100050","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"106","2016-17","District","100051","Columbia (Stevens) School District","Stevens","Educational Service District 101","100001","33206","Columbia (Stevens) School District","100051","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"107","2016-17","District","100052","Columbia (Walla Walla) School District","Walla Walla","Educational Service District 123","100007","36400","Columbia (Walla Walla) School District","100052","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
"108","2016-17","District","100053","Colville School District","Stevens","Educational Service District 101","100001","33115","Colville School District","100053","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","0","2021-02-18T00:00:00.000","NULL","NULL","NULL","NULL","0","0"
