"stop_id","stop_name","location_1"
"2599","Lithgow St opp Fyshwick Terminus","(-35.330555, 149.16362)"
"6036","Flemington Rd after Sandford St","(-35.220104, 149.144882)"
"4447","Hawker Pl opp Hawker Shops","(-35.24361, 149.043304)"
"6331","Mabo Bvd Bonner Shops","(-35.162155, 149.139511)"
"2045","Heard St Southlands Shops","(-35.365471, 149.095322)"
"3324","Clunies Ross St Botanic Gdns","(-35.278687, 149.109314)"
"2205","Parkinson St after Whitney Pl","(-35.342365, 149.052963)"
"4558","Northbourne Av before Macarthur Av","(-35.261383, 149.131699)"
"5503","Westfield Bus Stn Set Down Only","(-35.238789, 149.063797)"
"2588","Groom St before Kent St","(-35.332432, 149.093903)"
"1315","Atkins St after Athllon Dr","(-35.388237, 149.085724)"
"1038","Chippindall Cct after Latchford St","(-35.450718, 149.1203)"
"3011","Russell Dr Russell Offices","(-35.297298, 149.150269)"
"3360","Wentworth Av Railway Station","(-35.319202, 149.147369)"
"1804","Tuggeranong Stn Plt 4","(-35.41444, 149.065613)"
"1666","Knoke Av Gordon Primary School","(-35.458172, 149.086243)"
"3132","Cowper St Dickson Shops","(-35.250481, 149.140594)"
"4522","Bandjalong Cr opp Aranda Primary","(-35.256348, 149.0793)"
"2168","Kalgoorlie Cr Fisher Shops","(-35.361969, 149.056641)"
"2371","Captain Cook Cr after Canberra Av","(-35.321072, 149.135101)"
"4333","Hardwick St Kippax Fair","(-35.222431, 149.01947)"
"4111","Clancy St Evatt Shops","(-35.209103, 149.073242)"
"4975","Calvary Hospital A&E East Side","(-35.252838, 149.091095)"
"5515","Belc. Community Stn Plt 5","(-35.239967, 149.068909)"
"2460","Julia Flynn Av Isaacs Shops","(-35.367294, 149.112625)"
"6166","Hibberson Kate Crace TERMINATING STOP ONLY","(-35.186024, 149.138367)"
"2070","Launceston St Lyons PS","(-35.340408, 149.076477)"
"4790","Kosciuszko Av after Buller Cr","(-35.189453, 149.120834)"
"3467","Molonglo Dr Brindabella Business Park","(-35.315044, 149.190308)"
"4057","Canopus Cr Giralang PS","(-35.21294, 149.094742)"
"4147","Tillyard Dr McDonalds","(-35.20578, 149.03511)"
"2245","Federation Mall Parliament House Northbound","(-35.305534, 149.126068)"
