"fiscal_year","project_id","project_name","procurement_category","major_sector","wb_contract_number","contract_signing_date","supplier","supplier_country","supplier_contract_amount_usd"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1659832","2021-05-17T00:00:00.000","Individual Consultant","Republic of Ecuador","13440.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1555106","2018-02-06T00:00:00.000","BDO ECUADOR CIA. LTDA.","Republic of Ecuador","13435.0"
"2017","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1547914","2017-05-23T00:00:00.000","PATRICIO PLACENCIA ANDRADE","Republic of Ecuador","13200.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689532","2021-07-21T00:00:00.000","Individual Consultant","Republic of Ecuador","13195.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546979","2017-04-05T00:00:00.000","Individual Consultant","Republic of Ecuador","12984.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616247","2019-06-17T00:00:00.000","Individual Consultant","Republic of Ecuador","12602.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1643605","2020-09-07T00:00:00.000","Individual Consultant","Republic of Ecuador","12392.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1619102","2019-09-05T00:00:00.000","Individual Consultant","Republic of Ecuador","12320.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1619048","2019-09-05T00:00:00.000","Individual Consultant","Republic of Ecuador","12320.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1618669","2019-06-17T00:00:00.000","Individual Consultant","Republic of Ecuador","12302.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616028","2019-06-17T00:00:00.000","Individual Consultant","Republic of Ecuador","12302.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616005","2019-06-17T00:00:00.000","Individual Consultant","Republic of Ecuador","12302.0"
"2017","P147280","EC Ibarra Transport Infrastructure Improvement Project","Goods","Transportation;Public Administration;Industry, Trade and Services","1550020","2017-06-23T00:00:00.000","EMPRESA FABEN","Republic of Ecuador","12262.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1615758","2019-12-02T00:00:00.000","Individual Consultant","Republic of Ecuador","12208.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1620465","2020-06-15T00:00:00.000","Individual Consultant","Republic of Ecuador","12201.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1552580","2017-12-19T00:00:00.000","Individual Consultant","Republic of Ecuador","12074.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1552575","2017-12-19T00:00:00.000","Individual Consultant","Republic of Ecuador","12074.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1588847","2019-04-15T00:00:00.000","PRICEWATERHOUSECOOPERS DEL ECUADOR CIA. LTDA.","Republic of Ecuador","12000.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1564320","2018-07-10T00:00:00.000","Individual Consultant","Republic of Ecuador","11919.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646132","2020-12-29T00:00:00.000","RAMIRO VALENTIN GUTIERREZ CUNALATA","Republic of Ecuador","11844.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646280","2020-12-29T00:00:00.000","MERCEDES ALEXANDRA BAZÁN CASTRO","Republic of Ecuador","11844.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1647786","2020-12-29T00:00:00.000","BOLÍVAR ENRIQUE RENDÓN RENDÓN","Republic of Ecuador","11844.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646148","2020-12-30T00:00:00.000","ALEJANDRO FROILÁN SALINAS REYES","Republic of Ecuador","11844.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646146","2020-12-30T00:00:00.000","JOSÉ MANUEL RODRÍGUEZ CHAVARRÍA","Republic of Ecuador","11844.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1646100","2020-12-29T00:00:00.000","CRISTHIAN JHON ROMÁN LEÓN","Republic of Ecuador","11836.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1552578","2017-12-19T00:00:00.000","Individual Consultant","Republic of Ecuador","11637.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1552577","2017-12-19T00:00:00.000","Individual Consultant","Republic of Ecuador","11637.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1552541","2017-12-19T00:00:00.000","Individual Consultant","Republic of Ecuador","11637.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617391","2019-08-19T00:00:00.000","Individual Consultant","Republic of Ecuador","11616.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1552553","2017-12-19T00:00:00.000","Individual Consultant","Republic of Ecuador","11419.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1701232","2020-07-14T00:00:00.000","Individual Consultant","Republic of Ecuador","11256.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689514","2021-06-18T00:00:00.000","Individual Consultant","Republic of Ecuador","11200.0"
"2019","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1577723","2018-09-01T00:00:00.000","Individual Consultant","Republic of Ecuador","11200.0"
"2017","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Goods","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1552806","2016-11-23T00:00:00.000","EMINKATECH SA","Republic of Ecuador","11015.0"
"2022","P151439","EC Guayaquil Wastewater Management Project","Consultant Services","Water, Sanitation and Waste Management","1675023","2021-07-15T00:00:00.000","A.R.M.S. AUDITORES Y ASESORES CIA. LTDA.","Republic of Ecuador","10980.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1565338","2018-06-13T00:00:00.000","Individual Consultant","Republic of Ecuador","10944.0"
"2020","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1622121","2020-06-22T00:00:00.000","Individual Consultant","Republic of Ecuador","10920.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617066","2019-10-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10861.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1699148","2022-04-20T00:00:00.000","Individual Consultant","Republic of Ecuador","10859.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1698760","2022-04-20T00:00:00.000","Individual Consultant","Republic of Ecuador","10859.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1699278","2022-04-20T00:00:00.000","Individual Consultant","Republic of Ecuador","10859.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1699283","2022-04-20T00:00:00.000","Individual Consultant","Republic of Ecuador","10859.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1699295","2022-04-20T00:00:00.000","Individual Consultant","Republic of Ecuador","10859.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1699110","2022-04-20T00:00:00.000","Individual Consultant","Republic of Ecuador","10859.0"
"2020","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1615595","2020-03-06T00:00:00.000","Individual Consultant","Republic of Ecuador","10767.0"
"2018","P147280","EC Ibarra Transport Infrastructure Improvement Project","Non-consulting Services","Transportation;Public Administration;Industry, Trade and Services","1557212","2018-04-02T00:00:00.000","SARA MISHELLE ERAZO PATIÑO","Republic of Ecuador","10764.0"
"2017","P147280","EC Ibarra Transport Infrastructure Improvement Project","Non-consulting Services","Transportation;Public Administration;Industry, Trade and Services","1549885","2017-03-01T00:00:00.000","SARA MISHELLE ERAZO PATIÑO","Republic of Ecuador","10752.0"
"2018","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1563247","2018-04-09T00:00:00.000","DELOITTE & TOUCHE ECUADOR CIA. LTDA.","Republic of Ecuador","10752.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1642477","2020-12-23T00:00:00.000","Individual Consultant","Republic of Ecuador","10710.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617016","2019-09-30T00:00:00.000","Individual Consultant","Republic of Ecuador","10664.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617003","2019-12-02T00:00:00.000","Individual Consultant","Republic of Ecuador","10664.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1552436","2017-11-30T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617364","2019-07-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617641","2019-07-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617341","2019-07-11T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617645","2019-07-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617227","2019-07-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617662","2019-07-11T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617865","2019-07-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617908","2019-08-28T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1617916","2019-07-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616560","2019-09-19T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616210","2019-08-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616196","2019-08-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616003","2019-07-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1618228","2019-07-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10644.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547722","2017-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","10532.0"
"2019","P147280","EC Ibarra Transport Infrastructure Improvement Project","Non-consulting Services","Transportation;Public Administration;Industry, Trade and Services","1617377","2019-03-01T00:00:00.000","SARA MISHELLE ERAZO PATIÑO","Republic of Ecuador","10035.0"
"2019","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Goods","Education","1588848","2019-03-25T00:00:00.000","MIGUEL VÁSQUEZ BRITO","Republic of Ecuador","10000.0"
"2019","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1575253","2019-02-01T00:00:00.000","Individual Consultant","Republic of Ecuador","10000.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689308","2020-08-28T00:00:00.000","Individual Consultant","Republic of Ecuador","9596.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689292","2020-08-14T00:00:00.000","Individual Consultant","Republic of Ecuador","9460.0"
"2022","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689161","2021-10-14T00:00:00.000","Individual Consultant","Republic of Ecuador","9408.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1619374","2019-10-15T00:00:00.000","Individual Consultant","Republic of Ecuador","9240.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607435","2019-03-18T00:00:00.000","Individual Consultant","Republic of Ecuador","9226.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607434","2019-03-18T00:00:00.000","Individual Consultant","Republic of Ecuador","9226.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607436","2019-03-18T00:00:00.000","Individual Consultant","Republic of Ecuador","9226.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607424","2019-03-18T00:00:00.000","Individual Consultant","Republic of Ecuador","9226.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607414","2019-03-18T00:00:00.000","Individual Consultant","Republic of Ecuador","9226.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1608367","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","9183.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607533","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","9183.0"
"2018","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1550982","2017-09-27T00:00:00.000","Individual Consultant","World","9112.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562541","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","9108.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1643606","2020-09-07T00:00:00.000","Individual Consultant","Republic of Ecuador","9036.0"
"2021","P157324","Ecuador Risk Mitigation and Emergency Recovery Project","Consultant Services","Health;Transportation;Water, Sanitation and Waste Management;Agriculture, Fishing and Forestry;Public Administration","1643598","2020-09-07T00:00:00.000","Individual Consultant","Republic of Ecuador","9036.0"
"2020","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1615605","2020-03-09T00:00:00.000","Individual Consultant","Republic of Ecuador","9020.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562543","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","8883.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1659830","2020-11-25T00:00:00.000","Individual Consultant","Republic of Ecuador","8883.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1585671","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8583.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607530","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8583.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607918","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8583.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607943","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8583.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1608350","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8583.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1608626","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8583.0"
"2021","P167416","Social Safety Net Project","Consultant Services","Social Protection","1631232","2020-08-18T00:00:00.000","Individual Consultant","Republic of Ecuador","8568.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Non-consulting Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1547752","2016-11-01T00:00:00.000","FAUSTO MIGUEL VÁSQUEZ BRITO","Republic of Ecuador","8550.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1608363","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8133.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607944","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8133.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1608348","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8133.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607921","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8133.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607546","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8133.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607535","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8133.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1608624","2019-03-29T00:00:00.000","Individual Consultant","Republic of Ecuador","8133.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689174","2019-10-17T00:00:00.000","Individual Consultant","Republic of Ecuador","8120.0"
"2022","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1682966","2021-10-22T00:00:00.000","Individual Consultant","Republic of Ecuador","8000.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1618221","2019-09-12T00:00:00.000","Individual Consultant","Republic of Ecuador","7983.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1618235","2019-09-03T00:00:00.000","Individual Consultant","Republic of Ecuador","7983.0"
"2020","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1616726","2019-09-20T00:00:00.000","Individual Consultant","Republic of Ecuador","7983.0"
"2021","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1689295","2020-09-29T00:00:00.000","Individual Consultant","Republic of Ecuador","7757.0"
"2020","P147280","EC Ibarra Transport Infrastructure Improvement Project","Consultant Services","Transportation;Public Administration;Industry, Trade and Services","1617361","2019-11-01T00:00:00.000","Individual Consultant","Republic of Ecuador","7750.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1587144","2019-02-21T00:00:00.000","Individual Consultant","Republic of Ecuador","7501.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1587155","2019-02-21T00:00:00.000","Individual Consultant","Republic of Ecuador","7501.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1586636","2019-02-21T00:00:00.000","Individual Consultant","Republic of Ecuador","7501.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1587184","2019-02-21T00:00:00.000","Individual Consultant","Republic of Ecuador","7501.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1587483","2019-02-21T00:00:00.000","Individual Consultant","Republic of Ecuador","7501.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1587101","2019-02-21T00:00:00.000","Individual Consultant","Republic of Ecuador","7501.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1650229","2020-12-31T00:00:00.000","DAVID LEONARDO GUERRA MARTÍN","Republic of Ecuador","7453.0"
"2017","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1546980","2017-04-07T00:00:00.000","Individual Consultant","Republic of Ecuador","7401.0"
"2021","P144489","Quito Metro Line One","Consultant Services","Transportation","1651380","2020-12-30T00:00:00.000","Individual Consultant","Republic of Ecuador","7000.0"
"2021","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1653369","2021-04-15T00:00:00.000","Individual Consultant","Republic of Ecuador","6720.0"
"2022","P157425","Transformation of the Tertiary Technical and Technological Institutes Project","Consultant Services","Education","1682935","2021-09-22T00:00:00.000","Individual Consultant","Republic of Ecuador","6667.0"
"2020","P152096","Supporting Education Reform in Targeted Circuits","Consultant Services","Education","1618918","2019-11-13T00:00:00.000","Individual Consultant","Republic of Ecuador","6440.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1699271","2022-05-11T00:00:00.000","Individual Consultant","Republic of Ecuador","6368.0"
"2022","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1698975","2022-05-11T00:00:00.000","Individual Consultant","Republic of Ecuador","6368.0"
"2019","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1607418","2019-02-21T00:00:00.000","Individual Consultant","Republic of Ecuador","6151.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562547","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","6072.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562498","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","6072.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562499","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","6072.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562511","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","6072.0"
"2018","P151963","Ecuador - Sustainable Family Farming Modernization Project","Consultant Services","Agriculture, Fishing and Forestry;Industry, Trade and Services","1562548","2018-04-06T00:00:00.000","Individual Consultant","Republic of Ecuador","6072.0"
"2020","P143996","EC Manta Public Services Improvement Project","Non-consulting Services","Transportation;Water, Sanitation and Waste Management","1618044","2020-03-13T00:00:00.000","CIPRIANO BELLO CARRASCO","Republic of Ecuador","6000.0"
