"suburb","column_type","height","column_material","outreach_arm_length","luminaire","lamp_type","lamp_count","location","address"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14845150044107, 149.1159890613638)","WHITMAN CRESCENT"
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.176972549780885, 149.1402071948643)","HORSE PARK DRIVE"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.184975126262565, 149.12238245551845)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14926204801695, 149.11636793524056)","WHITMAN CRESCENT"
"AINSLIE","Concrete column","3.5 metres","CONCRETE COLUMN","NONE","SYLVANIA B2001 26, 32, 42 CFL","COMPACT FLUORESCENT","1","
,  
(-35.259037574784244, 149.13919299067027)","SHERBROOKE ST NR AGNAS ST"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.22856589543416, 148.9970173606983)","FAIRBROTHER STREET"
"KAMBAH","Tapered round column","6.5 metres",,"NONE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.3802900564824, 149.05855340853415)","PRIMMER COURT"
"NICHOLLS","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.195105731167175, 149.08759181888954)","BARTON HIGHWAY"
"GUNGAHLIN","MULTIFUNCTION","12 metres",,"4.5 M TWIN","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18193531659068, 149.128479080222)","GUNDAROO DR INT ANTHONY ROLFE AVE"
"NICHOLLS","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18579999824322, 149.11932017586003)","GUNGAHLIN DR IN GUNDAROO DR"
"AMAROO","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.16650815600345, 149.1374891058056)","HORSE PARK DRIVE"
"GUNGAHLIN","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18418680823862, 149.12403091909476)","GUNDAROO DR"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14906148343165, 149.1170621199652)","HOLGAR CRESCENT"
"SYMONSTON","STRUCTURE",,,"NONE","NCO","MERCURY LOW PRESURE FLUORESCEN","3","
,  
(-35.42456100315888, 149.07165631981474)","CARAVAN PARK OFF NARRABUNDAH LANE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.1487311880926, 149.1230989654717)","EVERIST ST"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.18878516553626, 149.13475378077266)","CAMILLERI WAY"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14727684717529, 149.1213970436368)","MCGLASHAN ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14756772703116, 149.1214061674273)","MCGLASHAN ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.15060904132992, 149.12175694874304)","MCGLASHAN ST"
"NGUNNAWAL","Tapered octagonal column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.182265399745816, 149.1273396031205)","GUNDAROO DR"
"FORDE","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.17216652630349, 149.13942055410206)","HORSE PARK DRIVE"
"GUNGAHLIN","VICPOLE","12 metres",,"4.5 M SINGLE","SYLVANIA ROAD LED","LIGHT EMITTING DIODE","1","
,  
(-35.177747638908265, 149.14067337421227)","HORSE PARK DRIVE"
"STRATHNAIRN","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.227877060882854, 148.9966206140717)","FAIRBROTHER ST"
"PEARCE","STRUCTURE",,,"NONE",,"COMPACT FLUORESCENT","1","
,  
(-35.36635834989856, 149.08264694553569)","HODGSON CR INT MURPHY ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14673625113716, 149.11580982257698)","TORZILLO STREET"
"GUNGAHLIN","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.19043935764007, 149.14285217209883)","CAMILLERI WAY"
"WESTON CREEK (RURAL DIST.)","Energy Absorbing column","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.315527033332906, 149.07599055387894)","CNR YARRALUMLA WOOLSHED RD AND COTTER RD"
"BRADDON","WOODEN POLE","6.5 metres","WOODEN POLE",,"RADIAL","COMPACT FLUORESCENT","1","
,  
(-35.27455251243737, 149.14199384248707)","18 CHAPMAN ST NR LIMESTONE AV"
"CAMPBELL","Energy Absorbing column","10.5 metres","STEEL ORDINARY","3.0 M SINGLE","REXEL OPTISPAN AEROSCREEN","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.285453659428754, 149.16266895534358)","FAIRBAIRN AV"
"JERRABOMBERRA (RURAL DIST.)","VICPOLE","9 metres","STEEL ORDINARY","3.0 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","1","
,  
(-35.38500598838898, 149.13764310457051)","MUGGA LANE CARPARK/MUGGA TIP"
"MOLONGLO VALLEY (RURAL DIST.)","Rigid column","12 metres","STEEL ORDINARY","3.7 M SINGLE","REXEL OPTISPEC AEROSCREEN","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.27724914507374, 149.0782549020596)","WILLIAM HOVELL DR W OF CASWELL DR"
"MOLONGLO VALLEY (RURAL DIST.)","Energy Absorbing column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA B2229","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.27302518957929, 149.06006437954557)","WILLIAM HOVELL DR BTWN BINDUBI & COULTER"
"WESTON CREEK (RURAL DIST.)","Energy Absorbing column","12 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.317860158907685, 149.06775608684399)","COTTER RD"
"CANBERRA CENTRAL (RURAL DIST.)","Energy Absorbing column","10.5 metres","STEEL ORDINARY","3.5 M SINGLE","SYLVANIA ROADSTER ENVIRON","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.26188123525354, 149.10991902870555)","BARRY DR W BOUND TO BELCONNEN WAY"
"BELCONNEN (RURAL DIST.)","Concrete column","10.5 metres","CONCRETE COLUMN","3.7 M SINGLE","REXEL OPTISPEC","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.19129651014928, 149.07059435082465)","KURINGA DR S OF STOCK BRIDGE"
"PARKES","Rigid column",,,"NONE",,,"1","
,  
(-35.287517914538135, 149.1311690102841)","COMMONWEALTH PARK"
"KINGSTON","Rigid column","4.2 meters","GALVANISED STEEL",,,"MERCURY VAPOUR","1","
,  
(-35.315934278348266, 149.14683117469966)","PRINTERS WAY"
"JERRABOMBERRA (RURAL DIST.)","WOODEN POLE",,"WOODEN POLE",,"FLL","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.38461113498375, 149.1380486396666)","MUGGA LANE RUBBISH TIP"
"DICKSON","WOODEN POLE","6.5 metres","WOODEN POLE",,"SYLVANIA URBAN","METAL HALIDE","1","
,  
(-35.25354215717318, 149.14642007026964)","MARSDEN ST OPP KERNOT ST"
"MAJURA (RURAL DIST.)","VICPOLE","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER ENVIRON","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.24537602550777, 149.19041237025132)","MAJURA PARKWAY FROM FEDERAL HWY"
"CAMPBELL","Concrete column","10.5 metres","CONCRETE COLUMN","3.7 M SINGLE","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.285413685346825, 149.16707474210105)","NORTHCOTT DR"
"FADDEN","Slip base column","12 metres","STEEL ORDINARY","3.7 M SINGLE","SYLVANIA B2229","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.39350114494217, 149.10661256723694)","ERINDALE DR NR SULWOOD DR"
"MOLONGLO VALLEY (RURAL DIST.)","Rigid column","12 metres","STEEL ORDINARY","3.7 M SINGLE","SCO","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.29053431172828, 149.07663197884025)","TUGG PKWY S/BOUND OVER LADY DENMAN DR"
"CANBERRA CENTRAL (RURAL DIST.)","Energy Absorbing column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER AERO","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.26505472477399, 149.08622019411683)","NORTH ON GUNGAHLIN DRIVE"
"DUNLOP","Slip base column","9 metres","STEEL ORDINARY","3.0 M SINGLE","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.18471073890087, 149.03116272881235)","DOUGLAS WATERHOUSE DR NEAR BRANSON ST"
"MAJURA (RURAL DIST.)","VICPOLE","12 metres","STEEL ORDINARY","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.249257705096696, 149.18868245967855)","MAJURA PARKWAY FROM FEDERAL HWY"
"KAMBAH","Concrete column","3.5 metres","CONCRETE COLUMN","NONE","PIERLITE PTO","MERCURY VAPOUR","1","
,  
(-35.38582256820282, 149.08476331040399)","MCLARTY CT INT LYMERS ST"
"FYSHWICK","Rigid column","10.5 metres","STEEL ORDINARY","3.7 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.34270957053062, 149.19072621097763)","CANBERRA AV TOWARDS HARMAN TURN OFF"
"BELCONNEN (RURAL DIST.)","Tapered octagonal column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER AERO","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.2788268623383, 149.08416055820774)","GUNGAHLIN DRIVE"
"GUNGAHLIN (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER AERO","METAL HALIDE","1","
,  
(-35.21382609399079, 149.1851163260206)","LOOP RD FROM MAJURA RD TO FEDERAL HYW"
"GUNGAHLIN (RURAL DIST.)","VICPOLE","6 metres","STEEL ORDINARY","3.0 M SINGLE","FLL","METAL HALIDE","1","
,  
(-35.21342289726374, 149.18468429634194)","INTER.FEDERAL HWY/MAJURA PARKWAY"
"JERRABOMBERRA (RURAL DIST.)","Rigid column","10.5 metres","STEEL ORDINARY","3.7 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.34341578676226, 149.19386463983443)","CANBERRA AV W OF HARMAN EXIT"
"BELCONNEN (RURAL DIST.)","Concrete column","10.5 metres","CONCRETE COLUMN","3.7 M SINGLE","REXEL OPTISPEC","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.185229578554804, 149.07359893881298)","KURINGA DR NR BARTON HWY"
"CANBERRA CENTRAL (RURAL DIST.)","Energy Absorbing column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER","HIGH PRESSURE SODIUM","1","
,  
(-35.284998693895616, 149.09455354397804)","PARKES WAY"
"BELCONNEN (RURAL DIST.)","Rigid column","10.5 metres","STEEL ORDINARY","3.7 M SINGLE","SCO","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.18024033704778, 149.0737172130314)","VICTORIA ST NR BARTON HWY"
"PAGE","Concrete column","3.5 metres","CONCRETE COLUMN","NONE","PIERLITE PTO","MERCURY VAPOUR","1","
,  
(-35.24206561203907, 149.04721596614212)","CARRON ST"
"MAJURA (RURAL DIST.)","VICPOLE","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER ENVIRON","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.24202717926004, 149.1920212534893)","FROMTAMBREET STREET TO FEDERAL HWY"
"CITY","MULTIFUNCTION","10.5 metres",,"4.5 M SINGLE","SYLVANIA ELIPT","METAL HALIDE","1","
,  
(-35.282880662258734, 149.13339269035802)","ALLARA ST"
"CANBERRA CENTRAL (RURAL DIST.)","Energy Absorbing column","12 metres","STEEL ORDINARY","3.7 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.258632069933604, 149.09128340357307)","BELCONNEN WAY W BOUND NR CASWELL DR"
"MOLONGLO VALLEY (RURAL DIST.)","Tapered octagonal column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER ENVIRON","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.28378791881596, 149.08512884461248)","GLENLOCH INTERSECTION"
"CANBERRA CENTRAL (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER AERO","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.25935508422347, 149.08820717231808)","GUNGAHLIN DRIVE"
"COREE (RURAL DIST.)","Energy Absorbing column","10.5 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","1","
,  
(-35.29187239753695, 148.92475321412147)","INTER.BRINDABELLA RD & JIM BRADLEY CRES, URI"
"CANBERRA CENTRAL (RURAL DIST.)","Concrete column","10.5 metres","CONCRETE COLUMN","3.7 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.26040326908409, 149.1056368193157)","BARRY DR NR BELCONNEN WAY W BOUND"
"GIRALANG","Rigid column","3.5 metres","STEEL ORDINARY","NONE","PIERLITE PTO","MERCURY VAPOUR","1","
,  
(-35.20915934266335, 149.09143681816536)","KINALUNG PL"
"COREE (RURAL DIST.)","Energy Absorbing column","10.5 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","1","
,  
(-35.293664081974875, 148.9282945919131)","INTER.BRINDABELLA RD & JIM BRADLEY CRES,URIA"
"CANBERRA CENTRAL (RURAL DIST.)","Concrete column","12 metres","CONCRETE COLUMN","3.7 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.26032144956769, 149.09611934317212)","BELCONNEN WAY E OF CASWELL DR"
"MAJURA (RURAL DIST.)","VICPOLE","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER ENVIRON","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.24064963845528, 149.19225815733307)","MAJURA PARKWAY TO FEDERAL HWY"
"TUGGERANONG (RURAL DIST.)","WOODEN POLE","6.5 metres","WOODEN POLE","0.6 M SINGLE","SYLVANIA B2224","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.325308922978614, 148.94064087504853)","COTTER RESERVE NR BRIDGE TO KIOSK POLE 50837"
"MAJURA (RURAL DIST.)","VICPOLE","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER ENVIRON","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.24286287772592, 149.19160592540433)","FROMTAMBREET STREET TO FEDERAL HWY"
"CANBERRA CENTRAL (RURAL DIST.)","Tapered octagonal column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER AERO","HIGH PRESSURE SODIUM","1","
,  
(-35.27779588943663, 149.08696010648904)","GLENLOCH INTERCHANGE"
"CANBERRA CENTRAL (RURAL DIST.)","Rigid column","4.5 metres","STEEL SPECIAL","NONE","SPHERE","MERCURY VAPOUR","1","
,  
(-35.274438143337456, 149.09790675267888)","ACCESS RD AROUND BLACK MOUNTAIN TOWER"
"BELCONNEN (RURAL DIST.)","Rigid column","12 metres","STEEL ORDINARY","3.7 M SINGLE","REXEL OPTISPEC","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.19312333266905, 149.08414975037374)","BARTON HWY NW OF GOLD CREEK RD"
"HOLT","Rigid column","10.5 metres","STEEL ORDINARY","3.7 M SINGLE","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.230418479981125, 149.0103055595564)","DRAKE BROCKMAN DR OPP TRICKETT ST"
"MAJURA (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","3.7 M SINGLE","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.333791473156026, 149.23869782229752)","PIALLIGO AV S OF SUTTON RD"
"SPENCE","Rigid column","10.5 metres","STEEL ORDINARY","3.7 M SINGLE","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.19154986940473, 149.06256962174479)","KURINGA DR INT KINGSFORD SMITH DR"
"MAJURA (RURAL DIST.)","VICPOLE","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER ENVIRON AERO","METAL HALIDE","1","
,  
(-35.214942208989974, 149.19057321213123)","MAJURA PARKWAY FROM FEDERAL HWY"
"HUME","Energy Absorbing column","10.5 metres","STEEL ORDINARY","4.5 M TWIN","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE TW","2","
,  
(-35.3974442135163, 149.15227577815304)","MUGGA LANE NR MONARO HIGHWAY,"
"KAMBAH","Slip base column","10.5 metres","STEEL ORDINARY","3.7 M SINGLE","REXEL OPTISPAN","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.383518882855114, 149.08491834660003)","SULWOOD DR INT LIVINGSTONE AV"
"MAJURA (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER AERO","METAL HALIDE","1","
,  
(-35.214595695395694, 149.18883710902287)","MAJURA RD NR FEDERAL HWY"
"CANBERRA CENTRAL (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER AERO","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.262509481667465, 149.0868239144061)","GUNGAHLIN DRIVE"
"DUFFY","Slip base column","9 metres","STEEL ORDINARY","3.0 M SINGLE","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.325964980642915, 149.0300303021014)","COTTER RD NR URIARRA RD"
"WESTON CREEK (RURAL DIST.)","Energy Absorbing column","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.311893643215505, 149.07388711265043)","YARRALUMLA WOOLSHED RD"
"KINGSTON","Tapered round column","4.2 meters","STEEL ORDINARY","NONE","DARWIN","MERCURY VAPOUR","1","
,  
(-35.314013617731504, 149.14445478109243)","WENTWORTH AVENUE"
"GUNGAHLIN (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER","METAL HALIDE","1","
,  
(-35.22456766236844, 149.16602948797032)","FEDERAL HWY INT ANTILL ST"
"TUGGERANONG (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","3.7 M SINGLE","SYLVANIA B2229","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.43709227308734, 149.1259460026547)","MONARO H/WAY S BOUND INT JOHNSON DR"
"TUGGERANONG (RURAL DIST.)","Energy Absorbing column","10.5 metres","STEEL ORDINARY","3.7 M SINGLE","SYLVANIA ROADSTER","SODIUM VAPOUR HIGH PRESSURE TW","2","
,  
(-35.38561065139757, 149.1160592548435)","ERINDALE DR S OF LONG GULLY RD"
"MAJURA (RURAL DIST.)","VICPOLE","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER ENVIRON","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.240414896826685, 149.1930312857061)","MAJURA PARKWAY TO FEDERAL HWY"
"GUNGAHLIN (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","4.5 M TWIN","SYLVANIA ROADSTER","METAL HALIDE","2","
,  
(-35.21309398627525, 149.18370738611648)","HORSEPARK DR NR FEDERAL HIGHWAY OVER PASS"
"CAMPBELL","WOODEN POLE","10 metres","WOODEN POLE","3.0 M SINGLE","SYLVANIA B2229","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.292552801586694, 149.1707173821304)","FAIRBAIRN AV INT GENERAL BRIDGES DR"
"KINGSTON","Rigid column","4.5 metres","STEEL ORDINARY",,"DARWIN","MERCURY VAPOUR","1","
,  
(-35.31659158877204, 149.14615841395135)","OPPOSITE 51-55 DAWES STREET"
"BELCONNEN (RURAL DIST.)","Slip base column","9 metres","STEEL ORDINARY","3.0 M SINGLE","SYLVANIA B2229","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.28807000379152, 149.08301643863308)","LADY DENMAN NR MUSEUM OF AUSTRALIA"
"BELCONNEN (RURAL DIST.)","Rigid column","12 metres","STEEL ORDINARY","3.7 M SINGLE","REXEL OPTISPEC AEROSCREEN","SODIUM VAPOUR HIGH PRESSURE","1","
,  
(-35.27629428549334, 149.07584237541712)","BINDUBI ST INT WILLIAM HOVELL DR"
"KAMBAH","Rigid column","3.5 metres","STEEL ORDINARY","NONE","SYLVANIA B2001 26, 32, 42 CFL","COMPACT FLUORESCENT","1","
,  
(-35.38727743359252, 149.0528178920993)","DARE PL"
"MAJURA (RURAL DIST.)","Slip base column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER AERO","METAL HALIDE","1","
,  
(-35.21745244666308, 149.19452887232634)","MAJURA RD NR FEDERAL HWY"
"MAJURA (RURAL DIST.)","Energy Absorbing column","10.5 metres","STEEL ORDINARY","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.328271351151756, 149.228914289144)","PIALLIGO AVENUE"
"CANBERRA CENTRAL (RURAL DIST.)","Tapered octagonal column","12 metres","STEEL ORDINARY","4.5 M SINGLE","SYLVANIA ROADSTER AERO","SODIUM VAPOUR HIGH PRESSURE TW","1","
,  
(-35.27744539839543, 149.08673880363853)","GUNGAHLIN DRIVE"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","0.15 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14641404152835, 149.09930197187805)","ROBIN BOYD CRESCENT"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.14819462547081, 149.10550484777698)","LANGMEAD STREET"
"COOMBS","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.312676367763046, 149.03473889842462)","TRASK ST"
"WATSON","VICPOLE","6 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL 108","LIGHT EMITTING DIODE","1","
,  
(-35.23157491028675, 149.16434360389673)","EHRLICH CIRCUIT"
"TAYLOR","FORDE COLUMN","6 metres","STEEL","1.5 M SINGLE","PECAN NXT-12C-4AH","LIGHT EMITTING DIODE","1","
,  
(-35.14686063418552, 149.1009156659385)","ROBIN BOYD CRESCENT"
"STRATHNAIRN","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.2329103632369, 148.99614904056247)","YOORNIE WAY"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.31050958299497, 149.029979670404)","ALEX COLLEY CRES"
"COOMBS","FORDE COLUMN","6.5 metres",,"0.15 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.31220178227656, 149.03640419719073)","SOUTHCOTT VIEW"
"COOMBS","FORDE COLUMN","6.5 metres",,"0.15 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.30940413426986, 149.03277061420602)","CALABY ST"
"COOMBS","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.31076405488338, 149.03403488583626)","SOUTHCOTT VIEW"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.31247715188054, 149.02572302434382)","NEVILLE GARE STREET"
"COOMBS","FORDE COLUMN","6.5 metres",,"1.5 M SINGLE","SYLVANIA STREET LED","LIGHT EMITTING DIODE","1","
,  
(-35.31336788341652, 149.03409817147715)","TELFER ST"
"TAYLOR","FORDE COLUMN","6.5 metres","STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.14948602506542, 149.10209698669456)","MOTTRAM STREET"
"STRATHNAIRN","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","WE-EF VFL530","LIGHT EMITTING DIODE","1","
,  
(-35.23329740754704, 148.99652410318683)","YOORNIE WAY"
"WHITLAM","Energy Absorbing column","10.5 metres","GALVANISED STEEL","4.5 M SINGLE","PECAN NXT-72M 2ES","LIGHT EMITTING DIODE","1","
,  
(-35.271124150712126, 149.05048602630333)","JOHN GORTON DRIVE"
"TAYLOR","FORDE COLUMN","9 metres","STEEL","3.0 M SINGLE","PECAN NXT-36S","LIGHT EMITTING DIODE","1","
,  
(-35.14942697394546, 149.10380981186177)","GRENWELL AVENUE"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT - 24S","LIGHT EMITTING DIODE","1","
,  
(-35.31214304381265, 149.02745520028023)","THWAITES CRES"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","0.15 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.31274920202588, 149.02531861753496)","URIARRA ROAD"
"WRIGHT","FORDE COLUMN","6.5 metres","GALVANISED STEEL","1.5 M SINGLE","PECAN NXT - 12S","LIGHT EMITTING DIODE","1","
,  
(-35.311355439520504, 149.02776591018318)","PORTER STREET"
