"trip_id","location","odometer","timestamp","congestion_level","vehicle_id","vehicle_label","vehicle_licenceplate","stop_sequence","gtfsrupdateid","updatedeleted","latitude","longitude","bearing","currentstatus","stopid"
"61","POINT (-35.2407112121582 149.13682556152344)","217857959.0","2022-08-30T10:00:00.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","7","16737846","None","-35.2407112121582","149.13682556152344","225.75389099121094","IN_TRANSIT_TO","8117"
"58","POINT (-35.20022964477539 149.14932250976562)","238369145.0","2022-08-30T09:59:30.000","RUNNING_SMOOTHLY","12","LRV12","LRV12","11","16737297","None","-35.20022964477539","149.14932250976562","189.93185424804688","STOPPED_AT","8109"
"192","POINT (-35.26012420654297 149.13221740722656)","210532674.0","2022-08-30T09:59:30.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","11","16737294","None","-35.26012420654297","149.13221740722656","0.0","STOPPED_AT","8122"
"61","POINT (-35.2443962097168 149.13455200195312)","217857501.0","2022-08-30T09:59:30.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","7","16737298","None","-35.2443962097168","149.13455200195312","187.0733184814453","IN_TRANSIT_TO","8117"
"62","POINT (-35.2601318359375 149.13218688964844)","217615139.0","2022-08-30T09:59:30.000","RUNNING_SMOOTHLY","5","LRV5","LRV5","4","16737296","None","-35.2601318359375","149.13218688964844","188.8115234375","STOPPED_AT","8123"
"193","POINT (-35.220218658447266 149.14501953125)","255091434.0","2022-08-30T09:59:30.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","6","16737295","None","-35.220218658447266","149.14501953125","7.899062156677246","IN_TRANSIT_TO","8112"
"60","POINT (-35.224056243896484 149.14382934570312)","220852439.0","2022-08-30T09:59:15.000","RUNNING_SMOOTHLY","8","LRV8","LRV8","0","16737021","None","-35.224056243896484","149.14382934570312","194.39334106445312","IN_TRANSIT_TO","8115"
"61","POINT (-35.2447509765625 149.13450622558594)","217857452.0","2022-08-30T09:59:15.000","RUNNING_SMOOTHLY","14","LRV14","LRV14","7","16737018","None","-35.2447509765625","149.13450622558594","187.144775390625","IN_TRANSIT_TO","8117"
"193","POINT (-35.218299865722656 149.1452178955078)","255091206.0","2022-08-30T09:59:15.000","RUNNING_SMOOTHLY","11","LRV11","LRV11","6","16737022","None","-35.218299865722656","149.1452178955078","2.4503490924835205","IN_TRANSIT_TO","8112"
"192","POINT (-35.26000213623047 149.1322479248047)","210532661.0","2022-08-30T09:59:15.000","RUNNING_SMOOTHLY","2","LRV2","LRV2","11","16737023","None","-35.26000213623047","149.1322479248047","7.9907450675964355","IN_TRANSIT_TO","8122"
