"activity","authorisationno","status","partyname","date","ceaseexpirydate","suburb","pdf"
"Commercial use of chemicals (Activity 29)","0532","Ceased","Stadium Turf Management Pty Ltd","2005-10-19T00:00:00.000","2020-10-08T00:00:00.000","Bruce","YES"
"Concert venue (Activity 24)","1167","Current","CMTEDD - National Arboretum Canberra","2018-08-22T00:00:00.000",,,"YES"
"Transport of Controlled Waste (Activity 8)","1089","Ceased","Jesco Asbestos Removal Pty Ltd","2016-06-07T00:00:00.000","2021-07-20T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","1277","Current","Quality One Pest Control","2021-07-23T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1275","Current","Varinder Singh","2021-07-23T00:00:00.000",,,
"Operation of crushing, grinding and separation (Activity 43)","1213","Current","Hi Quality Concrete ACT Pty Ltd","2019-11-18T00:00:00.000",,,
"Placement of soil on land (Activity 7)","0864","Expired","Corkhill Bros Sales Pty Ltd","2011-10-17T00:00:00.000","2014-10-16T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","1278","Current","Arvind Thakur","2021-08-19T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1170","Ceased","SunWater Limited","2018-08-23T00:00:00.000","2021-08-20T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1169","Expired","Chief Minister, Treasury and Economic Development Directorate","2018-09-11T00:00:00.000","2021-09-11T00:00:00.000",,"YES"
"Placement of soil on land (Activity 7)","1238","Expired","Andrew Geikie","2020-08-26T00:00:00.000","2021-08-26T00:00:00.000",,
"Extraction of Material from waterways; Greater than 100m3 (Activity 1)","1235","Ceased","Chincivil Pty Ltd","2020-07-07T00:00:00.000","2021-09-08T00:00:00.000","Jacka",
"Placement of soil on land (Activity 7)","1279","Current","Mathew Gregory","2021-09-16T00:00:00.000","2022-09-15T00:00:00.000","Tennant D",
"Commercial use of chemicals (Activity 29)","1281","Current","Parker Rural Pty Ltd","2021-09-20T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","0858","Current","Residential Reports Pty Limited","2011-09-13T00:00:00.000",,"Queanbeyan","YES"
"Placement of soil on land (Activity 7)","0859","Cancelled","Fairbairn Park Control Council","2011-10-24T00:00:00.000","2020-09-20T00:00:00.000","Majura","YES"
"Outdoor concerts (Activity 23)","1274","Current","CMTEDD, Events ACT","2021-09-24T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","0477","Current","Gungahlin Lakes Golf and Community Club","2004-09-06T00:00:00.000",,"Nicholls","YES"
"Regulated Waste (Activity 9)","1166","Ceased","Southern Oil Collection Pty Ltd","2018-07-25T00:00:00.000","2021-07-15T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","1103","Current","Wilson Horticulture and Landscaping","2016-10-06T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1280","Ceased","Shaun Marchiori","2021-08-19T00:00:00.000","2021-10-18T00:00:00.000",,
"Placement of soil on land (Activity 7)","1244","Expired","EPSDD - T/as Resilient Landscapes","2020-10-22T00:00:00.000","2021-10-21T00:00:00.000",,
"Placement of soil on land (Activity 7)","1283","Current","D Group Civil","2021-10-29T00:00:00.000","2024-10-28T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","0865","Ceased","Treeworks (ACT/NSW) Pty Ltd","2011-09-20T00:00:00.000","2021-11-02T00:00:00.000","PHILLIP","YES"
"Commercial use of chemicals (Activity 29)","1179","Current","Australian Aerial Imagery Pty Ltd","2018-11-20T00:00:00.000",,,
"Placement of soil on land (Activity 7)","1174","Expired","D Group Civil Pty Ltd","2018-11-05T00:00:00.000","2021-11-04T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1224","Current","APT Pest Control Solutions","2019-11-14T00:00:00.000",,,
"Transport of Controlled Waste (Activity 8)","1058","Current","Cabneemm Pty Ltd T/AS Canberra Hire Pty Limited","2015-12-08T00:00:00.000",,"Various sites within the ACT","YES"
"Petroleum storage (Activity 30)","0760","Current","7-Eleven Stores Pty Ltd - GIRALANG","2010-03-04T00:00:00.000",,,"YES"
"Operation of crushing, grinding and separation (Activity 43)","1021","Current","Access Recycling ACT Pty Ltd","2015-04-07T00:00:00.000",,,"YES"
"Commercial use of chemicals (Activity 29)","1102","Ceased","M & A Forestry Services","2016-09-22T00:00:00.000","2021-11-24T00:00:00.000",,"YES"
"Commercial use of chemicals (Activity 29)","1236","Current","ACT Property Inspections","2020-06-04T00:00:00.000",,"Phillip",
"Commercial use of chemicals (Activity 29)","1138","Current","Adams Pest Management","2017-10-06T00:00:00.000",,"Wanniassa","YES"
"Commercial use of chemicals (Activity 29)","1285","Current","Capital Forestry Services","2021-11-26T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","1286","Current","Heli Surveys Pty Ltd","2021-12-06T00:00:00.000",,,
"Burning off (Activity 28)","0189","Expired","Director-General, EPSDD, ACT Parks and Conservation Service","1999-03-08T00:00:00.000","1999-06-30T00:00:00.000","Dickson","NO"
"Burning off (Activity 28)","0412","Current","Director-General, EPSDD - ACT Parks and Conservation Service","2003-04-29T00:00:00.000",,"Dickson","YES"
"Logging operation (Activity 34)","0288","Current","Director-General, EPSDD, ACT Parks and Conservation Service","2001-03-14T00:00:00.000",,"Dickson","NO"
"Commercial use of chemicals (Activity 29)","0011","Current","Director- General, EPSDD - ACT Parks and Conservation Service","1998-06-12T00:00:00.000",,"Dickson","YES"
"Motor racing event (Activity 26)","0002","Current","Director-General, EPSDD, ACT Parks and Conservation Service","1998-06-12T00:00:00.000",,"Dickson","YES"
"Commercial use of chemicals (Activity 29)","1282","Current","Hardev Singh","2021-09-27T00:00:00.000",,"Bonner",
"Commercial use of chemicals (Activity 29)","1133","Current","Hageman, Anthony","2017-09-19T00:00:00.000",,"Downer","YES"
"Sewage Treatment (Activity 10)","0009","Current","Icon Water Limited","2000-08-07T00:00:00.000",,,"YES"
"Placement of soil on land (Activity 7)","1024","Current","Icon Water","2015-05-11T00:00:00.000",,"Mitchell","YES"
"Commercial production of alcohlic beverages (Activity 35)","1216","Current","BentSpoke Brewing Company Pty Ltd","2019-10-30T00:00:00.000",,"Braddon",
"Commercial use of chemicals (Activity 29)","1070","Current","Complete Turf Renovation Services Pty Ltd","2016-01-19T00:00:00.000",,"Melba","YES"
"Placement of soil on land (Activity 7)","1284","Current","Director General,  EPSDD - ACT Government","2021-12-13T00:00:00.000","2024-12-12T00:00:00.000",,
"Placement of soil on land (Activity 7)","1284","Current","Director General,  EPSDD - ACT Government","2021-12-13T00:00:00.000","2024-12-12T00:00:00.000","Macgregor",
"Outdoor concerts (Activity 23)","1258","Expired","Lakenda Events","2021-01-20T00:00:00.000","2022-01-18T00:00:00.000","Parkes",
"Commercial use of chemicals (Activity 29)","1066","Ceased","Carwoola Pest Control Pty Ltd","2016-01-04T00:00:00.000","2022-01-07T00:00:00.000","Various Locations on leased and unleased ACT land.","YES"
"Outdoor concerts (Activity 23)","1259","Expired","Zaccaria Concerts & Touring","2021-02-15T00:00:00.000","2022-02-15T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1256","Ceased","Mr Charlie Velasco","2020-12-15T00:00:00.000","2022-01-19T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1260","Ceased","T47 Services Pty Ltd","2021-01-12T00:00:00.000","2022-01-19T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1255","Current","Mr Yan Lu - T/as YL Capital Pest Control Service","2020-12-15T00:00:00.000",,,
"Commercial use of chemicals (Activity 29)","0228","Current","Fords Pest Control","1999-08-18T00:00:00.000",,"Gordon","YES"
"Waste petroleum (Activity 32)","0890","Ceased","Ampcontrol Services (NSW) Pty Ltd","2012-04-19T00:00:00.000","2022-02-01T00:00:00.000","HUME","YES"
"Regulated Waste (Activity 9)","1134","Ceased","AJD Civil and Demolition","2017-10-05T00:00:00.000","2022-02-10T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1288","Current","The Trustee for F T Unit Trust - T/as Frontier Touring Co. Pty Ltd","2022-02-15T00:00:00.000","2023-02-14T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1290","Current","Bhavsar Pty Ltd - T/as Spotless Clean","2022-02-15T00:00:00.000",,,
"Outdoor concerts (Activity 23)","1287","Current","Zaccaria Concerts & Touring","2022-02-16T00:00:00.000","2023-02-15T00:00:00.000","Parkes",
"Regulated Waste (Activity 9)","1182","Ceased","LANTRAK NSW Pty Ltd","2018-12-13T00:00:00.000","2022-02-28T00:00:00.000",,
"Outdoor concerts (Activity 23)","1261","Expired","Frontier Touring Pty Ltd","2021-03-04T00:00:00.000","2022-03-04T00:00:00.000","Parkes",
"Outdoor concerts (Activity 23)","1187","Expired","Canberra FM Radio Pty Ltd","2019-03-12T00:00:00.000","2022-03-11T00:00:00.000",,
"Outdoor concerts (Activity 23)","1262","Expired","Loudness Pty Ltd","2021-03-04T00:00:00.000","2022-03-04T00:00:00.000","Parles",
"Transport of Controlled Waste (Activity 8)","1073","Ceased","JLW Services Pty Ltd","2016-02-11T00:00:00.000","2022-03-02T00:00:00.000",,"YES"
"Outdoor concerts (Activity 23)","1289","Current","Loudness Pty Ltd","2022-03-15T00:00:00.000","2023-03-14T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","1267","Ceased","Reclaim Rural Pty Ltd","2021-03-19T00:00:00.000","2022-03-18T00:00:00.000",,
"Commercial use of chemicals (Activity 29)","0363","Ceased","JA & DM Hewitt","2002-02-07T00:00:00.000","2022-03-17T00:00:00.000","Macgregor","YES"
"Commercial use of chemicals (Activity 29)","1053","Ceased","Morrison Horticulture - Thomas Morrison","2015-11-23T00:00:00.000","2022-04-14T00:00:00.000","various lacations on leased and unleased ACT land.","YES"
